
[00:00:00.000 --> 00:00:02.520]  由於疫症仍在
[00:00:02.520 --> 00:00:04.520]  祝願各人平安
[00:00:04.520 --> 00:00:07.760]  上兩個月
[00:00:07.760 --> 00:00:10.480]  觀賞了一齣話劇
[00:00:10.480 --> 00:00:14.320]  就是蔡錫昌先生編導
[00:00:14.320 --> 00:00:16.880]  白耀燦先生主演的
[00:00:16.880 --> 00:00:18.880]  《私姓杜甫》
[00:00:18.880 --> 00:00:22.240]  其實兩位先生都是我們當中的弟兄
[00:00:22.240 --> 00:00:25.280]  這個話劇裏面其中一幕
[00:00:25.280 --> 00:00:27.280]  講到杜甫
[00:00:27.280 --> 00:00:31.760]  在成都碗花溪半住的茅屋
[00:00:31.760 --> 00:00:33.760]  被八月的狂風
[00:00:33.760 --> 00:00:36.240]  捲走了他的屋頂
[00:00:36.240 --> 00:00:39.480]  杜甫有一首長詩
[00:00:39.480 --> 00:00:44.680]  《茅屋惟秋風所破歌》
[00:00:44.680 --> 00:00:46.680]  記述這件事
[00:00:46.680 --> 00:00:48.680]  其中一段是這樣寫的
[00:00:48.680 --> 00:01:04.480]  「床頭屋漏無乾處,雨腳如麻未斷絕,至經喪亂小睡眠,長夜尖濕何猶遲?」
[00:01:04.480 --> 00:01:06.880]  講到風雨飄搖
[00:01:06.880 --> 00:01:08.880]  長夜漫漫
[00:01:08.880 --> 00:01:11.760]  屋頂又被風吹走了
[00:01:11.760 --> 00:01:14.440]  屋裏四處漏水
[00:01:14.440 --> 00:01:19.920]  雨如麻扇從屋頂流下來
[00:01:19.920 --> 00:01:26.360]  可以想像杜甫的心亦是心亂如麻
[00:01:26.360 --> 00:01:30.280]  杜甫說自從安史之亂以來
[00:01:30.280 --> 00:01:33.080]  自己已經睡得很少
[00:01:33.080 --> 00:01:37.360]  再加上現在床濕被冷
[00:01:37.360 --> 00:01:39.360]  長夜不能成眠
[00:01:39.360 --> 00:01:46.200]  詩歌簡單的幾句都講出了杜甫
[00:01:46.200 --> 00:01:48.200]  那種生命的窮困
[00:01:48.200 --> 00:01:52.440]  亦都講出了一個濟世的天才
[00:01:52.440 --> 00:01:54.960]  未能夠為世所用
[00:01:54.960 --> 00:01:58.160]  他捲縮在茅寮裏面
[00:01:58.160 --> 00:02:04.560]  內心記掛的卻是戰亂中的悲慘人民
[00:02:04.560 --> 00:02:06.560]  睡不著
[00:02:06.560 --> 00:02:08.560]  因為自己的冰冷
[00:02:08.560 --> 00:02:13.280]  但更加因為人民的慘痛
[00:02:13.280 --> 00:02:15.280]  長夜漫漫
[00:02:15.280 --> 00:02:18.840]  是屋漏雨滴的長夜漫漫
[00:02:18.840 --> 00:02:22.840]  亦都是苦難人間的長夜漫漫
[00:02:22.840 --> 00:02:24.840]  在這個長夜漫漫裏面
[00:02:24.840 --> 00:02:29.160]  杜甫有他張臨奇的渴望
[00:02:29.160 --> 00:02:34.400]  黑暗期待光明
[00:02:34.400 --> 00:02:36.400]  就是張臨奇
[00:02:36.400 --> 00:02:39.320]  杜甫都有他張臨奇的渴望
[00:02:39.320 --> 00:02:42.160]  他在黑暗裏面盼望光明
[00:02:42.160 --> 00:02:48.600]  這首《茅廬遺秋風所破歌》的最後一段是這樣寫的
[00:02:48.600 --> 00:02:53.000]  「安得廣廈千萬間
[00:02:53.000 --> 00:02:57.720]  大悲天下寒時俱歡顏
[00:02:57.720 --> 00:03:01.080]  風雨不動安如山」
[00:03:01.080 --> 00:03:03.080]  在苦難的人間
[00:03:03.080 --> 00:03:07.240]  在屋漏更兼連夜雨的日子
[00:03:07.240 --> 00:03:09.240]  杜甫惦念的
[00:03:09.240 --> 00:03:11.240]  是千千萬萬
[00:03:11.240 --> 00:03:13.240]  和自己一樣受苦的人
[00:03:13.240 --> 00:03:15.240]  他很渴望
[00:03:15.240 --> 00:03:18.320]  有千萬間寬敞的房屋
[00:03:18.320 --> 00:03:20.880]  當然香港人都是這樣期望的
[00:03:20.880 --> 00:03:25.360]  能夠讓貧寒的人安居樂業
[00:03:25.360 --> 00:03:28.160]  這些房屋
[00:03:28.160 --> 00:03:31.520]  能夠在風雨裏面安穩如山
[00:03:31.520 --> 00:03:34.800]  屋頂不會被吹走
[00:03:34.800 --> 00:03:37.800]  裏面的人得到蔭蔽
[00:03:37.800 --> 00:03:41.320]  而在等待光明的張臨奇裏面
[00:03:41.320 --> 00:03:43.320]  杜甫不單止渴望
[00:03:43.320 --> 00:03:46.320]  他還有一個最後的決志
[00:03:46.320 --> 00:03:50.480]  這首詩歌的最後結束是這樣說的
[00:03:50.480 --> 00:03:57.040]  「嗚呼!何事眼前突然此屋
