
[00:00:00.000 --> 00:00:04.160]  大公子,平安,我們一起祈禱
[00:00:04.160 --> 00:00:11.200]  親愛的天父,感謝您在這個炎熱的日子
[00:00:11.200 --> 00:00:18.240]  給我們有健康,給我們預備好心靈誠實
[00:00:18.240 --> 00:00:25.640]  一起來跟您的殿鐘,一起來享受您賜給我們的美麗福音
[00:00:26.560 --> 00:00:32.840]  還有好好的敬拜,讚美,以及跟大兄姊妹的交通
[00:00:32.840 --> 00:00:38.320]  我們知道香港這幾年的變化很大
[00:00:38.320 --> 00:00:42.720]  給我們有很多不同的想法
[00:00:42.720 --> 00:00:47.080]  經常都求您,在這個變幻的世界當中
[00:00:47.080 --> 00:00:52.680]  啟示我們,您是坐著為王,是永遠在這裡做主的
[00:00:53.240 --> 00:00:57.840]  我們請您把這個盼望順心賜給我們每一位
[00:00:57.840 --> 00:01:02.600]  我們可以在這裡享受您賜給的美麗平安
[00:01:02.600 --> 00:01:07.080]  我們這樣仰望教徒,奉主耶穌,得聖明求,阿們
[00:01:07.080 --> 00:01:17.080]  最近去了上水的靈修園靈修
[00:01:17.080 --> 00:01:21.680]  靈修的時候是小禮堂
[00:01:22.160 --> 00:01:25.720]  想起很多年前在Wall4聽到一個故事
[00:01:25.720 --> 00:01:33.040]  好像是一個真事,有一個很知名的大公司的總裁
[00:01:33.040 --> 00:01:34.760]  是一個基督徒
[00:01:34.760 --> 00:01:40.480]  他厭倦了這個公司裡的勾心鬥角
[00:01:40.480 --> 00:01:44.920]  商場有太多的鬼炸
[00:01:44.920 --> 00:01:51.080]  他覺得經常為了提高公司的利潤
[00:01:51.440 --> 00:01:56.760]  想盡辦法,忙忙碌碌,有什麼意義呢?
[00:01:56.760 --> 00:02:04.640]  於是他辭職了,想退下來休息一段時間
[00:02:04.640 --> 00:02:11.000]  他找了一間天主教的靈修園去靈修
[00:02:11.000 --> 00:02:16.160]  大家知道通常靈修園都是遠離市區
[00:02:16.160 --> 00:02:20.960]  遠離市區連車的聲音都很少聽到
[00:02:21.800 --> 00:02:25.240]  他覺得很安靜
[00:02:25.240 --> 00:02:28.920]  而且那裡規定了一個很特別的規定
[00:02:28.920 --> 00:02:34.360]  就是晚上十點鐘一定要關燈睡覺
[00:02:34.360 --> 00:02:36.880]  這個是不是很難做到?
[00:02:36.880 --> 00:02:42.120]  所以他第一次這麼早睡覺的時候
[00:02:42.120 --> 00:02:46.320]  他覺得這個心心很輕鬆
[00:02:48.000 --> 00:02:51.800]  他就準備睡覺了
[00:02:51.800 --> 00:02:54.920]  睡覺的時候他就覺得
[00:02:54.920 --> 00:02:58.400]  自己這麼多年都很虧欠神
