
[00:00:00.000 --> 00:00:05.280]  「童年陰影可以影響一生的健康」
[00:00:05.280 --> 00:00:08.280]  弟兄姊妹,不知道你認不認同這句說話呢?
[00:00:08.280 --> 00:00:11.280]  我深信今天很多的心理學家
[00:00:11.280 --> 00:00:13.400]  或者做輔導的
[00:00:13.400 --> 00:00:16.680]  甚至是連醫生都說
[00:00:16.680 --> 00:00:19.480]  童年陰影可以成為一個人
[00:00:19.480 --> 00:00:21.080]  在成長過程裏面
[00:00:21.080 --> 00:00:23.320]  一個很重要的影響
[00:00:23.320 --> 00:00:26.920]  影響人往後的言行、價值觀
[00:00:26.920 --> 00:00:28.080]  對人處事的態度
[00:00:28.080 --> 00:00:30.920]  甚至是身體和心靈的健康
[00:00:30.920 --> 00:00:32.720]  但有很多人誤以為
[00:00:32.720 --> 00:00:36.240]  自己的童年陰影是不可磨滅的
[00:00:36.240 --> 00:00:38.960]  今天很想透過一個人物
[00:00:38.960 --> 00:00:40.640]  叫做阿比亞他
[00:00:40.640 --> 00:00:43.160]  他在一個家族的大屠殺裏面
[00:00:43.160 --> 00:00:46.400]  唯一的生還者
[00:00:46.400 --> 00:00:48.040]  他的成長
[00:00:48.040 --> 00:00:50.080]  來讓大家看出
[00:00:50.080 --> 00:00:52.080]  上帝可以有陰典
[00:00:52.080 --> 00:00:55.800]  使人走出受傷的陰影
[00:00:55.800 --> 00:00:58.960]  上帝也有陰典讓人
[00:00:58.960 --> 00:01:02.880]  可以看別人的歷史作為借鏡
[00:01:02.880 --> 00:01:06.360]  以致不再重蹈覆轍
[00:01:06.360 --> 00:01:09.080]  交代一下經文的背景
[00:01:09.080 --> 00:01:13.400]  或者一個家族被屠殺的背景
[00:01:13.400 --> 00:01:16.720]  有一個祭司家族被殺害
[00:01:16.720 --> 00:01:19.960]  《十五義記》上帝十七章至二十章
[00:01:19.960 --> 00:01:22.880]  是講訴羅妒忌大衛
[00:01:22.880 --> 00:01:25.520]  要尋索他的命
[00:01:25.520 --> 00:01:28.000]  因為大衛打死哥利亞之後
[00:01:28.000 --> 00:01:30.600]  就贏取了很多人的掌聲
[00:01:30.600 --> 00:01:32.360]  訴羅就召他入宮
[00:01:32.360 --> 00:01:33.480]  起初都好像沒什麼
[00:01:33.480 --> 00:01:36.560]  但越來越多人來尊崇他
[00:01:36.560 --> 00:01:37.640]  敬愛他
[00:01:37.640 --> 00:01:40.640]  他開始對大衛有恐懼
[00:01:40.640 --> 00:01:42.280]  甚至產生妒忌
[00:01:42.280 --> 00:01:44.680]  決意要尋索他的命
[00:01:44.680 --> 00:01:46.480]  大衛逃離皇宮之後
[00:01:46.480 --> 00:01:48.720]  先後去找撒姆爾
[00:01:48.720 --> 00:01:50.200]  也找約拿丹
[00:01:50.200 --> 00:01:52.440]  不過訴羅仍然不放過他
[00:01:52.440 --> 00:01:54.600]  不斷打發人來捉拿他
[00:01:54.600 --> 00:01:56.440]  到了第二十一章一至九節
[00:01:56.440 --> 00:01:59.440]  就記載大衛逃到一個地方
[00:01:59.440 --> 00:02:03.480]  就是羅伯城祭司阿希米勒
[00:02:03.480 --> 00:02:05.920]  這個祭司阿希米勒是什麼人呢?
[00:02:05.920 --> 00:02:08.320]  原來是以利的曾孫
[00:02:08.320 --> 00:02:10.400]  因為阿希米勒的父親是阿希特
[00:02:10.400 --> 00:02:13.320]  阿希特的父親是菲尼哈
[00:02:13.320 --> 00:02:17.440]  阿希米勒有一個背景就是以利的曾孫
[00:02:17.440 --> 00:02:20.480]  羅伯的城在耶路撒冷舊城北部
[00:02:20.480 --> 00:02:21.960]  就住了很多祭司
[00:02:21.960 --> 00:02:24.680]  所以又稱為祭司城
[00:02:24.680 --> 00:02:30.280]  大衛走到祭司城找阿希米勒的時候
[00:02:30.280 --> 00:02:34.120]  他沒有告訴阿希米勒他是逃亡的
[00:02:34.120 --> 00:02:36.600]  所以阿希米勒不知道
[00:02:36.600 --> 00:02:39.360]  訴羅不斷追殺大衛
