
[00:00:00.000 --> 00:00:05.320]  我想最近大家都會收到很多不同的信息
[00:00:05.320 --> 00:00:08.540]  在你的Facebook和WhatsApp裏面
[00:00:08.540 --> 00:00:11.960]  我先幾天就收到這個
[00:00:11.960 --> 00:00:14.800]  我覺得很好,想和大家分享
[00:00:14.800 --> 00:00:16.620]  PowerPoint 啊,麻煩
[00:00:16.620 --> 00:00:19.360]  是C.S. Lewis
[00:00:19.360 --> 00:00:22.680]  大家認識吧,聽過名字,不認識他
[00:00:22.680 --> 00:00:28.360]  在1942年,即是六七十年前寫的
[00:00:28.360 --> 00:00:33.480]  不過很適合大家,很適合我們現在的環境
[00:00:33.480 --> 00:00:34.880]  他說,撒旦說
[00:00:34.880 --> 00:00:38.640]  "I will cause anxiety, fear and panic"
[00:00:38.640 --> 00:00:47.040]  "I will shut down business, schools, places of worship and sport events"
[00:00:47.040 --> 00:00:50.640]  "I will cause economic turmoil"
[00:00:50.640 --> 00:01:04.120]  像不像現在,焦慮,恐懼,驚慌,不用上班,不用上學
[00:01:04.120 --> 00:01:08.360]  連崇拜我們都沒得來,波都沒得看
[00:01:08.360 --> 00:01:11.560]  經濟受到很大的衝擊
[00:01:11.560 --> 00:01:14.280]  1942年寫的
[00:01:14.280 --> 00:01:22.400]  他是否先知我們今天會遇到的事
[00:01:22.400 --> 00:01:25.760]  但是,不僅是剛纔那段
[00:01:25.760 --> 00:01:29.640]  還有下文,麻煩PowerPoint
[00:01:29.640 --> 00:01:33.200]  那個是撒旦說的,耶穌就說這個
[00:01:33.200 --> 00:01:37.680]  "I will bring together neighbors, restore the family units"
[00:01:37.680 --> 00:01:40.960]  "I will bring dinner back to the kitchen table"
[00:01:40.960 --> 00:01:43.720]  "I will help people slow down their lives"
[00:01:43.720 --> 00:01:46.560]  "and appreciate what really matters"
[00:01:46.560 --> 00:01:51.840]  "I will teach my children to rely on me and not the world"
[00:01:51.840 --> 00:01:58.480]  "I will teach my children to trust me and not their money and material resources"
[00:01:58.480 --> 00:02:03.360]  耶穌說,他要在這個時間裏面做一件事
[00:02:03.360 --> 00:02:09.960]  重建人與人之間的關係,家庭的關係
[00:02:09.960 --> 00:02:12.520]  他要我們放慢腳步
[00:02:12.520 --> 00:02:16.720]  再一次知道什麼是最重要
[00:02:16.720 --> 00:02:18.920]  要信他,不要信世界
[00:02:18.920 --> 00:02:24.400]  要靠他,而不是靠我們自己所擁有的東西
[00:02:24.400 --> 00:02:28.800]  希望他的說話
[00:02:28.800 --> 00:02:32.760]  今天成爲我們的祝福,也成爲我們的提醒
[00:02:32.760 --> 00:02:35.640]  我們一起禱告,好嗎
[00:02:35.640 --> 00:02:41.240]  親愛的天父,親愛的主耶穌,親愛的聖靈
[00:02:41.240 --> 00:02:45.800]  在我們這個很難的時刻
[00:02:45.800 --> 00:02:49.760]  我們要謙卑我們自己
[00:02:49.760 --> 00:02:56.240]  是的,禰教我們不要靠我們自己的想法
[00:02:56.240 --> 00:02:58.920]  我們自己的經驗
[00:02:58.920 --> 00:03:01.000]  要相信禰
[00:03:01.000 --> 00:03:06.400]  相信禰的話,依靠禰
[00:03:06.400 --> 00:03:11.680]  所以今天我們來到你的面前,我們再去聽婚姻
[00:03:11.680 --> 00:03:15.120]  一個家庭,你說要重建家庭
[00:03:15.120 --> 00:03:18.400]  一個家庭應該是怎樣的
[00:03:18.400 --> 00:03:23.400]  求你改變我們的思想
[00:03:23.400 --> 00:03:27.480]  更新我們對婚姻的觀念
[00:03:27.480 --> 00:03:36.920]  要我們所想的,所信的,是基於禰的話語和提醒
[00:03:36.920 --> 00:03:43.240]  光照我們,改變我們,與我們同在
[00:03:43.240 --> 00:03:47.320]  我們這樣禱告,奉耶穌基督得勝的命求
[00:03:47.320 --> 00:03:49.560]  Amen
[00:03:49.560 --> 00:03:59.040]  上回講到談婚論嫁ABC的A
[00:03:59.040 --> 00:04:03.640]  我們就說了我們現今的世代
[00:04:03.640 --> 00:04:06.760]  很多失敗的婚姻在我們周圍
[00:04:06.760 --> 00:04:09.440]  我們看到的
[00:04:09.440 --> 00:04:13.960]  香港人差不多100個人結婚
[00:04:13.960 --> 00:04:17.600]  有40對要離婚
[00:04:17.600 --> 00:04:20.800]  剩下的就不是在享受婚姻
[00:04:20.800 --> 00:04:23.880]  很多是在忍受婚姻
[00:04:23.880 --> 00:04:28.400]  上次我們說出了什麼問題
[00:04:28.400 --> 00:04:34.160]  我們就說,拜託PowerPoint
[00:04:34.160 --> 00:04:40.000]  因爲各人沒有按照聖經的屬靈原則去行
[00:04:40.000 --> 00:04:44.080]  我們說終身大事是一件很大的事
[00:04:44.080 --> 00:04:47.720]  其實我們一輩子沒有上過什麼課
[00:04:47.720 --> 00:04:50.160]  學習婚姻究竟是什麼
[00:04:50.160 --> 00:04:52.920]  但我們以爲,我們覺得,我們知道的
[00:04:52.920 --> 00:04:54.720]  因爲我們見到很多婚姻
[00:04:54.720 --> 00:04:58.240]  抵着抵着,我們是見到很多失敗的婚姻
[00:04:58.240 --> 00:05:00.120]  所以我們有些什麼學呢?
[00:05:00.120 --> 00:05:04.840]  我們學到的東西,可能都是失敗的
[00:05:04.840 --> 00:05:13.440]  所以,因爲我們不認識神創造婚姻的屬靈原則的時候
[00:05:13.440 --> 00:05:18.440]  我們很多時候就走了很多的冤枉路
[00:05:18.440 --> 00:05:23.000]  好,拜託PowerPoint
[00:05:23.000 --> 00:05:24.720]  於是我們上一次呢
[00:05:24.720 --> 00:05:28.640]  我們就說了第一個的屬靈原則
[00:05:28.640 --> 00:05:30.880]  就是阿摩斯書三章三節說
[00:05:30.880 --> 00:05:35.160]  「義人若不同心,豈能同行」
[00:05:35.160 --> 00:05:39.040]  我們說,第一個,我們選擇我們的對象的時候
[00:05:39.040 --> 00:05:42.840]  你不可以單靠外表、性情、興趣
[00:05:42.840 --> 00:05:46.440]  你還要多問一個深層次的問題
[00:05:46.440 --> 00:05:50.600]  你們的人生方向是否相同呢?
[00:05:50.600 --> 00:05:56.520]  你們對婚姻的期望是否相似呢?
[00:05:56.520 --> 00:06:00.280]  我們有沒有相似的婚姻藍圖呢?
[00:06:00.280 --> 00:06:03.720]  上一次呢,我們就說到這裏
[00:06:03.720 --> 00:06:08.520]  今天呢,我們要說第二個的屬靈原則
[00:06:08.520 --> 00:06:10.600]  第二個的屬靈原則呢
[00:06:10.600 --> 00:06:20.040]  就是明白和同意神設定夫婦在婚姻裏面的角色
