
[00:00:00.000 --> 00:00:03.000]  鄭英子妹平安
[00:00:03.000 --> 00:00:08.000]  在昨晚的聚會裏面我個人再次經歷到神蹟
[00:00:08.000 --> 00:00:13.000]  在昨晚的聚會裏面我個人也再次經歷到神蹟
[00:00:13.000 --> 00:00:16.000]  在會前我一直在咳嗽
[00:00:16.000 --> 00:00:18.000]  在之前我一直在咳嗽
[00:00:18.000 --> 00:00:20.000]  在會後也一直咳嗽
[00:00:20.000 --> 00:00:22.000]  到旅店裏面還在咳嗽
[00:00:22.000 --> 00:00:24.000]  會後我也一直在咳嗽
[00:00:24.000 --> 00:00:28.000]  就是剛剛中間那段時間忘記咳嗽
[00:00:28.000 --> 00:00:31.000]  就是剛剛中間那段時間忘記咳嗽
[00:00:31.000 --> 00:00:34.000]  因為我真的很怕咳嗽的時候
[00:00:34.000 --> 00:00:36.000]  很難傳揚主的話
[00:00:36.000 --> 00:00:40.000]  因為當我咳嗽的時候就很難去傳揚神的話
[00:00:40.000 --> 00:00:45.000]  其實我還在用一些藥來控制
[00:00:45.000 --> 00:00:48.000]  我現在還在用藥來控制這個情況
[00:00:48.000 --> 00:00:52.000]  所以我相信這十天會越講聲音越好的
[00:00:52.000 --> 00:00:56.000]  我相信這十天裏面我會越講
[00:00:56.000 --> 00:00:58.000]  聲音會越來越好
[00:00:58.000 --> 00:01:01.000]  伊麗莎白·奧康納指出
[00:01:01.000 --> 00:01:05.000]  饒恕是很難實行出來的一種舉動
[00:01:05.000 --> 00:01:09.000]  伊麗莎白·奧康納說
[00:01:09.000 --> 00:01:12.000]  饒恕是很難實行出來的
[00:01:12.000 --> 00:01:14.000]  他這樣說
[00:01:14.000 --> 00:01:20.000]  儘管聽上百篇有關饒恕的講章
[00:01:20.000 --> 00:01:25.000]  就算你聽了百篇有關饒恕的講章
[00:01:25.000 --> 00:01:29.000]  我們還是不容易饒恕人
[00:01:29.000 --> 00:01:33.000]  也很難饒恕自己
[00:01:33.000 --> 00:01:41.000]  我們發現饒恕遠比講台說得更難
[00:01:41.000 --> 00:01:47.000]  即使我們費了九牛二虎之力
[00:01:47.000 --> 00:01:51.000]  把自己不肯饒恕的行為合理化了
[00:01:51.000 --> 00:01:55.000]  就把自己不肯饒恕的行為合理化
[00:01:55.000 --> 00:01:58.000]  於是就助長了家庭的糾紛
[00:01:58.000 --> 00:02:00.000]  我們就會助長家庭裏面的糾紛
[00:02:00.000 --> 00:02:02.000]  懲罰了自己也懲罰了別人
[00:02:02.000 --> 00:02:04.000]  懲罰自己也懲罰別人
[00:02:04.000 --> 00:02:10.000]  都是為了逃避那絕非法之自然的饒恕之舉
[00:02:10.000 --> 00:02:17.000]  都是為了逃避絕對不是法治自然的那種饒恕之舉
[00:02:17.000 --> 00:02:22.000]  這十晚的分析會的主題是活出夜夜精彩人生
[00:02:22.000 --> 00:02:26.000]  這十晚的粉卿會主題就是活出夜夜精彩人生
[00:02:26.000 --> 00:02:31.000]  我從十個方面講出怎樣活出精彩的人生
[00:02:31.000 --> 00:02:35.000]  我要從十個方面來講出怎樣來活出夜夜精彩的人生
[00:02:35.000 --> 00:02:37.000]  過去三晚我講過敬拜
[00:02:37.000 --> 00:02:39.000]  過去三晚我講了敬拜
[00:02:39.000 --> 00:02:41.000]  感恩
[00:02:41.000 --> 00:02:43.000]  堅忍
[00:02:43.000 --> 00:02:45.000]  今晚講饒恕
[00:02:45.000 --> 00:02:47.000]  化解宿怨
[00:02:47.000 --> 00:02:50.000]  其他還有六方面要講的
[00:02:50.000 --> 00:02:53.000]  其他還有六方面要講的
[00:02:53.000 --> 00:02:55.000]  愛認罪
[00:02:55.000 --> 00:02:58.000]  信心猜存
[00:02:58.000 --> 00:03:00.000]  門訓
[00:03:00.000 --> 00:03:02.000]  最後我喜歡講的
[00:03:02.000 --> 00:03:04.000]  終極無憾
[00:03:04.000 --> 00:03:08.000]  最後我想跟大家講的就是終極無憾
