
[00:00:00.000 --> 00:00:04.940]  今天我們就要講《摩西五經》裏面的利美記
[00:00:04.940 --> 00:00:09.140]  我們的題目叫做「了陷新時夜」
[00:00:09.140 --> 00:00:11.900]  「新時夜」的原因是因為我們很緊張
[00:00:11.900 --> 00:00:14.400]  或者我們很著意地知道
[00:00:14.400 --> 00:00:16.840]  所有我們正在讀的舊約聖經
[00:00:16.840 --> 00:00:19.100]  都是一個影子指向新約節
[00:00:19.100 --> 00:00:21.100]  尤其是指向主耶穌基督
[00:00:21.100 --> 00:00:23.680]  《約翰福音》第五章四十六節
[00:00:23.680 --> 00:00:27.420]  「如果你們相信摩西也會信我
[00:00:27.420 --> 00:00:30.120]  因為祂寫過關於我的事
[00:00:30.120 --> 00:00:32.220]  你們若不信祂的書
[00:00:32.220 --> 00:00:34.120]  怎能信我的話呢?」
[00:00:34.120 --> 00:00:36.860]  原來舊約是有一個目的
[00:00:36.860 --> 00:00:38.140]  目的是指向新約
[00:00:38.140 --> 00:00:41.880]  如果我們經常當自己活在舊約裏面
[00:00:41.880 --> 00:00:43.400]  不斷在吵舊約
[00:00:43.400 --> 00:00:44.980]  當我們自己是以色列人
[00:00:44.980 --> 00:00:45.940]  那就糟糕了
[00:00:45.940 --> 00:00:48.400]  因為我們不是猶太教的信徒
[00:00:48.400 --> 00:00:49.900]  我們是基督教的信徒
[00:00:49.900 --> 00:00:52.020]  而我們相信聖經是一體
[00:00:52.020 --> 00:00:54.140]  舊約是指向新約
[00:00:54.140 --> 00:00:58.040]  我們花了很多時間在《出埃及記》裏
[00:00:58.040 --> 00:01:02.600]  今天是第六課
[00:01:02.600 --> 00:01:04.600]  還有最後三課加上今天
[00:01:04.600 --> 00:01:06.600]  我們已經出埃及了
[00:01:06.600 --> 00:01:12.760]  但是我們正在讀的是第三本
[00:01:12.760 --> 00:01:14.560]  《創出利民生》
[00:01:14.560 --> 00:01:16.140]  我們出埃及了
[00:01:16.140 --> 00:01:18.140]  但其實從某個角度來說
[00:01:18.140 --> 00:01:21.720]  《利未記》是《出埃及記》的一個延續
[00:01:21.720 --> 00:01:23.420]  《利未記》所記載的東西
[00:01:23.420 --> 00:01:27.480]  大概是在西乃山下
[00:01:27.480 --> 00:01:32.860]  大家記得摩西在西乃山領受了十屆
[00:01:32.860 --> 00:01:34.940]  我們討論了很久
[00:01:34.940 --> 00:01:35.440]  十屆
[00:01:35.440 --> 00:01:40.460]  現在其實《利未記》是在之後的一年裏所記載的
[00:01:40.460 --> 00:01:42.940]  我們今天如果看《利未記》
[00:01:42.940 --> 00:01:46.900]  都覺得是挺困難的一件事
[00:01:46.900 --> 00:01:48.020]  你有沒有想過
[00:01:48.020 --> 00:01:50.660]  《利未記》對於以色列人來講
[00:01:50.660 --> 00:01:53.940]  是認識上帝101
[00:01:53.940 --> 00:01:56.460]  101就是你入大學的時候
[00:01:56.460 --> 00:01:58.940]  第一科學的那一科叫101
[00:01:58.940 --> 00:02:00.940]  他們現在出了埃及
[00:02:00.940 --> 00:02:02.940]  上帝給了他們十屆
[00:02:02.940 --> 00:02:04.940]  你當十屆都是101的一部分
[00:02:04.940 --> 00:02:07.940]  然後第一年他們要學些甚麼呢
[00:02:07.940 --> 00:02:10.940]  你想想我們不知道他們在埃及的情況
[00:02:10.940 --> 00:02:13.820]  大概他們在埃及的情況已經忘記了以色列人
[00:02:13.820 --> 00:02:15.820]  從前的約等等
[00:02:15.820 --> 00:02:16.320]  完全不知道
[00:02:16.320 --> 00:02:18.320]  所以摩西去的時候都說
[00:02:18.320 --> 00:02:20.820]  你是誰來的
[00:02:20.820 --> 00:02:22.820]  我怎麼介紹給我們的人
[00:02:22.820 --> 00:02:24.820]  因為我們不認識耶和華這個人
[00:02:24.820 --> 00:02:28.820]  現在耶和華要正式介紹給他們聽
[00:02:28.820 --> 00:02:30.820]  通過甚麼
[00:02:30.820 --> 00:02:32.820]  通過《利未記》
[00:02:32.820 --> 00:02:34.820]  當然有些故事已經發生了
[00:02:34.820 --> 00:02:36.820]  包括他們怎樣出埃及
[00:02:36.820 --> 00:02:38.820]  這些是他們親身經驗
[00:02:38.820 --> 00:02:40.820]  現在出去了
[00:02:40.820 --> 00:02:42.820]  我們不是跟耶和華很熟
[00:02:42.820 --> 00:02:44.820]  於是用《利未記》來介紹耶和華
[00:02:44.820 --> 00:02:48.820]  耶和華跟其他埃及的偶像有甚麼不一樣
[00:02:48.820 --> 00:02:50.820]  所以從這個角度來說
[00:02:50.820 --> 00:02:53.820]  當你去問那些甚麼叫潔淨不潔淨的那些
[00:02:53.820 --> 00:02:56.820]  其實是背後很有可能是跟當時的
[00:02:56.820 --> 00:02:58.820]  我們叫 Ancient Near East
[00:02:58.820 --> 00:03:01.820]  即是遠古近東的民族
[00:03:01.820 --> 00:03:05.820]  他們那些甚麼叫潔淨不潔淨是有關係的
[00:03:05.820 --> 00:03:07.820]  因為很明顯是強調
[00:03:07.820 --> 00:03:11.820]  他耶和華跟其他偶像的不一樣
[00:03:11.820 --> 00:03:14.820]  所以我們會留在這個《利未記》
[00:03:14.820 --> 00:03:18.820]  就是在西乃山下面之後的一年
[00:03:18.820 --> 00:03:21.820]  然後你去到文素記就開始移動了
[00:03:21.820 --> 00:03:24.820]  即是文素記一開播就數人
[00:03:24.820 --> 00:03:26.820]  數人之後就移動了
[00:03:26.820 --> 00:03:28.820]  他們由西乃山去移動移動移動
[00:03:28.820 --> 00:03:30.820]  就移動了38年
[00:03:30.820 --> 00:03:33.820]  所以文素記就是曠野中的大叛逆
[00:03:33.820 --> 00:03:36.820]  由他們開始移動然後移動了很久
[00:03:36.820 --> 00:03:39.820]  其實應該是很快就可以去到應去之地
[00:03:39.820 --> 00:03:42.820]  但因為他們的叛逆結果在曠野裏面
[00:03:42.820 --> 00:03:44.820]  走了38年
[00:03:44.820 --> 00:03:48.820]  最後生命記就是未入迦南之前
[00:03:48.820 --> 00:03:51.820]  即是38年之後摩西就進不了迦南
[00:03:51.820 --> 00:03:54.820]  於是摩西在生命記裏面
[00:03:54.820 --> 00:03:56.820]  就是摩西最後的講章
