
[00:00:00.000 --> 00:00:03.020]  各位電視媒員平安!
[00:00:03.020 --> 00:00:06.400]  我們感謝神在二、三年的新的年度
[00:00:06.400 --> 00:00:09.020]  我們可以一起在神的殿當中敬拜
[00:00:09.020 --> 00:00:11.060]  我們很感謝神
[00:00:11.060 --> 00:00:13.480]  我回顧保羅所說的話
[00:00:13.480 --> 00:00:19.860]  他說:「身體雖然軟弱,但是內心卻一天,生持一天。」
[00:00:19.860 --> 00:00:21.780]  我們或者在不同的階段
[00:00:21.780 --> 00:00:23.860]  但是神仍然給我們因典
[00:00:23.860 --> 00:00:26.100]  每天經歷新的因典
[00:00:26.100 --> 00:00:29.380]  也領受生命的不斷的更新
[00:00:29.380 --> 00:00:31.260]  所以我希望大家
[00:00:31.260 --> 00:00:32.980]  雖然今天是第二個星期
[00:00:32.980 --> 00:00:35.260]  但是仍然可以給祝福
[00:00:35.260 --> 00:00:37.500]  你可以祝福你身邊的弟兄姊妹
[00:00:37.500 --> 00:00:39.660]  求神給你生命更新
[00:00:39.660 --> 00:00:41.660]  每一天無新的因
[00:00:41.660 --> 00:00:43.780]  大家給予祝福的機會
[00:00:43.780 --> 00:00:59.140]  感謝神應許此下新的因典
[00:00:59.140 --> 00:01:01.140]  我們一起祈禱
[00:01:01.140 --> 00:01:08.120]  天地的主
[00:01:08.120 --> 00:01:10.540]  永恆的上帝
[00:01:10.540 --> 00:01:14.180]  我們何等有福能夠認識祢
[00:01:14.180 --> 00:01:17.420]  我們何等蒙恩能夠屬於祢
[00:01:17.420 --> 00:01:19.340]  不再屬於黑暗
[00:01:19.340 --> 00:01:22.340]  不再屬於這個世界
[00:01:22.340 --> 00:01:23.780]  主我們知道
[00:01:23.780 --> 00:01:26.300]  祢自己在耶穌基督裡面
[00:01:26.300 --> 00:01:28.820]  祢重新的創造我們
[00:01:28.820 --> 00:01:31.580]  讓我們成為新造的人
[00:01:31.580 --> 00:01:33.060]  祢藉著祢的聖靈
[00:01:33.060 --> 00:01:36.060]  讓我們每一天經歷新的因緯
[00:01:36.060 --> 00:01:39.260]  讓我們生命可以上升
