
[00:00:00.000 --> 00:00:04.560]  我們今天要分享的題目是「我追緊啲乜」
[00:00:04.560 --> 00:00:07.040]  我不知道如果我們今天問自己這個問題
[00:00:07.040 --> 00:00:08.560]  「我追緊啲乜」
[00:00:08.560 --> 00:00:10.760]  你又會怎樣回答這個問題呢?
[00:00:10.760 --> 00:00:14.560]  但是當我去想起這個「追」字的時候
[00:00:14.560 --> 00:00:17.560]  如果你跟我同一個年代
[00:00:17.560 --> 00:00:20.760]  你應該想起一首歌
[00:00:20.760 --> 00:00:24.360]  那首歌就是張國榮的「追」
[00:00:24.360 --> 00:00:26.360]  有沒有人懂得唱?
[00:00:26.360 --> 00:00:29.360]  有的話我們一起唱,唱一句而已
[00:00:29.360 --> 00:00:31.360]  我們一起唱,1,2,3
[00:00:31.360 --> 00:00:34.360]  這一生也在進取
[00:00:34.360 --> 00:00:38.360]  這分鐘卻掛念誰
[00:00:38.360 --> 00:00:44.360]  我會說是唯獨你不可失去
[00:00:44.360 --> 00:00:46.360]  給點掌聲大家好不好?
[00:00:46.360 --> 00:00:50.360]  這些回應是不會在少年目區找到的
[00:00:50.360 --> 00:00:52.360]  因為我們問他張國榮的時候
[00:00:52.360 --> 00:00:54.360]  他說「什麼話?」
[00:00:54.360 --> 00:00:56.360]  這首歌如果是我們的年代
[00:00:56.360 --> 00:00:58.360]  我們大家都很熟悉
[00:00:58.360 --> 00:01:00.360]  裡面的副歌是這樣說
[00:01:00.360 --> 00:01:05.360]  「一追再追,只想追趕生命裡」
[00:01:05.360 --> 00:01:10.360]  「一分一秒,原來多麼可笑」
[00:01:10.360 --> 00:01:15.360]  「你是真正目標,一追再追」
[00:01:15.360 --> 00:01:18.360]  當然我們知道這一首是一首情歌
[00:01:18.360 --> 00:01:19.360]  但是裡面說出的是
[00:01:19.360 --> 00:01:21.360]  當我們追趕這個生命
[00:01:21.360 --> 00:01:22.360]  當我們追這個世界
[00:01:22.360 --> 00:01:24.360]  告訴我們要追的時候
[00:01:24.360 --> 00:01:27.360]  原來我失去了最重要的東西
