
[00:00:00.000 --> 00:00:02.060]  在復活節的時候能夠回來
[00:00:02.060 --> 00:00:05.340]  有現場實體的去敬拜 去親近主
[00:00:05.340 --> 00:00:06.540]  實在是很得無比
[00:00:06.540 --> 00:00:07.820]  我們一起餓肚過夏
[00:00:07.820 --> 00:00:08.620]  天父我們多謝祢
[00:00:08.620 --> 00:00:09.580]  真是祢愛我們
[00:00:09.580 --> 00:00:12.180]  祢讓我們終於可以在一起
[00:00:12.180 --> 00:00:13.780]  有現場的敬拜
[00:00:13.780 --> 00:00:15.620]  我們一起來親近祢
[00:00:15.620 --> 00:00:19.340]  去享受弟兄姊妹彼此相愛那份喜悅
[00:00:19.340 --> 00:00:20.860]  最後我們真的獻上感謝
[00:00:20.860 --> 00:00:23.420]  特別今天是復活節的主日
[00:00:23.420 --> 00:00:26.580]  我們去紀念祢為我們所承受的那份救恩
[00:00:26.580 --> 00:00:27.660]  最後我們多謝祢
[00:00:27.660 --> 00:00:29.100]  真是願祢幫助我們
[00:00:29.100 --> 00:00:31.660]  讓我們謹記我們是屬於祢的
[00:00:31.660 --> 00:00:33.580]  我們有復活的能力在我們當中
[00:00:33.580 --> 00:00:36.380]  就讓我們能夠仿效祢 跟從祢
[00:00:36.380 --> 00:00:38.780]  在這個地上能夠成為和平之子
[00:00:38.780 --> 00:00:39.980]  我們這樣禱告奉靠
[00:00:39.980 --> 00:00:41.500]  主耶穌基督我們
[00:00:41.500 --> 00:00:42.700]  Amen
[00:00:42.700 --> 00:00:45.740]  好了 很快就已經去到2021年
[00:00:45.740 --> 00:00:47.660]  我們第二季的季題了
[00:00:47.660 --> 00:00:50.300]  那些裝飾都已經轉了
[00:00:50.300 --> 00:00:51.980]  要成為和平之子的時候
[00:00:51.980 --> 00:00:53.820]  究竟我們應該怎樣做呢
[00:00:53.820 --> 00:00:56.300]  特別我們在4月1日回來的時候
[00:00:56.300 --> 00:00:59.500]  那個感覺是像災難片
[00:00:59.500 --> 00:01:02.060]  災難之後在地底鑽出來
[00:01:02.060 --> 00:01:04.140]  再見對方的那種感覺
[00:01:04.140 --> 00:01:05.900]  雖然不能夠很親密
[00:01:05.900 --> 00:01:07.900]  但是那個感覺是很感動的
[00:01:07.900 --> 00:01:09.420]  可能今天你看一下你旁邊那個
[00:01:09.420 --> 00:01:11.100]  真的能夠見到有人跟你一起坐
[00:01:11.100 --> 00:01:13.500]  都覺得是一件很難得的事
[00:01:13.500 --> 00:01:15.100]  其實你說再一次
[00:01:15.100 --> 00:01:16.940]  是不是我們會這樣就正常的呢
[00:01:16.940 --> 00:01:17.900]  當然不正常
[00:01:17.900 --> 00:01:20.060]  現在我們只有三成而已
[00:01:20.060 --> 00:01:22.220]  但是我們慢慢因為疫情
[00:01:22.220 --> 00:01:23.660]  真的能夠再控制
[00:01:23.660 --> 00:01:25.660]  我們再能夠多一些人回來
[00:01:25.660 --> 00:01:26.940]  又或者是
[00:01:26.940 --> 00:01:28.940]  如果你說開關了
[00:01:28.940 --> 00:01:32.060]  開關那些人會不會繼續走來走去呢
[00:01:32.060 --> 00:01:34.620]  會不會過回以前的那些日子呢
[00:01:34.620 --> 00:01:36.460]  我相信其實有很多東西
[00:01:36.460 --> 00:01:38.620]  我們都是百廢待興的
[00:01:38.620 --> 00:01:40.860]  特別是今天說到和平的君
[00:01:40.860 --> 00:01:42.700]  我們的主耶穌基督的時候
[00:01:42.700 --> 00:01:45.100]  都有一個很大的感覺就是
[00:01:45.100 --> 00:01:49.340]  其實疫情令我們少見面了
[00:01:49.340 --> 00:01:52.540]  我們很多東西是凍結了
[00:01:52.540 --> 00:01:56.380]  或者是掩蓋了不再處理
[00:01:56.380 --> 00:02:01.740]  但是很多無論是在整個人的內心
[00:02:01.740 --> 00:02:04.700]  甚至我們的家庭
[00:02:04.700 --> 00:02:08.300]  又或者整個社群裡面
[00:02:08.300 --> 00:02:11.740]  我們還有很多復活的路
[00:02:11.740 --> 00:02:13.420]  是要我們去走的
[00:02:13.420 --> 00:02:15.420]  十字架上面的救恩
[00:02:15.420 --> 00:02:17.980]  除了拯救我們個人得救之外
[00:02:17.980 --> 00:02:19.820]  其實最重要它就是化解了
[00:02:19.820 --> 00:02:22.220]  人世間一切的冤仇
[00:02:22.220 --> 00:02:24.460]  所以以賽亞書第九章第六節
[00:02:24.460 --> 00:02:25.900]  那段經文是這樣說的
[00:02:25.900 --> 00:02:28.380]  因有一英孩為我們而生
[00:02:28.380 --> 00:02:30.140]  有一子賜給我們
[00:02:30.140 --> 00:02:33.260]  政權必擔在他的肩頭上
[00:02:33.260 --> 00:02:35.580]  他名稱為奇妙賊士
[00:02:35.580 --> 00:02:36.940]  全能的神
[00:02:36.940 --> 00:02:39.980]  永在的父和平的君
[00:02:39.980 --> 00:02:41.660]  當我們去看經文的時候
[00:02:41.660 --> 00:02:43.500]  我們知道以賽亞書
[00:02:43.500 --> 00:02:46.140]  以賽亞先知是怎樣去形容
[00:02:46.140 --> 00:02:47.900]  這個尼賽亞呢
[00:02:47.900 --> 00:02:49.340]  其中一個名字去形容
[00:02:49.340 --> 00:02:51.340]  他是一個和平的君
[00:02:51.340 --> 00:02:54.140]  對當時的人來說是有些諷刺的
[00:02:54.140 --> 00:02:56.300]  因為你知道他們已經亡了國
[00:02:56.300 --> 00:03:00.060]  尼賽亞都不是在服侍自己國家的君王
[00:03:00.060 --> 00:03:03.420]  在一個受壓迫受困難的環境裡面
[00:03:03.420 --> 00:03:07.020]  他就向當時的人宣告
[00:03:07.020 --> 00:03:10.540]  上帝的愛 上帝的恩典從來沒有離開過我們
[00:03:10.540 --> 00:03:13.900]  將會有一位和平的君王
[00:03:13.900 --> 00:03:17.260]  來出現成為他們的拯救
[00:03:17.260 --> 00:03:19.340]  所以你看這麼多千年以來
[00:03:19.340 --> 00:03:22.300]  以色列人都是很渴求
[00:03:22.300 --> 00:03:25.900]  等待尼賽亞的降臨
[00:03:25.900 --> 00:03:30.140]  今時今日在以色列地未信耶穌的猶太人
[00:03:30.140 --> 00:03:34.460]  他們仍然在等候他們的尼賽亞降臨
[00:03:34.460 --> 00:03:37.580]  他們希望這個君王的降臨
[00:03:37.580 --> 00:03:43.660]  能夠重新帶領以色列進入一個很風光的時代
[00:03:43.660 --> 00:03:47.660]  但是以賽亞所說的君王的形象
[00:03:47.660 --> 00:03:52.780]  和一般猶太人心中所期望的有很大的分歧
[00:03:52.780 --> 00:03:54.940]  所以當耶穌出現的時候
[00:03:54.940 --> 00:03:57.340]  他們才會禁止拒絕的耶穌
[00:03:57.340 --> 00:03:59.740]  和平這個詞我們英文很熟悉
[00:03:59.740 --> 00:04:02.220]  就是peace 大家都很喜歡這個詞
[00:04:02.220 --> 00:04:04.700]  但是你看到希伯來文是salum
[00:04:04.700 --> 00:04:07.900]  這首歌的salum歌是很多的
[00:04:07.900 --> 00:04:09.420]  我們都很喜歡唱的
[00:04:09.420 --> 00:04:11.340]  而且如果你去到以色列
[00:04:11.340 --> 00:04:13.180]  導遊一定會教你的
[00:04:13.180 --> 00:04:15.660]  跟別人打招呼不是說hello
[00:04:15.660 --> 00:04:17.900]  也不是說早安 也不是說你好
[00:04:17.900 --> 00:04:19.260]  中國人問你吃飯了沒有
[00:04:19.260 --> 00:04:20.460]  他們是不會說這些的
[00:04:20.460 --> 00:04:22.780]  在當地是一定說salum
[00:04:22.780 --> 00:04:24.540]  願你平安
[00:04:24.540 --> 00:04:25.900]  我們就明白了
[00:04:25.900 --> 00:04:28.780]  其實因為以色列這麼久以來
[00:04:28.780 --> 00:04:33.980]  從來都未曾真的享受過一個長久平安的日子
[00:04:33.980 --> 00:04:36.780]  人心裡面最需要的就是那份平安
[00:04:36.780 --> 00:04:39.100]  而希伯來文對於平安這個詞
[00:04:39.100 --> 00:04:41.900]  那個形容是更加透徹的
[00:04:41.900 --> 00:04:43.660]  什麼叫平安
[00:04:43.660 --> 00:04:46.220]  是不是舒舒服服坐在那裡就是平安
[00:04:46.220 --> 00:04:48.380]  可能今天你回來能夠崇拜
[00:04:48.380 --> 00:04:49.580]  覺得很平安
[00:04:49.580 --> 00:04:50.860]  但是也很坦白
[00:04:50.860 --> 00:04:53.260]  可能你坐在那裡崇拜的弟兄姊妹
[00:04:53.260 --> 00:04:55.340]  心裡面是不平安的
[00:04:55.340 --> 00:04:57.100]  特別我們在敬拜的裡面
[00:04:57.100 --> 00:04:59.820]  當我們跟上帝connect的時候
[00:04:59.820 --> 00:05:01.820]  有很多時候是很多思緒
[00:05:01.820 --> 00:05:05.260]  很多情感是在翻騰的
[00:05:05.260 --> 00:05:06.700]  是不是在享受平安呢
[00:05:06.700 --> 00:05:08.860]  可能在平安的過程裡面
[00:05:08.860 --> 00:05:10.860]  我們有很多滾動都不一定
[00:05:10.860 --> 00:05:12.380]  我喜歡這個解釋
[00:05:12.380 --> 00:05:17.260]  他說平安就是沒有鬥爭
[00:05:17.260 --> 00:05:18.300]  想清楚
[00:05:18.300 --> 00:05:19.580]  我們為什麼覺得舒服
[00:05:19.580 --> 00:05:21.340]  我們為什麼覺得平安呢
[00:05:21.340 --> 00:05:22.940]  環境是重要的
[00:05:22.940 --> 00:05:26.940]  但是心情心態才是最重要的
[00:05:26.940 --> 00:05:30.300]  在家裡究竟你是很舒服
[00:05:30.300 --> 00:05:33.180]  還是很懵懂
[00:05:33.180 --> 00:05:34.460]  還是很亂呢
