
[00:00:00.000 --> 00:00:05.160]  有機會來到分享神的說話是一件很美好的事
[00:00:05.160 --> 00:00:10.600]  也很感恩 我經常都很感謝神 給我有機會
[00:00:10.600 --> 00:00:14.360]  尤其是因為這二十多年來
[00:00:14.360 --> 00:00:17.320]  我因為在受養院裡面去工作
[00:00:17.320 --> 00:00:21.880]  所以不是在一個教會裡面去牧羊教會
[00:00:21.880 --> 00:00:26.600]  就比較有多點機會去不同的教會去證到
[00:00:26.600 --> 00:00:34.520]  這個好處就是可以在不同的教會裡面認識不同的弟兄姊妹
[00:00:34.520 --> 00:00:40.520]  還有每一次我去到不同的教會都感受到神是很奇妙的一位神
[00:00:40.520 --> 00:00:43.480]  在各處興起祂自己的教會
[00:00:43.480 --> 00:00:48.560]  今天我跟大家分享的經文是在《提摩太前書》第六章
[00:00:48.560 --> 00:00:55.960]  如果你有聖經的話 可以打開你的聖經去這段的經文
[00:00:55.960 --> 00:01:02.800]  稍後我在這個 PowerPoint 上面會展示一部分的經文給大家看
[00:01:02.800 --> 00:01:07.760]  但我經常都鼓勵弟兄姊妹可以仍然打開自己的聖經
[00:01:07.760 --> 00:01:13.280]  你可以看到整篇的經文
[00:01:13.280 --> 00:01:21.600]  很多年前有一個遊戲秀 叫做《Who Wants to be a Millionaire》
[00:01:21.600 --> 00:01:28.280]  這個遊戲秀曾經是收視率最高的遊戲節目之一
[00:01:28.280 --> 00:01:35.920]  不單止是在美國 事實上在世界各地很多的地方都有他們的版本
[00:01:35.920 --> 00:01:40.360]  這個遊戲的版本
[00:01:40.360 --> 00:01:43.960]  誰想成為百萬富翁
[00:01:43.960 --> 00:01:47.600]  我覺得這個遊戲的題目都頗有趣
[00:01:47.600 --> 00:01:49.360]  誰想成為百萬富翁
[00:01:49.360 --> 00:01:53.960]  或者更好的問題應該是 誰不想成為百萬富翁
[00:01:53.960 --> 00:01:57.840]  有誰不想成為百萬富翁呢
[00:01:57.840 --> 00:02:04.720]  我記得很多年前 當我的大兒子是六年級的時候
[00:02:04.720 --> 00:02:09.560]  我們的校區是六年級小學畢業的
[00:02:09.560 --> 00:02:12.360]  畢業生都有一個 Yearbook
[00:02:12.360 --> 00:02:16.640]  有一個 Yearbook 來邀請這些畢業生
[00:02:16.640 --> 00:02:22.800]  每一個人都會講述自己的心願和抱負
[00:02:22.800 --> 00:02:27.960]  裡面有些問題 例如他最喜歡看的書是哪本書呢
[00:02:27.960 --> 00:02:31.800]  Favorite TV show 最喜歡的電視節目
[00:02:31.800 --> 00:02:33.520]  諸如此類的東西
[00:02:33.520 --> 00:02:37.640]  其中有一樣的問題 就是你最理想的工作
[00:02:37.640 --> 00:02:40.000]  I do job 是什麼呢
[00:02:40.000 --> 00:02:44.760]  當然有人說 我想做醫生 我想做警察
[00:02:44.760 --> 00:02:46.120]  想做消防員
[00:02:46.120 --> 00:02:49.640]  你不要忘記這些是六年級的小學生
[00:02:49.640 --> 00:02:53.840]  我記得我小時候都想做警察的
[00:02:53.840 --> 00:02:55.840]  做消防員等等的東西
[00:02:55.840 --> 00:03:00.440]  或者有些小朋友 他說他們以後想做老師
[00:03:00.440 --> 00:03:04.120]  我看到有一個小朋友 我覺得很有趣
[00:03:04.120 --> 00:03:07.000]  他說他最理想的工作是 I do job
[00:03:07.000 --> 00:03:09.760]  是做一個 Billionaire
[00:03:09.760 --> 00:03:11.600]  做一個億萬富翁
[00:03:11.600 --> 00:03:14.000]  他以為億萬富翁是一份工作
[00:03:14.000 --> 00:03:17.920]  而他是很想得到這份工作
[00:03:17.920 --> 00:03:21.560]  我們不要取笑這些六年級的學生
[00:03:21.560 --> 00:03:25.680]  事實上有人對美國的高中生
[00:03:25.680 --> 00:03:27.280]  也做過一個調查
[00:03:27.280 --> 00:03:30.040]  問他們將來想做些什麼
[00:03:30.040 --> 00:03:34.440]  他們發覺這些高中生 這些高中生
[00:03:34.440 --> 00:03:38.000]  他們其中很多人
[00:03:38.000 --> 00:03:40.400]  其實他們不知道他們以後想做什麼
[00:03:40.400 --> 00:03:48.800]  他們只知道想賺很多很多錢
[00:03:48.800 --> 00:03:52.040]  以前我唐學院有一個學生
[00:03:52.040 --> 00:03:55.840]  他有一次在暑假的時候
[00:03:55.840 --> 00:03:59.160]  跟一個短宣隊去到台灣做短宣
[00:03:59.160 --> 00:04:00.560]  他要坐飛機
[00:04:00.560 --> 00:04:04.560]  他告訴我 他說他們全家一起去
[00:04:04.560 --> 00:04:09.000]  他說他當時十四歲的兒子
[00:04:09.000 --> 00:04:13.680]  拒絕坐經濟艙
[00:04:13.680 --> 00:04:15.040]  我這個學生
[00:04:15.040 --> 00:04:16.880]  他在放棄他的職業
[00:04:16.880 --> 00:04:18.800]  進入全職侍奉之前
[00:04:18.800 --> 00:04:21.720]  他是一個非常富裕的專業人士
[00:04:21.720 --> 00:04:23.720]  他說他跟他的家人
[00:04:23.720 --> 00:04:27.400]  一向都是坐頭等艙的
[00:04:27.400 --> 00:04:28.800]  所以現在他的兒子認為
[00:04:28.800 --> 00:04:34.880]  坐經濟艙是一種他無法忍受的痛苦
[00:04:34.880 --> 00:04:37.760]  當然我希望我們不會好像
[00:04:37.760 --> 00:04:41.200]  這個十四歲的男孩子一樣
[00:04:41.200 --> 00:04:46.120]  將我們所擁有的東西視為理所當然
[00:04:46.120 --> 00:04:49.200]  實際上聖經很清楚地告訴我們
[00:04:49.200 --> 00:04:54.000]  我們應該怎樣去看待我們的金錢
[00:04:54.000 --> 00:04:57.440]  對於那些沒有很多錢的人來說
[00:04:57.440 --> 00:05:01.000]  他們應不應該想要更多的錢呢
[00:05:01.000 --> 00:05:03.440]  對於那些已經有很多的人
[00:05:03.440 --> 00:05:06.160]  他們應該怎麼做呢
[00:05:06.160 --> 00:05:09.320]  使徒保羅在《提摩太前書》第六章
[00:05:09.320 --> 00:05:11.000]  回答了這兩個問題
[00:05:11.000 --> 00:05:12.480]  這兩段的經文
[00:05:12.480 --> 00:05:18.360]  每一段我都用兩句話來做歸納
[00:05:18.360 --> 00:05:21.680]  第六節到第十節
[00:05:21.680 --> 00:05:23.760]  我給他的兩句話是
[00:05:23.760 --> 00:05:28.320]  「金錢需知足,貪財必有害」
[00:05:28.320 --> 00:05:32.000]  保羅在這裡說要知足不要貪財
[00:05:32.000 --> 00:05:33.920]  一個金錢的基督徒
[00:05:33.920 --> 00:05:38.360]  一定要加上一個知足的心
[00:05:38.360 --> 00:05:43.080]  我相信在我們當中的不少的人
[00:05:43.080 --> 00:05:45.440]  其實包括我自己在內
[00:05:45.440 --> 00:05:47.280]  可能都有這樣的經驗
[00:05:47.280 --> 00:05:52.240]  當你見到別人擁有一些你自己沒有的東西
[00:05:52.240 --> 00:05:59.080]  大屋、新車、工具、iPhone
[00:05:59.080 --> 00:06:03.240]  或者很漂亮的衣服等等的東西
[00:06:03.240 --> 00:06:07.600]  我心想為什麼我沒有呢
[00:06:07.600 --> 00:06:10.440]  所以有時候我們會想
[00:06:10.440 --> 00:06:13.680]  我想要這樣或者想要那樣
[00:06:13.680 --> 00:06:17.280]  保羅說要知足要知足
[00:06:17.280 --> 00:06:19.680]  其實在前面第五節那裡
[00:06:19.680 --> 00:06:26.200]  他講到有些人以敬虔為得利的門路
[00:06:26.200 --> 00:06:29.240]  當時有一些人以敬虔為得利的門路
[00:06:29.240 --> 00:06:32.480]  我們不是很清楚到底他是在講什麼人
[00:06:32.480 --> 00:06:35.880]  有可能他是指當時的一些
[00:06:35.880 --> 00:06:38.680]  在教會裡面有一些假教師
[00:06:38.680 --> 00:06:41.040]  他們利用敬虔這件事
[00:06:41.040 --> 00:06:45.560]  來得到一些金錢上的利益
[00:06:45.560 --> 00:06:50.000]  利用敬虔來做經濟利益的手段
[00:06:50.000 --> 00:06:52.880]  所以保羅在第六節那裡跟著說
[00:06:52.880 --> 00:06:58.960]  「然而敬虔加上知足便是大利了」
[00:06:58.960 --> 00:07:02.600]  所以他的意思是說你想得益處
[00:07:02.600 --> 00:07:05.560]  我告訴你怎樣才是真正的大利呢
[00:07:05.560 --> 00:07:09.400]  就是敬虔加上知足
[00:07:09.400 --> 00:07:12.920]  什麼叫知足呢
[00:07:12.920 --> 00:07:18.480]  知足這句詞其實它原本的意思
[00:07:18.480 --> 00:07:20.280]  直接翻出來可以說是
[00:07:20.280 --> 00:07:23.120]  「自己滿足」
[00:07:23.120 --> 00:07:25.960]  Satisfaction by oneself
[00:07:25.960 --> 00:07:33.200]  換句話說一個知足的人不是來自外在的環境
[00:07:33.200 --> 00:07:36.360]  不是因為他擁有多少的東西
[00:07:36.360 --> 00:07:38.120]  而是來自他內心
[00:07:38.120 --> 00:07:42.320]  他裡面有什麼所擁有的東西
[00:07:42.320 --> 00:07:46.120]  我不知道你會不會有時候對於外在的環境
[00:07:46.120 --> 00:07:49.120]  有很多的不滿意
[00:07:49.120 --> 00:07:53.120]  你有沒有久不久會埋怨神
[00:07:53.120 --> 00:07:57.000]  為什麼你不讓我多一點呢
[00:07:57.000 --> 00:08:04.920]  我記得在我的女兒她讀大學的時候
[00:08:04.920 --> 00:08:09.080]  曾經有一次她跟我說
[00:08:09.080 --> 00:08:12.240]  學校有一個程式可以去歐洲
[00:08:12.240 --> 00:08:14.520]  有一個學期的時間
[00:08:14.520 --> 00:08:17.080]  在那裡學習
[00:08:17.080 --> 00:08:24.480]  這是我想很多年輕人都會想要的一個機會
[00:08:24.480 --> 00:08:26.680]  是一個很難得的一個機會
[00:08:26.680 --> 00:08:29.640]  學校讓她這樣去做
[00:08:29.640 --> 00:08:35.440]  但是當我發覺要出的錢有多少的時候
[00:08:35.440 --> 00:08:37.400]  我跟我太太商量了一會之後
[00:08:37.400 --> 00:08:41.200]  最後覺得我們還是不要讓她去
[00:08:41.200 --> 00:08:44.320]  我們就跟女兒說
[00:08:44.320 --> 00:08:48.160]  這是很好的機會但是我們覺得太貴了
[00:08:48.160 --> 00:08:52.040]  她很失望
[00:08:52.040 --> 00:08:54.400]  有時候我心裡面都在想
[00:08:54.400 --> 00:08:56.640]  如果神給我多一點
[00:08:56.640 --> 00:08:59.520]  不會覺得這些錢太貴的話
[00:08:59.520 --> 00:09:03.680]  或者我的女兒就可以享受這樣的機會
[00:09:03.680 --> 00:09:06.280]  我不知道你會不會一直這樣想
[00:09:06.280 --> 00:09:08.040]  你還想要什麼
[00:09:08.040 --> 00:09:09.960]  還想多一點什麼
[00:09:09.960 --> 00:09:12.040]  或者會覺得我的車太舊
[00:09:12.040 --> 00:09:17.480]  或者當人家看到人家有更新更好的東西的時候
[00:09:17.480 --> 00:09:19.040]  你會不會也想要呢
[00:09:19.040 --> 00:09:23.480]  或者你會不會有時候在家裡看來看去
[00:09:23.480 --> 00:09:28.240]  想想還有什麼需要增加的呢
[00:09:28.240 --> 00:09:32.240]  我記得很多年前我在香港的時候
[00:09:32.240 --> 00:09:36.040]  有個朋友第一次來到我們家
[00:09:36.040 --> 00:09:39.000]  他進來之後四面望一望
[00:09:39.000 --> 00:09:44.200]  然後他說你們還差一套Hi-Fi
[00:09:44.200 --> 00:09:46.080]  那是很多年前的
[00:09:46.080 --> 00:09:47.720]  不是人人都有Hi-Fi的
[00:09:47.720 --> 00:09:49.240]  如果是現在的話
[00:09:49.240 --> 00:09:53.120]  或者他會說你還需要一個Big Screen TV
[00:09:53.120 --> 00:09:59.200]  或者是一套Smart System在你的家裡面
[00:09:59.200 --> 00:10:02.200]  金錢加上知足
[00:10:02.200 --> 00:10:04.440]  這個是聖經裡面所說的
[00:10:04.440 --> 00:10:08.320]  在南美洲孫道的Jim Elliot
[00:10:08.320 --> 00:10:11.800]  可能很多人都聽過這個孫教士的故事
[00:10:11.800 --> 00:10:14.760]  或者你看過他的傳記
[00:10:14.760 --> 00:10:17.680]  他曾經寫信給他太太說
[00:10:17.680 --> 00:10:22.560]  不要讓我們的渴望我們的desire
[00:10:22.560 --> 00:10:26.000]  扼殺了我們生活的胃口
[00:10:26.000 --> 00:10:30.000]  我們接受並且感恩神所賜予給我們的
[00:10:30.000 --> 00:10:33.000]  不要容許那些神母賜給我們的東西
[00:10:33.000 --> 00:10:37.880]  來破壞我們的生活的胃口
[00:10:37.880 --> 00:10:40.880]  金錢加上知足
[00:10:40.880 --> 00:10:42.480]  便是大利
[00:10:42.480 --> 00:10:43.720]  不知足
[00:10:43.720 --> 00:10:44.760]  這個經文告訴他
