
[00:00:00.000 --> 00:00:06.260]  但呢一篇嘅《尚行詩》同之前讀過嘅呢,有好大嘅分別喎。
[00:00:06.260 --> 00:00:09.600]  第一呢,《尚行詩》一般嚟講係好短嘅。
[00:00:09.600 --> 00:00:12.920]  起碼,即係冇呢個咁長嘅,一般咁長嘅啫。
[00:00:12.920 --> 00:00:17.860]  方便佢哋一路行呀、一路唱呀,唔使睇譜呀,唔使帶本詩集去。
[00:00:17.860 --> 00:00:24.200]  一輩吖嘛,短歌吖嘛,短嘅,都係十節八節,咁一般嚟講,甚至少啲嘅。
[00:00:24.200 --> 00:00:27.100]  但係呢一首嘅詩呢,就長篇啲喎。
[00:00:27.100 --> 00:00:30.900]  嘩!十八節咁長喎,詩數就多好多㗎喇。
[00:00:30.900 --> 00:00:35.000]  第二呢,佢嘅內容都係唔同喎。
[00:00:35.000 --> 00:00:41.200]  因為一般嘅《尚行詩》就係講,係朝聖嘅路途上面嘅心情喎。
[00:00:41.200 --> 00:00:47.400]  喺呢度講嘅,就係講,即係聖殿嘅建造,約為沉回。
[00:00:47.400 --> 00:00:52.800]  然後安放喺大衛建造嘅聖殿裏面嘅嗰個過程喎。
[00:00:52.800 --> 00:01:02.500]  不過都啱嘅,因為《尚行詩》喺聖殿被毀之前,佢哋係去聖殿朝聖,喺聖殿獻祭,喺聖殿敬拜。
[00:01:02.500 --> 00:01:07.000]  咁講返聖殿都啱嘅,講返約為都啱嘅。
[00:01:07.000 --> 00:01:14.800]  呢一首詩篇,係以色列嘅眾志文嘅一個集體嘅回憶。
[00:01:14.800 --> 00:01:19.500]  因為時至今日喇,聖殿已經不復存在喇。
[00:01:19.500 --> 00:01:27.200]  喺呢首嘅詩篇寫成之後嘅幾百年,佢哋可以去唱詩。
[00:01:27.200 --> 00:01:31.200]  但係後嚟聖殿被毀於巴比倫帝國。
[00:01:31.200 --> 00:01:35.200]  當然佢哋喺波斯王朝復國之後再重建啦。
[00:01:35.200 --> 00:01:40.200]  但係,被希臘帝國所污毀。
[00:01:40.200 --> 00:01:45.200]  當佢重光盛之後,又過咗一二百年。
[00:01:45.200 --> 00:01:50.200]  到羅馬帝國嘅時候,喺朱六七十年呢。
[00:01:50.200 --> 00:01:56.200]  呢個第二聖殿,秘魯歸回所重建嘅聖殿,都再一次被毀。
[00:01:56.200 --> 00:02:00.200]  而到今日呢,聖殿再無重建啦。
[00:02:00.200 --> 00:02:04.200]  咁呢首嘅詩,而家仍然唱嘅,作為一個嘅上行詩。
[00:02:04.200 --> 00:02:08.200]  最有益到呢一個嘅聖殿嘅建築。
[00:02:08.200 --> 00:02:12.200]  好啦,究竟有咩意思呢?點解要有呢首嘅詩篇擺喺度呢?
[00:02:12.200 --> 00:02:16.200]  我首先睇一睇呢個詩篇嘅類型。
[00:02:16.200 --> 00:02:18.200]  每首嘅詩篇都有佢嘅類型。
[00:02:18.200 --> 00:02:21.200]  呢首嘅詩篇,聖經學者將佢歸類為,
[00:02:21.200 --> 00:02:25.200]  一,係君王詩,回顧大衛嘅豐功偉績。
[00:02:25.200 --> 00:02:27.200]  嘩!佢點建造聖殿呀嘛!係咪呀?
[00:02:27.200 --> 00:02:29.200]  話不眠不休嘅。
[00:02:29.200 --> 00:02:33.200]  如果唔係大衛佢有呢個嘅心意去建造聖殿。
[00:02:33.200 --> 00:02:39.200]  並且為聖殿畫上佢嘅藍圖,預備咗一切所需要嘅材料。
[00:02:39.200 --> 00:02:42.200]  所以,所羅門會咁輕易建造。
[00:02:42.200 --> 00:02:50.200]  結果呢位大衛呢,人嘅手尖換咗戰爭嘅血腥。
[00:02:50.200 --> 00:02:55.200]  所以佢冇發展,佢冇畀神允許佢去建聖殿。
[00:02:55.200 --> 00:02:59.200]  然後,所羅門先至為佢完成咗呢個嘅心願。
[00:02:59.200 --> 00:03:03.200]  所以係一個嘅君王詩,係回顧大衛嘅。
[00:03:03.200 --> 00:03:06.200]  好有可能係所羅門王寫嘅。
[00:03:06.200 --> 00:03:12.200]  因為你見到呢一首詩嘅,有好多嘅,即係有幾紙聖經呀。
[00:03:12.200 --> 00:03:19.200]  同歷代至上嘅第七章,所羅門獻殿嘅時候嘅圖文呢。
[00:03:19.200 --> 00:03:23.200]  係一字一句,差唔多都係照錄出嚟嘅。
[00:03:23.200 --> 00:03:26.200]  有可能係所羅門王所寫嘅。
[00:03:26.200 --> 00:03:31.200]  好啦!另外一首,另外一個嘅講法就係,係一個彌賽亞嘅詩呀。
[00:03:31.200 --> 00:03:42.200]  佢講到上帝嘅受公者,期待大衛嘅一位苗裔,接續呢一個寶座,坐在呢一個寶座上面。
[00:03:42.200 --> 00:03:44.200]  係將要來臨嘅一位嘅彌賽亞。
[00:03:44.200 --> 00:03:49.200]  所以有情,可以歸類為彌賽亞詩。
