
[00:00:00.000 --> 00:00:02.000]  電影姊妹平安
[00:00:02.000 --> 00:00:04.000]  當你看到這條片的時候
[00:00:04.000 --> 00:00:06.000]  代表我們很感恩
[00:00:06.000 --> 00:00:08.000]  又可以一起網上崇拜
[00:00:08.000 --> 00:00:09.000]  開始的時候呢
[00:00:09.000 --> 00:00:11.000]  我想分享我一個小經歷
[00:00:11.000 --> 00:00:15.000]  話說最近因為COVID-19的疫情
[00:00:15.000 --> 00:00:18.000]  民間流傳不少抗疫的方法
[00:00:18.000 --> 00:00:20.000]  其中一個方法是什麼呢
[00:00:20.000 --> 00:00:23.000]  就是喝這個果皮水
[00:00:23.000 --> 00:00:25.000]  有沒有人我們當中有喝過果皮水的
[00:00:25.000 --> 00:00:27.000]  你舉一舉手
[00:00:27.000 --> 00:00:29.000]  有 看到感謝主可以放下
[00:00:29.000 --> 00:00:32.000]  我奶奶就很疼我
[00:00:32.000 --> 00:00:35.000]  她就帶了一瓶果皮水給我喝
[00:00:35.000 --> 00:00:37.000]  我就問家人
[00:00:37.000 --> 00:00:38.000]  有什麼功用的
[00:00:38.000 --> 00:00:41.000]  他們都很坦誠地說
[00:00:41.000 --> 00:00:43.000]  不知道的 奶奶叫你喝你就喝了
[00:00:43.000 --> 00:00:45.000]  很有說服力的答覆
[00:00:45.000 --> 00:00:47.000]  我就唯有喝了
[00:00:47.000 --> 00:00:48.000]  都真的
[00:00:48.000 --> 00:00:51.000]  因為我很尊敬很敬重這個奶奶
[00:00:51.000 --> 00:00:53.000]  所以她叫我一定要做
[00:00:53.000 --> 00:00:55.000]  倒掉的後果很嚴重
[00:00:55.000 --> 00:00:57.000]  之後我就喝了
[00:00:57.000 --> 00:00:59.000]  喝第一口就知道出事了
[00:00:59.000 --> 00:01:02.000]  這杯深黑色的果皮水
[00:01:02.000 --> 00:01:03.000]  苦到極點
[00:01:03.000 --> 00:01:06.000]  不知道是用什麼水果的果皮做
[00:01:06.000 --> 00:01:08.000]  可能是用榴槤的皮沖的
[00:01:08.000 --> 00:01:09.000]  很苦
[00:01:09.000 --> 00:01:11.000]  我想它唯一的功用
[00:01:11.000 --> 00:01:13.000]  就是去恐嚇身體
[00:01:13.000 --> 00:01:15.000]  苦到你不敢患這個肺炎
[00:01:15.000 --> 00:01:17.000]  不然你要天天都受苦
[00:01:17.000 --> 00:01:19.000]  最後我喝了一半
[00:01:19.000 --> 00:01:21.000]  就給了我媽媽喝了
[00:01:21.000 --> 00:01:24.000]  今天我其中想說的就是
[00:01:24.000 --> 00:01:26.000]  敬畏是什麼
[00:01:26.000 --> 00:01:30.000]  聖經中被形容為敬畏神的人
[00:01:30.000 --> 00:01:32.000]  他又做了些什麼呢
[00:01:32.000 --> 00:01:34.000]  我們一起有個禱告
[00:01:34.000 --> 00:01:36.000]  叱吒我們多謝祢
[00:01:36.000 --> 00:01:37.000]  獎畏祢
