
[00:00:00.000 --> 00:00:02.400]  我想提醒大家一件非常重要的事
[00:00:02.400 --> 00:00:03.440]  《聖經》說
[00:00:03.440 --> 00:00:06.400]  若不是耶和華建造房屋
[00:00:06.400 --> 00:00:08.920]  建造的人就枉然勞力
[00:00:08.920 --> 00:00:11.440]  若不是耶和華看守聖祠
[00:00:11.440 --> 00:00:14.080]  看守的人就枉然警醒
[00:00:14.080 --> 00:00:17.480]  所以真正在我們背後守護著我們的家庭
[00:00:17.480 --> 00:00:19.080]  守護著我們一切
[00:00:19.080 --> 00:00:21.400]  是我們的上帝
[00:00:21.400 --> 00:00:22.880]  今天我們讀的經文
[00:00:22.880 --> 00:00:28.840]  也正正是提到一個看守豐盛生命
[00:00:28.840 --> 00:00:30.840]  是一個很重要的責任
[00:00:30.840 --> 00:00:34.840]  如果一不小心我們給了一些賊進來
[00:00:34.840 --> 00:00:38.120]  會搶、會偷、會殺害
[00:00:38.120 --> 00:00:42.840]  將我們生命裏很寶貴的人士或物都拿走
[00:00:42.840 --> 00:00:44.240]  剛才我們讀的經課
[00:00:44.240 --> 00:00:45.320]  我也讀過
[00:00:45.320 --> 00:00:48.840]  就是要人福音十章,一字十節
[00:00:48.840 --> 00:00:50.680]  我相信這段經文
[00:00:50.680 --> 00:00:53.440]  不需要再讀,大家都很熟悉
[00:00:53.440 --> 00:00:56.160]  因為我們豐盛生命堂
[00:00:56.160 --> 00:00:57.640]  之所以叫豐盛生命堂
[00:00:57.640 --> 00:00:59.960]  就是來自這段經文的第十節
[00:00:59.960 --> 00:01:00.840]  知道嗎?
[00:01:00.840 --> 00:01:03.640]  我來了是要讓得生命
[00:01:03.640 --> 00:01:06.120]  並且得得更豐盛
[00:01:06.120 --> 00:01:07.280]  我也不是很陌生
[00:01:07.280 --> 00:01:08.840]  因為我自己缺志
[00:01:08.840 --> 00:01:10.360]  我記得我中一缺志
[00:01:10.360 --> 00:01:12.560]  信耶穌就是這段經文
[00:01:12.560 --> 00:01:14.040]  就是那天的講題
[00:01:14.040 --> 00:01:15.800]  就是豐盛生命
[00:01:15.800 --> 00:01:17.320]  所以我來這裡服事
[00:01:17.320 --> 00:01:19.440]  其實也有一點點懶
[00:01:19.440 --> 00:01:21.280]  不過今天不多說了
[00:01:21.280 --> 00:01:23.560]  有機會再詳細說
[00:01:23.560 --> 00:01:29.640]  耶穌在講這段第十章經文的訊息之前
[00:01:29.640 --> 00:01:33.720]  其實我們一定要看回第九章發生了什麼事
[00:01:33.720 --> 00:01:36.960]  原來那個生來核眼的核子
[00:01:36.960 --> 00:01:39.760]  耶穌是用吐沫和泥
[00:01:39.760 --> 00:01:42.080]  治好了他的眼睛
[00:01:42.080 --> 00:01:44.520]  這個核子被拉到
[00:01:44.520 --> 00:01:47.680]  法利塞人的面前審問
[00:01:47.680 --> 00:01:50.040]  最後因著他的認訊
[00:01:50.040 --> 00:01:54.880]  反而被這些宗教領袖趕出會堂
[00:01:54.880 --> 00:01:58.240]  我相信這件事跟耶穌講這番話
[00:01:58.240 --> 00:02:00.480]  有很密切的關係
[00:02:00.480 --> 00:02:03.160]  所以我們差不多可以確定
[00:02:03.160 --> 00:02:06.480]  耶穌所指羊圈裡面的盜賊
