
[00:00:00.000 --> 00:00:03.820]  今天跟大家分享彼得厚書第一章19到21節
[00:00:03.820 --> 00:00:06.880]  我就用了一個題目叫「第一要緊」
[00:00:06.880 --> 00:00:10.340]  我不知道大家有沒有些事你覺得最重要最重要
[00:00:10.340 --> 00:00:12.840]  一回來就要做 譬如一進屋
[00:00:12.840 --> 00:00:16.260]  你第一件事要做的是做什麼呢?
[00:00:16.260 --> 00:00:18.300]  大家會做什麼呢?
[00:00:18.300 --> 00:00:23.220]  可能會現在大家一進來當然要馬上洗手啦
[00:00:23.220 --> 00:00:25.740]  進屋或者有些人可能會洗澡 是不是?
[00:00:25.740 --> 00:00:31.680]  或者如果沒有疫情 會不會馬上開電視
[00:00:31.680 --> 00:00:35.520]  或者開冷氣 我認識有些人
[00:00:35.520 --> 00:00:40.600]  一年365天一定都開冷氣 什麼都不管
[00:00:40.600 --> 00:00:43.540]  冬天也是開冷氣 夏天也是開冷氣
[00:00:43.540 --> 00:00:45.540]  一進屋就是開冷氣
[00:00:45.540 --> 00:00:48.220]  或者不是進屋了 你覺得
[00:00:48.220 --> 00:00:50.240]  有些什麼是你第一件事要做的?
[00:00:50.240 --> 00:00:52.980]  譬如起床你第一件事要做什麼?最重要是什麼?
[00:00:52.980 --> 00:00:57.420]  可能喝一杯暖水 我會的 我會第一樣起床就覺得
[00:00:57.420 --> 00:01:00.620]  都要喝一杯暖水
[00:01:00.620 --> 00:01:04.760]  有很多事我們覺得都很重要 第一樣要去做
[00:01:04.760 --> 00:01:07.480]  我們今天看完經文 通常我們一起去看的時候
[00:01:07.480 --> 00:01:11.020]  你想一下 作者彼得 彼得厚書
[00:01:11.020 --> 00:01:15.180]  他覺得什麼是第一要緊的呢?
[00:01:15.180 --> 00:01:18.420]  我們一起去讀 拿這段經文去
[00:01:18.420 --> 00:01:20.180]  很短的 只有三節
[00:01:20.180 --> 00:01:23.640]  彼得厚書的一章19到21節
[00:01:23.640 --> 00:01:26.680]  「我們並有先知更確的寓言
[00:01:26.680 --> 00:01:29.160]  如同燈照在暗處
[00:01:29.160 --> 00:01:32.340]  你們在這寓言上留意
[00:01:32.340 --> 00:01:34.580]  直等到天發亮
[00:01:34.580 --> 00:01:37.900]  神星在你們心裡出現的時候
[00:01:37.900 --> 00:01:39.380]  才是好的
[00:01:39.380 --> 00:01:40.740]  第一要緊的
[00:01:40.740 --> 00:01:44.600]  在至道經上所有的寓言
[00:01:44.600 --> 00:01:47.500]  沒有可隨師而解的
[00:01:47.500 --> 00:01:50.980]  因為寓言從來沒有出於人
[00:01:50.980 --> 00:01:53.600]  乃是人被聖靈感動
[00:01:53.600 --> 00:01:56.220]  說出神的話來」
[00:01:56.220 --> 00:02:00.120]  我想你看完這段經文 你都會知道是什麼
[00:02:00.120 --> 00:02:01.880]  我們開始去看一下
[00:02:01.880 --> 00:02:05.560]  為什麼作者覺得這麼重要的東西呢?
[00:02:05.560 --> 00:02:08.100]  我們一起有個祈禱
[00:02:08.100 --> 00:02:09.500]  師父我們很感謝你
[00:02:09.500 --> 00:02:11.260]  你試一下你的話語
[00:02:11.260 --> 00:02:14.460]  都讓我們透過你的話語
[00:02:14.460 --> 00:02:18.460]  之前你的門徒 上帝你的靈去提醒
[00:02:18.460 --> 00:02:21.460]  使我們更加明白你話語的提醒
[00:02:21.460 --> 00:02:24.320]  使我們更加看重你話語的重要
[00:02:24.320 --> 00:02:26.940]  主啊 願你帶領我們以下這段時間
[00:02:26.940 --> 00:02:28.240]  多謝聽我們祈禱
[00:02:28.240 --> 00:02:31.820]  奉主耶穌基督的聖名祈求 阿們
[00:02:31.820 --> 00:02:34.500]  對了 第一要緊的
[00:02:34.500 --> 00:02:36.220]  不要緊的 給大家看
[00:02:36.220 --> 00:02:38.460]  其實他一開始說
[00:02:38.460 --> 00:02:41.320]  作者一開始是說寓言的
[00:02:41.320 --> 00:02:46.600]  他是說先知的寓言
[00:02:46.600 --> 00:02:48.480]  如果對比特的那個年代
[00:02:48.480 --> 00:02:51.320]  所謂的新約時期
[00:02:51.320 --> 00:02:53.860]  就是先知寓言 就是舊約的時代
[00:02:53.860 --> 00:02:55.320]  他是新約時期
[00:02:55.320 --> 00:02:58.960]  就是舊約時代的先知的那些寓言
[00:02:58.960 --> 00:03:00.040]  是舊約
[00:03:00.040 --> 00:03:03.940]  但是對於我們現在的處境
[00:03:03.940 --> 00:03:05.340]  我們就知道
[00:03:05.340 --> 00:03:08.420]  舊約的先知寓言其實就是神的啟示
[00:03:08.420 --> 00:03:10.460]  對於我們現代人來說
[00:03:10.460 --> 00:03:11.800]  其實就是聖經
[00:03:11.800 --> 00:03:14.940]  是聖經怎麼去說呢?
[00:03:14.940 --> 00:03:18.860]  當然啦 比特在這裡是真的說先知的寓言
[00:03:18.860 --> 00:03:20.800]  但是我們都可以將他看
[00:03:20.800 --> 00:03:24.700]  當他這個聖經的原則或者這個說法
[00:03:24.700 --> 00:03:27.000]  我們都可以套用在聖經裏面
[00:03:27.000 --> 00:03:29.560]  那比特怎麼說呢?作者怎麼說呢?
[00:03:29.560 --> 00:03:33.560]  他說這個寓言是更確的
[00:03:33.560 --> 00:03:34.720]  更確的
[00:03:34.720 --> 00:03:37.400]  那所以翻譯得更加好
[00:03:37.400 --> 00:03:40.820]  我覺得是更確鑿 更確鑿是什麼呢?
[00:03:40.820 --> 00:03:45.220]  就是當你在法庭將它成為情同性供的時候
[00:03:45.220 --> 00:03:48.940]  這件事是很確鑿的 很可信的
[00:03:48.940 --> 00:03:52.200]  因為這個是已經擺出來的證據
[00:03:52.200 --> 00:03:54.500]  他說這個字是在用
[00:03:54.500 --> 00:03:59.380]  好像可以成為在法庭上用的證供一樣
[00:03:59.380 --> 00:04:01.260]  是更確鑿的
[00:04:01.260 --> 00:04:05.260]  他就說先知的寓言是更確鑿
[00:04:05.260 --> 00:04:08.720]  那我們就要看了 什麼跟他比呢?
[00:04:08.720 --> 00:04:13.940]  什麼是更的?有更 有些是沒有那麼確鑿
[00:04:13.940 --> 00:04:15.780]  當然不一定 是吧?
[00:04:15.780 --> 00:04:18.860]  但是他覺得先知的寓言更確鑿
[00:04:18.860 --> 00:04:21.660]  那什麼跟他去對比呢?
[00:04:21.660 --> 00:04:24.540]  原來在16到18節
[00:04:24.540 --> 00:04:27.900]  其實他有分享到他的經驗
[00:04:27.900 --> 00:04:30.660]  就是他那個時候在登山變象
[00:04:30.660 --> 00:04:33.780]  他是其中一份子跟著耶穌上山的
[00:04:33.780 --> 00:04:39.000]  他見到變象 見到上帝跟耶穌去說
[00:04:39.000 --> 00:04:40.580]  見到耶穌的榮光
[00:04:40.580 --> 00:04:43.300]  他見到上帝賦神跟他說
[00:04:43.300 --> 00:04:46.020]  「這是我的愛子 我所喜悅的」
[00:04:46.020 --> 00:04:49.940]  所以他說呢 我是親眼見過
[00:04:49.940 --> 00:04:52.460]  我是親耳聽過
[00:04:52.460 --> 00:04:54.820]  那是很親身的經歷
[00:04:54.820 --> 00:04:58.160]  不是每個門徒都有這個經歷的 是吧?
