
[00:00:00.000 --> 00:00:02.400]  平安!我們一齊祈禱
[00:00:02.400 --> 00:00:04.900]  七月天父,我們感謝祢的恩典
[00:00:04.900 --> 00:00:08.300]  讓我們有美好的天氣,有美好的地方
[00:00:08.300 --> 00:00:11.000]  還可以一同來敬拜祢
[00:00:11.000 --> 00:00:14.000]  我們求聖靈在我們當中幫助我們
[00:00:14.000 --> 00:00:16.200]  明白做門徒的代價
[00:00:16.200 --> 00:00:20.200]  也願意計算清楚,來跟隨主
[00:00:20.200 --> 00:00:22.500]  奉耶穌基督的名,祈禱
[00:00:22.500 --> 00:00:23.500]  阿門
[00:00:27.500 --> 00:00:31.500]  上星期我們看了《少林苑》第十七章
[00:00:31.500 --> 00:00:35.500]  保羅到了希臘的瓦典
[00:00:35.500 --> 00:00:39.500]  等候同伴來跟他會合
[00:00:39.500 --> 00:00:43.500]  他等候的時候向當地的人傳福音
[00:00:43.500 --> 00:00:49.500]  這幾天的新聞提到瓦典附近有一個小市鎮發生山火
[00:00:49.500 --> 00:00:54.500]  整個城鎮的房屋幾乎燒了
[00:00:54.500 --> 00:00:56.500]  死了幾十人
[00:00:56.500 --> 00:01:01.500]  希臘政府宣佈要為死難者哀悼三天
[00:01:01.500 --> 00:01:03.500]  我們都會為他們祈禱
[00:01:03.500 --> 00:01:06.500]  希望他們能夠早日重整家園
[00:01:06.500 --> 00:01:08.500]  如果大家還記得的話
[00:01:08.500 --> 00:01:12.500]  昔日瓦典的人是拜很多神的
[00:01:12.500 --> 00:01:14.500]  也有很多神廟
[00:01:14.500 --> 00:01:19.500]  他們拜神的心態抱著一個有拜過沒放過的心態
[00:01:19.500 --> 00:01:24.500]  以至有一座壇獻給一個未識之神
[00:01:24.500 --> 00:01:26.500]  未識的先拜
[00:01:26.500 --> 00:01:33.500]  保羅就將他們未識之神介紹給他們認識
[00:01:33.500 --> 00:01:39.500]  這位神就是我們所信的上主和他的兒子耶穌基督
[00:01:39.500 --> 00:01:41.500]  我們的救贖主
[00:01:41.500 --> 00:01:46.500]  今天華人社會其實有很多人是拜神的
[00:01:46.500 --> 00:01:52.500]  台灣真是搞到滿天神佛的其中一個華人聚居的地方
[00:01:52.500 --> 00:01:57.500]  在台灣各行各業都有他們自己要拜的神
[00:01:57.500 --> 00:02:02.500]  如果做航海就要拜媽祖天后
[00:02:02.500 --> 00:02:09.500]  做理髮就要拜呂洞賓
[00:02:09.500 --> 00:02:12.500]  不過華人一般拜神的心態
[00:02:12.500 --> 00:02:19.500]  都是有一種請保鏢的心態
[00:02:19.500 --> 00:02:22.500]  要神來保護自己
[00:02:22.500 --> 00:02:24.500]  祝福自己
[00:02:24.500 --> 00:02:27.500]  所以拜神都是拜得很功利的
[00:02:27.500 --> 00:02:30.500]  為了自己的福利而拜的
[00:02:30.500 --> 00:02:34.500]  如果那個神聽說給我帶來好運
[00:02:34.500 --> 00:02:36.500]  我就燒一隻豬去還神
[00:02:36.500 --> 00:02:38.500]  繼續拜
[00:02:38.500 --> 00:02:40.500]  如果拜了他都沒什麼好處
[00:02:40.500 --> 00:02:42.500]  扔了他換一個
[00:02:42.500 --> 00:02:44.500]  這是華人的心態
[00:02:44.500 --> 00:02:47.500]  這種功利心態和聖經教導我們
[00:02:47.500 --> 00:02:51.500]  應該怎樣去敬拜上主的啟示
[00:02:51.500 --> 00:02:54.500]  是完全不同的
[00:02:54.500 --> 00:02:57.500]  聖經對跟隨耶穌的人
[00:02:57.500 --> 00:02:59.500]  有一個很簡單的要求
[00:02:59.500 --> 00:03:02.500]  聽起來就是口裡認耶穌為主
[00:03:02.500 --> 00:03:04.500]  心裡信上帝
[00:03:04.500 --> 00:03:06.500]  使他從死裡復活
[00:03:06.500 --> 00:03:08.500]  就可以得救
[00:03:08.500 --> 00:03:10.500]  可惜我見到很多信徒
[00:03:10.500 --> 00:03:15.500]  大概不是很明白什麼叫口裡認耶穌為主的意思
[00:03:15.500 --> 00:03:17.500]  他們認為只要裝模作樣
[00:03:17.500 --> 00:03:20.500]  叫聲耶穌再加個主字在前面
[00:03:20.500 --> 00:03:22.500]  主耶穌
[00:03:22.500 --> 00:03:26.500]  這樣就算是口裡認耶穌為主
[00:03:26.500 --> 00:03:28.500]  其實口裡認耶穌為主
[00:03:28.500 --> 00:03:31.500]  最低限度有一個很重要的含義
[00:03:31.500 --> 00:03:33.500]  就是
[00:03:33.500 --> 00:03:35.500]  他是主
[00:03:35.500 --> 00:03:36.500]  我們是什麼
[00:03:36.500 --> 00:03:38.500]  是僕人
[00:03:38.500 --> 00:03:40.500]  耶穌是主
[00:03:40.500 --> 00:03:42.500]  我們就應該是他的僕人
[00:03:42.500 --> 00:03:44.500]  不是耶穌要做我們的阿四
[00:03:44.500 --> 00:03:46.500]  是反過來的
[00:03:46.500 --> 00:03:50.500]  我們要做耶穌的阿四
[00:03:50.500 --> 00:03:52.500]  所以在新約的書信裡
[00:03:52.500 --> 00:03:54.500]  很多書信一開始的時候
[00:03:54.500 --> 00:03:56.500]  無論是保羅也好
[00:03:56.500 --> 00:03:58.500]  彼得、約翰、猶太也好
[00:03:58.500 --> 00:04:00.500]  一開始的時候都會說
[00:04:00.500 --> 00:04:01.500]  我是某某人
[00:04:01.500 --> 00:04:05.500]  耶穌基督的僕人
[00:04:05.500 --> 00:04:09.500]  僕人在原文的意思是奴隸
[00:04:09.500 --> 00:04:14.500]  我們教會一年六個星期
[00:04:14.500 --> 00:04:18.500]  來思考我們應該怎樣去做基督徒
[00:04:18.500 --> 00:04:23.500]  怎樣過一個基督徒的生活
