
[00:00:00.000 --> 00:00:02.800]  好 今天跟大家說的題目是什麼呢?
[00:00:02.800 --> 00:00:05.360]  為什麼上帝不看著我?
[00:00:05.360 --> 00:00:06.800]  不知道大家有沒有試過這樣的經驗?
[00:00:06.800 --> 00:00:08.880]  覺得上帝好像沒有看著你一樣
[00:00:08.880 --> 00:00:11.760]  為什麼你不看顧我呢?
[00:00:11.760 --> 00:00:14.200]  大家有沒有試過被你的上司
[00:00:14.200 --> 00:00:21.040]  被你的同事 朋友 甚至家人針對你?
[00:00:21.040 --> 00:00:23.280]  無端白事 排擠你
[00:00:23.280 --> 00:00:26.120]  你做了什麼都挑剔你
[00:00:26.120 --> 00:00:27.960]  很容易就批評你
[00:00:27.960 --> 00:00:32.080]  有些人更加差 處處和你作對
[00:00:32.080 --> 00:00:34.000]  甚至找機會來攻擊你
[00:00:34.000 --> 00:00:35.920]  有沒有試過?
[00:00:35.920 --> 00:00:37.280]  我剛出來工作的時候
[00:00:37.280 --> 00:00:38.880]  那時候我在懲教署做
[00:00:38.880 --> 00:00:39.720]  現在叫監獄
[00:00:39.720 --> 00:00:42.160]  那時候 你叫懲教署嗎? 香港
[00:00:42.160 --> 00:00:45.040]  那時候叫香港皇家監獄署
[00:00:45.040 --> 00:00:46.080]  那我在這裡做什麼?
[00:00:46.080 --> 00:00:47.200]  有沒有人知道? 我講過了
[00:00:47.200 --> 00:00:48.720]  做錦法官
[00:00:48.720 --> 00:00:50.720]  有一天我的監頭
[00:00:50.720 --> 00:00:53.680]  我頂頭 都不是頂頭上司
[00:00:53.680 --> 00:00:57.640]  就是監頭 總之整個就是他做的頭
[00:00:57.640 --> 00:01:00.480]  他叫了我進去他的辦公室
[00:01:00.480 --> 00:01:01.440]  第一句話就跟他說
[00:01:01.440 --> 00:01:02.360]  「阿焦」
[00:01:02.360 --> 00:01:04.040]  那時候就叫我阿焦
[00:01:04.040 --> 00:01:05.240]  你粗口都不說一句
[00:01:05.240 --> 00:01:08.440]  怎麼在監房工作?
[00:01:08.440 --> 00:01:09.040]  他真的這樣跟我說
[00:01:09.040 --> 00:01:11.960]  一進去就打我 你知道嗎?
[00:01:11.960 --> 00:01:12.840]  那怎麼辦?
[00:01:12.840 --> 00:01:14.320]  頭多都出來了 是不是?
[00:01:14.320 --> 00:01:15.840]  頭多都出來了
[00:01:15.840 --> 00:01:19.320]  然後你知道什麼叫打落水狗嗎?
[00:01:19.320 --> 00:01:21.880]  那我頂頭上司就打落水狗了
[00:01:21.880 --> 00:01:24.040]  嘩 又很多東西出來了
[00:01:24.040 --> 00:01:25.520]  又找我的檔案來看
[00:01:25.520 --> 00:01:29.560]  要修改我這一項 修改我那一項
[00:01:29.560 --> 00:01:31.000]  不知道大家是否想像到
[00:01:31.000 --> 00:01:34.400]  那些年輕人剛出來工作
[00:01:34.400 --> 00:01:40.360]  那個感覺是很難受的
[00:01:40.360 --> 00:01:41.520]  OK?
[00:01:41.520 --> 00:01:44.160]  其實我很勤力的人
[00:01:44.160 --> 00:01:45.240]  你認識我都知道
[00:01:45.240 --> 00:01:46.920]  我很努力做工的
[00:01:46.920 --> 00:01:48.640]  但是努力做工之餘
[00:01:48.640 --> 00:01:49.800]  還要提心吊膽
[00:01:49.800 --> 00:01:50.920]  東房西房
[00:01:50.920 --> 00:01:53.240]  怕被老闆捉到痛腳
[00:01:53.240 --> 00:01:56.640]  有沒有試過那種心情?
[00:01:56.640 --> 00:01:58.440]  外面做工是這樣
[00:01:58.440 --> 00:02:01.240]  有時候教會也有這樣的事情發生
[00:02:01.240 --> 00:02:05.960]  我記得以前在教會服侍的時候
