
[00:00:00.000 --> 00:00:05.000]  歡迎大家來到農年的第一個周六重大
[00:00:05.000 --> 00:00:06.640]  今天是大年初一
[00:00:06.640 --> 00:00:10.920]  在這裡我也跟大家拜年
[00:00:10.920 --> 00:00:14.000]  祝大家農年發大財
[00:00:14.000 --> 00:00:15.880]  行不行?
[00:00:15.880 --> 00:00:17.680]  我講的當然不是
[00:00:17.680 --> 00:00:21.000]  地上將要扭壞衰殘的財寶
[00:00:21.000 --> 00:00:25.000]  我講的是天上沒有蟲子咬
[00:00:25.000 --> 00:00:33.000]  不會受壞也沒有賊或動來偷的永恆的財寶
[00:00:33.000 --> 00:00:34.200]  我兒子告訴我
[00:00:34.200 --> 00:00:36.200]  在他的學校裡好像說
[00:00:36.200 --> 00:00:38.400]  第一不可以說恭喜發財
[00:00:38.400 --> 00:00:39.600]  基督教學校
[00:00:39.600 --> 00:00:43.200]  第二就說不可以說農
[00:00:43.200 --> 00:00:47.400]  我們這裡就沒什麼所謂的
[00:00:47.400 --> 00:00:48.400]  農也行
[00:00:48.400 --> 00:00:49.400]  恭喜發財也行
[00:00:49.400 --> 00:00:51.800]  只要大家知道我們說的
[00:00:51.800 --> 00:00:53.200]  不是地上的財寶
[00:00:53.200 --> 00:00:55.600]  是天上的財寶
[00:00:55.600 --> 00:00:59.000]  我又預備了一幅對聯送給大家
[00:00:59.000 --> 00:01:05.400]  上聯是龍飛鳳舞迎新水
[00:01:05.400 --> 00:01:10.800]  下聯就是八福臨門背十價
[00:01:10.800 --> 00:01:13.800]  可能你看完我這個對聯之後
[00:01:13.800 --> 00:01:15.000]  有人會問
[00:01:15.000 --> 00:01:17.200]  林牧師新年流流
[00:01:17.200 --> 00:01:18.600]  不要這麼掃興
[00:01:18.600 --> 00:01:20.600]  說這些壞話
[00:01:20.600 --> 00:01:23.000]  十字架是需要說的
[00:01:23.000 --> 00:01:25.000]  不過可不可以過了年
[00:01:25.000 --> 00:01:28.200]  放完假之後才去說呢
[00:01:28.200 --> 00:01:32.000]  很快就十難節那時候才說十字架不行
[00:01:32.000 --> 00:01:36.200]  為什麼要在大年初一的時候
[00:01:36.200 --> 00:01:39.000]  去說耶穌基督的十字架
[00:01:39.000 --> 00:01:40.400]  可不可以不說
[00:01:40.400 --> 00:01:43.600]  答案是不可以不說
[00:01:43.600 --> 00:01:45.200]  因為原來沒了十字架
[00:01:45.200 --> 00:01:50.200]  所有的福氣都會隨風而散
[00:01:50.200 --> 00:01:53.200]  《舊約聖經》有句金句可能你也很喜歡
[00:01:53.200 --> 00:01:56.000]  詩篇第十六篇第二節這樣說
[00:01:56.000 --> 00:01:59.000]  我的心你曾對耶穌話說
[00:01:59.000 --> 00:02:00.600]  你是我的主
[00:02:00.600 --> 00:02:03.400]  我的好處不在你以外
[00:02:03.400 --> 00:02:06.200]  我的好處不在你以外
[00:02:06.200 --> 00:02:10.800]  如果你將聖經從舊約轉移到新約
[00:02:10.800 --> 00:02:13.800]  放在保羅彼得約翰的口中
[00:02:13.800 --> 00:02:15.800]  那句金句會變成怎樣呢
[00:02:15.800 --> 00:02:17.800]  那句金句會變成這樣
[00:02:17.800 --> 00:02:21.600]  我的心你要向基督耶穌說
[00:02:21.600 --> 00:02:23.200]  你是我的主
[00:02:23.200 --> 00:02:27.400]  我的好處不在十字架以外
[00:02:27.400 --> 00:02:31.600]  原來當你由影子去到實體的時候
[00:02:31.600 --> 00:02:32.800]  去成全的時候
[00:02:32.800 --> 00:02:35.800]  你會發現所有的好處
[00:02:35.800 --> 00:02:41.600]  所有的福氣都不在十字架以外
[00:02:41.600 --> 00:02:44.600]  如果你當中有人聽過我講的馬可福音
[00:02:44.600 --> 00:02:46.000]  在我講馬可福音的時候
[00:02:46.000 --> 00:02:47.400]  我曾經講過一件事
[00:02:47.400 --> 00:02:51.000]  我說十字架不是天國的入場代價
[00:02:51.000 --> 00:02:53.600]  It's not the price of the kingdom
[00:02:53.600 --> 00:02:56.400]  不是你要入場的時候要付錢
[00:02:56.400 --> 00:02:59.400]  於是就付上十字架的代價
[00:02:59.400 --> 00:03:02.800]  而是天國的終極大獎
[00:03:02.800 --> 00:03:05.400]  The price of the kingdom
[00:03:05.400 --> 00:03:09.600]  一個PRICE 另外一個PRZ
[00:03:09.600 --> 00:03:12.600]  而PRIZ
[00:03:12.600 --> 00:03:15.800]  它不是天國的入場券
[00:03:15.800 --> 00:03:17.600]  不是你要付上這個代價
[00:03:17.600 --> 00:03:19.400]  很辛苦地付上
[00:03:19.400 --> 00:03:22.800]  而是天國的終極大獎
[00:03:22.800 --> 00:03:27.400]  十字架是所有天國福氣的源頭
[00:03:27.400 --> 00:03:30.600]  於是我們應該將十字架變成紅博博
[00:03:30.600 --> 00:03:34.400]  這樣才可以配合整個圖畫
[00:03:34.400 --> 00:03:35.800]  這個十字架
[00:03:35.800 --> 00:03:37.400]  紅博博的十字架
[00:03:37.400 --> 00:03:42.000]  可以讓我們在主裡面生龍活虎
[00:03:42.000 --> 00:03:43.400]  賜我們力量
[00:03:43.400 --> 00:03:44.800]  拋棄世界
[00:03:44.800 --> 00:03:46.800]  衝上雲霄
[00:03:46.800 --> 00:03:48.800]  跟耶穌基督一起追求
[00:03:48.800 --> 00:03:50.400]  上帝的國
[00:03:50.400 --> 00:03:52.000]  上帝的義
[00:03:52.000 --> 00:03:53.600]  但我們進入今天的經文
[00:03:53.600 --> 00:03:56.200]  馬太福音的八福
[00:03:56.200 --> 00:03:59.200]  可能大家都有一些印象
[00:03:59.200 --> 00:04:07.800]  這個是和合本的一個現代的演繹修訂版
[00:04:07.800 --> 00:04:09.800]  心靈貧窮的人有福了
[00:04:09.800 --> 00:04:12.000]  因為天國是他們的
[00:04:12.000 --> 00:04:13.600]  愛動的人有福了
[00:04:13.600 --> 00:04:16.400]  因為他們必得安慰
[00:04:16.400 --> 00:04:18.000]  謙和的人有福了
[00:04:18.000 --> 00:04:21.200]  因為他們必承受土地
[00:04:21.200 --> 00:04:23.400]  飢渴無意的人有福了
[00:04:23.400 --> 00:04:25.600]  因為他們必得飽足
[00:04:25.600 --> 00:04:27.600]  憐憫人的人有福了
[00:04:27.600 --> 00:04:30.000]  因為他們必蒙憐憫
[00:04:30.000 --> 00:04:31.400]  清心的人有福了
[00:04:31.400 --> 00:04:34.200]  因為他們必得見上帝
[00:04:34.200 --> 00:04:36.000]  締造和平的人有福了
[00:04:36.000 --> 00:04:39.600]  因為他們必稱為上帝的兒子
[00:04:39.600 --> 00:04:42.400]  最後惟已受逼迫的人有福了
[00:04:42.400 --> 00:04:45.600]  因為天國是他們的
[00:04:45.600 --> 00:04:49.800]  究竟我們應該要怎樣去明白這八福呢?
[00:04:49.800 --> 00:04:54.000]  為了要幫助大家正確的去明白八福
[00:04:54.000 --> 00:04:58.600]  我為大家預備了一個解經的羅盤
[00:04:58.600 --> 00:05:00.200]  一個屬靈的指南針
[00:05:00.200 --> 00:05:01.800]  我們需要這個指南針
[00:05:01.800 --> 00:05:06.200]  才可以明白到這個八福的真正意義
[00:05:06.200 --> 00:05:09.600]  在這個羅盤上面總共有五個重點
[00:05:09.600 --> 00:05:11.400]  我們先聽了這五個重點
[00:05:11.400 --> 00:05:15.200]  然後我們才回到八福去理解
[00:05:15.200 --> 00:05:16.800]  五點的第一點這樣說
[00:05:16.800 --> 00:05:21.400]  不是地上福乃是上帝國
[00:05:21.400 --> 00:05:25.800]  原來八福說的不是八國地上的福氣
[00:05:25.800 --> 00:05:29.400]  說的是一個上帝的國度
[00:05:29.400 --> 00:05:31.600]  一個永恆終極
[00:05:31.600 --> 00:05:33.000]  上帝要給我們的禮物
[00:05:33.000 --> 00:05:35.800]  不是地上福乃是上帝國
[00:05:35.800 --> 00:05:42.000]  第二 舊約祖預言新約主成全
[00:05:42.000 --> 00:05:44.000]  原來新約中的八福
[00:05:44.000 --> 00:05:47.600]  不是耶穌創造出來的新東西
[00:05:47.600 --> 00:05:51.000]  原來八福在舊約中一早已經有預言
