
[00:00:00.000 --> 00:00:05.420]  因爲我們這次講下去都是基於第一講一些很重要的觀念
[00:00:05.420 --> 00:00:06.780]  所以重溫一下
[00:00:06.780 --> 00:00:11.100]  希望你會相信我們是能夠聽到上帝的聲音的
[00:00:11.100 --> 00:00:11.900]  Amen?
[00:00:11.900 --> 00:00:14.100]  這個起碼是我們的渴求
[00:00:14.100 --> 00:00:17.660]  正因爲神的聲音是那麼虛無縹緲
[00:00:17.660 --> 00:00:19.380]  屬於靈界的事件
[00:00:19.380 --> 00:00:25.300]  因此我們真的要好好地努力去學習聖詩明辨
[00:00:25.300 --> 00:00:27.420]  因爲你會學習得到的
[00:00:27.420 --> 00:00:29.300]  聖經是教得很清楚的
[00:00:29.300 --> 00:00:31.420]  當然你會說爲什麼我聽不到
[00:00:31.420 --> 00:00:34.300]  或者爲什麼有些人說我都不想聽
[00:00:34.300 --> 00:00:35.420]  其實是真的
[00:00:35.420 --> 00:00:37.860]  因爲當我們要和上帝有一個更加親密的關係
[00:00:37.860 --> 00:00:40.260]  是基於你真的很渴慕主
[00:00:40.260 --> 00:00:41.420]  你很愛祂
[00:00:41.420 --> 00:00:42.460]  以至到還有一樣東西
[00:00:42.460 --> 00:00:45.420]  你立詩是要跟從祂的命令而行
[00:00:45.420 --> 00:00:47.260]  因爲正如媽媽教兒子一樣
[00:00:47.260 --> 00:00:49.100]  如果明知講你都不聽
[00:00:49.100 --> 00:00:51.100]  那還會不會和你講呢?
[00:00:51.100 --> 00:00:51.900]  當然不講了
[00:00:51.900 --> 00:00:53.300]  浪費力氣嘛
[00:00:53.300 --> 00:00:54.300]  所以姐妹們
[00:00:54.300 --> 00:00:56.020]  我們在這兩個方面
[00:00:56.020 --> 00:00:57.700]  我們今天會再盡心去處理
[00:00:57.700 --> 00:01:00.580]  就是如何學習聖詩明辨
[00:01:00.580 --> 00:01:04.660]  以及我們如何去面對上帝的教導呢?
[00:01:04.660 --> 00:01:08.220]  事實上真假在這個世界上已經很難分辨了
[00:01:08.220 --> 00:01:10.940]  那個灰色世界是非常多的
[00:01:10.940 --> 00:01:13.060]  如果我們說還要去分辨神的聲音
[00:01:13.060 --> 00:01:15.580]  是屬於一件叫利益界的事件
[00:01:15.580 --> 00:01:17.300]  因爲不是我們肉眼所見的
[00:01:17.300 --> 00:01:21.300]  要去分辨魔鬼和上帝的聲音
[00:01:21.300 --> 00:01:24.220]  好像在現在這個世代是很混亂的
[00:01:24.220 --> 00:01:25.900]  但是我再一次重申
[00:01:25.900 --> 00:01:26.940]  我第一次講的
[00:01:26.940 --> 00:01:30.460]  我是非常欣賞和肯定
[00:01:30.460 --> 00:01:33.700]  整姐妹那種所謂懷疑的態度
[00:01:33.700 --> 00:01:37.860]  我們是需要有一個懷疑的態度
[00:01:37.860 --> 00:01:39.500]  去面對這件事情的
[00:01:39.500 --> 00:01:40.100]  爲什麼呢?
[00:01:40.100 --> 00:01:41.220]  當你懷疑的時候
[00:01:41.220 --> 00:01:43.180]  你每一次就會去正視
[00:01:43.180 --> 00:01:44.900]  每一次都會去沉溺
[00:01:44.900 --> 00:01:46.500]  很多時候往往很怕有些人
[00:01:46.500 --> 00:01:48.180]  可能曾經聽過上帝的聲音
[00:01:48.180 --> 00:01:49.500]  覺得是好是了
[00:01:49.500 --> 00:01:50.860]  於是你就不理了
[00:01:50.860 --> 00:01:52.500]  你聽到就覺得一定是
[00:01:52.500 --> 00:01:54.700]  其實每一次你覺得有懷疑
[00:01:54.700 --> 00:01:57.140]  然後你去反覆驗證的時候
[00:01:57.140 --> 00:01:59.700]  反而是會更加有安全的
[00:01:59.700 --> 00:02:02.660]  這個就是揣描的第七講
[00:02:02.660 --> 00:02:04.580]  在講愚弘明末神的旨意
[00:02:04.580 --> 00:02:06.700]  上場的記住要留心一點
[00:02:06.700 --> 00:02:07.740]  我要分析一下
[00:02:07.740 --> 00:02:09.540]  我要分享一下我自己的背景
[00:02:09.540 --> 00:02:11.340]  因爲現在是很大的一件事
[00:02:11.340 --> 00:02:13.300]  我們的教會是挺丁人的
[00:02:13.300 --> 00:02:15.620]  在青衣那裏開始教會的
[00:02:15.620 --> 00:02:17.740]  不知道是幸運還是不幸運
[00:02:17.740 --> 00:02:19.900]  我們就出了個有名的牧師
[00:02:19.900 --> 00:02:21.460]  於是其實在這麼多年來
[00:02:21.460 --> 00:02:25.860]  我都經常說千麥芽這麼多人是零恩的
[00:02:25.860 --> 00:02:27.340]  有沒有聽過這些聲音
[00:02:27.340 --> 00:02:28.420]  有了是吧
[00:02:28.420 --> 00:02:29.700]  但我很坦白
[00:02:29.700 --> 00:02:31.860]  我們是沒有辦法零恩的
[00:02:31.860 --> 00:02:34.620]  是因爲骨子裏面不是零恩的人
[00:02:34.620 --> 00:02:36.100]  有時候真是零恩不起
[00:02:36.100 --> 00:02:38.460]  在九十年代我們都是很開放的
[00:02:38.460 --> 00:02:40.860]  但是真正去到零恩派的聚會
[00:02:40.860 --> 00:02:42.580]  我們就覺得真的很混亂
[00:02:42.580 --> 00:02:44.420]  我連雅根廷我都去過
[00:02:44.420 --> 00:02:47.380]  跟着他這種瘋狂的狀況
[00:02:47.380 --> 00:02:49.060]  那些混亂情況不講了
[00:02:49.060 --> 00:02:51.180]  我自己是三歲四歲左右
[00:02:51.180 --> 00:02:52.260]  是缺志信主的
[00:02:52.260 --> 00:02:55.180]  聽過我的故事的人就知道了
[00:02:55.180 --> 00:02:58.700]  我在小學四年班就已經開始做團契的職員
[00:02:58.700 --> 00:02:59.620]  唱詩班
[00:02:59.620 --> 00:03:01.500]  跟餘姑娘是朋友
[00:03:01.500 --> 00:03:05.060]  小學六年班我就正式教主教學
[00:03:05.060 --> 00:03:07.740]  是教到我尤臣學院從來沒有停止過的
[00:03:07.740 --> 00:03:09.100]  因爲當時的教會是講的
[00:03:09.100 --> 00:03:10.300]  你不教主教學
[00:03:10.300 --> 00:03:11.900]  你就要上主教學的
[00:03:11.900 --> 00:03:14.620]  一教就通完牧師就不會放過你了
[00:03:14.620 --> 00:03:15.980]  我中學生時代怎麼過呢
[00:03:15.980 --> 00:03:18.340]  逢星期三晚就是查經祈禱會
[00:03:18.340 --> 00:03:21.100]  星期六的下午就幫忙做少年團契導師
[00:03:21.100 --> 00:03:23.580]  然後就練兩個小時詩班
[00:03:23.580 --> 00:03:27.180]  第二天早上七點半就訓練主教學了
[00:03:27.180 --> 00:03:28.300]  宣道小學的
[00:03:28.300 --> 00:03:30.340]  我是在宣道會受浸的
[00:03:30.340 --> 00:03:31.460]  算是信主的
[00:03:31.460 --> 00:03:33.540]  我們的主教學有三十多班
