
[00:00:00.000 --> 00:00:03.000]  首先說說譚以利的背景
[00:00:03.000 --> 00:00:08.000]  譚以利是神所重用的先知
[00:00:08.000 --> 00:00:13.000]  他經常傳達神給他的信息和異象
[00:00:13.000 --> 00:00:19.000]  他是身於南國尤大約西亞王的年間
[00:00:19.000 --> 00:00:22.000]  即是尤大國M3的王
[00:00:22.000 --> 00:00:26.000]  當時北國以色列已經亡國
[00:00:26.000 --> 00:00:30.000]  而在尤大約亞敬王即M3的王的第三年
[00:00:30.000 --> 00:00:33.000]  大概在公元前605年
[00:00:33.000 --> 00:00:37.000]  譚以利被巴比倫王尼布甲利薩
[00:00:37.000 --> 00:00:40.000]  連同一班宗室和貴族
[00:00:40.000 --> 00:00:44.000]  擄去巴比倫作為人質
[00:00:44.000 --> 00:00:46.000]  而一般學者認為
[00:00:46.000 --> 00:00:52.000]  譚以利經歷過兩個皇帝國和四個王
[00:00:52.000 --> 00:00:57.000]  分別是巴比倫帝國的尼布甲利薩王
[00:00:57.000 --> 00:01:00.000]  和巴薩薩王
[00:01:00.000 --> 00:01:04.000]  以及馬代波斯帝國的大劉氏王
[00:01:04.000 --> 00:01:06.000]  以及居魯氏王
[00:01:06.000 --> 00:01:10.000]  而期間他是歷任這幾個王的高官
[00:01:10.000 --> 00:01:12.000]  長達六十年
[00:01:12.000 --> 00:01:14.000]  但以作為一個外族的人
[00:01:14.000 --> 00:01:17.000]  深受己朝的王所善用
[00:01:17.000 --> 00:01:21.000]  亦都經歷政敵去設陷阱
[00:01:21.000 --> 00:01:23.000]  而屹立不倒
[00:01:23.000 --> 00:01:25.000]  他之所以成功
[00:01:25.000 --> 00:01:29.000]  能夠為神去作佳美的見證
[00:01:29.000 --> 00:01:33.000]  影響外邦的王去稱頌耶和華
[00:01:33.000 --> 00:01:36.000]  並且去間接祝福以色列的百姓
[00:01:36.000 --> 00:01:40.000]  全因為他都是一個禱告的人
[00:01:40.000 --> 00:01:42.000]  禱告令他光強
[00:01:42.000 --> 00:01:46.000]  生命變得偉大精彩
[00:01:46.000 --> 00:01:50.000]  他平步青雲全賴禱告
[00:01:50.000 --> 00:01:52.000]  但是更重要的
[00:01:52.000 --> 00:01:57.000]  就是神私恩憐憫
[00:01:57.000 --> 00:02:00.000]  大家心中可能會說
[00:02:00.000 --> 00:02:02.000]  我都是一個禱告的人
[00:02:02.000 --> 00:02:04.000]  最少一天三次
[00:02:04.000 --> 00:02:07.000]  為何有時我可能會這樣呢
[00:02:07.000 --> 00:02:10.000]  有感到無力無助
[00:02:10.000 --> 00:02:13.000]  甚至一些挫敗的感覺呢
[00:02:13.000 --> 00:02:16.000]  是否神偏心但意你呢
[00:02:16.000 --> 00:02:20.000]  不如我們先從但意你的禱告生活學習
[00:02:20.000 --> 00:02:22.000]  看看和你有什麼分別呢
[00:02:22.000 --> 00:02:24.000]  今天將會和大家分享
[00:02:24.000 --> 00:02:26.000]  但意理書的三個片段
[00:02:26.000 --> 00:02:28.000]  分別是第二章
[00:02:28.000 --> 00:02:30.000]  《解夢營救》
[00:02:30.000 --> 00:02:33.000]  但意理為巴比倫王尼布格尼薩解夢
[00:02:33.000 --> 00:02:36.000]  免除通國的智慧人被殺
[00:02:36.000 --> 00:02:38.000]  而第六章說到
[00:02:38.000 --> 00:02:42.000]  但意理被陷害入坑
[00:02:42.000 --> 00:02:46.000]  即是他被政敵陷害
[00:02:46.000 --> 00:02:48.000]  而馬代人大流士王
[00:02:48.000 --> 00:02:52.000]  被迫將但意理送入獅子坑的裡面
[00:02:52.000 --> 00:02:54.000]  而第九章說到
[00:02:54.000 --> 00:02:56.000]  他是知經代求
[00:02:56.000 --> 00:02:58.000]  不是怕我怕
[00:02:58.000 --> 00:02:59.000]  知道聖經
[00:02:59.000 --> 00:03:01.000]  但意理從耶利米說得知
[00:03:01.000 --> 00:03:03.000]  神的應許
[00:03:03.000 --> 00:03:05.000]  以色列人被擄七十年後
[00:03:05.000 --> 00:03:07.000]  會回歸故土
[00:03:07.000 --> 00:03:10.000]  為此狠切禱告
[00:03:10.000 --> 00:03:12.000]  而第一個重點
[00:03:12.000 --> 00:03:14.000]  是堅持不懈的禱告
[00:03:14.000 --> 00:03:16.000]  成為生活的一部份
[00:03:16.000 --> 00:03:19.000]  pray persistently
[00:03:19.000 --> 00:03:21.000]  而第六章
[00:03:21.000 --> 00:03:24.000]  大家留意今天所說的聖經內容
[00:03:24.000 --> 00:03:26.000]  可能會跳來跳去
[00:03:26.000 --> 00:03:30.000]  但都是圍繞剛才所說的三章的經文
[00:03:30.000 --> 00:03:32.000]  裡面的事蹟和大家的分享
[00:03:32.000 --> 00:03:36.000]  先說第六章
[00:03:36.000 --> 00:03:41.000]  馬代人大流士取代了巴比倫帝國作王
[00:03:41.000 --> 00:03:44.000]  大流士隨心所願
[00:03:44.000 --> 00:03:49.000]  立了一百二十個總督治理全國
[00:03:49.000 --> 00:03:53.000]  又在他們以上立總長三人
[00:03:53.000 --> 00:03:55.000]  但意理是其中一個
[00:03:55.000 --> 00:03:58.000]  使總督在他們三人面前
[00:03:58.000 --> 00:04:01.000]  呈報免得王虧損
[00:04:01.000 --> 00:04:04.000]  意思是免得王的權益受到損失
[00:04:04.000 --> 00:04:06.000]  聖經中說
[00:04:06.000 --> 00:04:10.000]  這彈意理因為有卓越的靈性
[00:04:10.000 --> 00:04:13.000]  超乎其餘的總長和總督
[00:04:13.000 --> 00:04:16.000]  王就想立去治理全國
[00:04:16.000 --> 00:04:18.000]  當然
[00:04:18.000 --> 00:04:22.000]  總督和總長非常妒忌彈意理
[00:04:22.000 --> 00:04:24.000]  想找參他的把柄
[00:04:24.000 --> 00:04:29.000]  終於從彈意理的神律法裡面
[00:04:29.000 --> 00:04:32.000]  找到一條可以控告他的主意
[00:04:32.000 --> 00:04:34.000]  於是他們就去見王
[00:04:34.000 --> 00:04:36.000]  求王下旨
[00:04:36.000 --> 00:04:37.000]  立一條禁令
[00:04:37.000 --> 00:04:38.000]  三十日之內
[00:04:38.000 --> 00:04:40.000]  不論什麼人
[00:04:40.000 --> 00:04:41.000]  如果在王以外
[00:04:41.000 --> 00:04:42.000]  或者向神明
[00:04:42.000 --> 00:04:44.000]  或者向人求什麼
[00:04:44.000 --> 00:04:48.000]  就必永在獅子坑裡面
[00:04:48.000 --> 00:04:50.000]  王就毫不猶疑
[00:04:50.000 --> 00:04:53.000]  在這條禁令的文件上
[00:04:53.000 --> 00:04:54.000]  簽了名
[00:04:54.000 --> 00:04:57.000]  我們看看彈意理的行動是怎樣
[00:04:57.000 --> 00:05:00.000]  一邊看經文一邊聽著我講就可以了
[00:05:00.000 --> 00:05:02.000]  在六章十至十一節
[00:05:02.000 --> 00:05:05.000]  彈意理知道文件已經簽署了
[00:05:05.000 --> 00:05:07.000]  就進入自己家裡
[00:05:07.000 --> 00:05:12.000]  他家樓上的窗戶是開向耶路撒冷的
[00:05:12.000 --> 00:05:14.000]  他一天三次
[00:05:14.000 --> 00:05:15.000]  雙膝跪在那裡
[00:05:15.000 --> 00:05:18.000]  在他的神的面前禱告感謝
[00:05:18.000 --> 00:05:20.000]  好像平時一樣
