
[00:00:00.000 --> 00:00:02.560]  鄧小平平安
[00:00:02.560 --> 00:00:05.120]  很開心跟大家分享神力話語
[00:00:05.120 --> 00:00:07.160]  先開始有一個故事
[00:00:07.160 --> 00:00:08.440]  有一天
[00:00:08.440 --> 00:00:12.040]  有一個父子去到森林裡散步
[00:00:12.040 --> 00:00:16.380]  父子走到轉彎的時候就停下來
[00:00:16.380 --> 00:00:19.960]  父親就沉默了一會就問兒子
[00:00:19.960 --> 00:00:21.240]  他說兒子
[00:00:21.240 --> 00:00:24.060]  除了聽雀仔的聲音之外
[00:00:24.060 --> 00:00:27.640]  你還能夠聽到其他聲音嗎
[00:00:27.640 --> 00:00:29.700]  兒子想了一會就說
[00:00:29.700 --> 00:00:30.720]  爸爸
[00:00:30.720 --> 00:00:33.800]  我還聽到一些馬車的聲音
[00:00:33.800 --> 00:00:34.820]  爸爸就說
[00:00:34.820 --> 00:00:35.840]  沒錯
[00:00:35.840 --> 00:00:39.420]  這個是空的馬車聲
[00:00:39.420 --> 00:00:41.980]  兒子很驚訝地問
[00:00:41.980 --> 00:00:43.260]  我都沒有見到它
[00:00:43.260 --> 00:00:47.360]  你怎麼知道是空的馬車呢
[00:00:47.360 --> 00:00:49.160]  爸爸就回答他
[00:00:49.160 --> 00:00:51.460]  馬車聲就認到了
[00:00:51.460 --> 00:00:56.580]  因為空的馬車聲音會更加大
[00:00:56.580 --> 00:01:00.680]  很多年之後小孩長大了成為一個很優秀
[00:01:00.680 --> 00:01:02.460]  也很成功的人
[00:01:02.460 --> 00:01:04.260]  每次見到那些
[00:01:04.260 --> 00:01:09.120]  誇誇其談自以為是的人就會想起爸爸的話
[00:01:09.120 --> 00:01:12.700]  空的馬車聲是更大的聲音
[00:01:12.700 --> 00:01:16.800]  很多人以為口齒伶俐就懂得說話的人
[00:01:16.800 --> 00:01:18.080]  才是聰明
[00:01:18.080 --> 00:01:19.880]  但是智者認為
[00:01:19.880 --> 00:01:21.660]  這只是一種能力
[00:01:21.660 --> 00:01:23.200]  而沉默
[00:01:23.200 --> 00:01:27.040]  才是智慧
[00:01:27.040 --> 00:01:27.800]  今天
[00:01:27.800 --> 00:01:29.600]  和大家分享的講題是
[00:01:29.600 --> 00:01:31.400]  默然不語
[00:01:31.400 --> 00:01:34.200]  經文是出自G編39篇9節
[00:01:34.200 --> 00:01:36.520]  因我所遭遇的事出於你
[00:01:36.520 --> 00:01:39.320]  我就默然不語
[00:01:39.320 --> 00:01:40.600]  透過約書亞記
[00:01:40.600 --> 00:01:42.140]  和大家分享
[00:01:42.140 --> 00:01:45.220]  約書亞有些背景和大家分享一下
[00:01:45.220 --> 00:01:47.520]  大概都記得
[00:01:47.520 --> 00:01:49.560]  以色列民尊埃及
[00:01:49.560 --> 00:01:54.940]  因為得罪神在抗日裏面38年
[00:01:54.940 --> 00:01:56.980]  第一代過去了
[00:01:56.980 --> 00:01:59.280]  預備進入迦南的時候
[00:01:59.280 --> 00:02:01.080]  是新一代的以色列人
[00:02:01.080 --> 00:02:05.180]  耶利哥就是第一座他們要攻取的城
[00:02:05.180 --> 00:02:07.220]  約書亞基本上分三段
[00:02:07.220 --> 00:02:08.000]  進入
[00:02:08.000 --> 00:02:08.760]  攻取
[00:02:08.760 --> 00:02:11.580]  和佔領迦南地
[00:02:11.580 --> 00:02:14.140]  耶利哥是一個很重要的城市
[00:02:14.140 --> 00:02:15.920]  為甚麼呢
[00:02:15.920 --> 00:02:19.760]  耶利哥本身的意思就是分方鄉的意思
