
[00:00:00.000 --> 00:00:03.400]  我們今天繼續思想有關應許的訊息
[00:00:03.400 --> 00:00:04.700]  大家跟我一起祈禱
[00:00:04.700 --> 00:00:06.700]  我們同心仰望主
[00:00:06.700 --> 00:00:16.200]  生命的主 我們感謝祢
[00:00:16.200 --> 00:00:18.700]  每當我們想到十字架
[00:00:18.700 --> 00:00:21.500]  想到葛國他的故事
[00:00:21.500 --> 00:00:25.300]  主 我們心裏充滿著感恩
[00:00:25.300 --> 00:00:27.800]  在我們未曾認識祢的時候
[00:00:27.800 --> 00:00:30.600]  祢已經為我們死
[00:00:30.600 --> 00:00:33.600]  祢已經樂意將祢自己的生命
[00:00:33.600 --> 00:00:36.300]  來獻上給我們
[00:00:36.300 --> 00:00:37.900]  主 我們實在不配
[00:00:37.900 --> 00:00:41.400]  今天領受祢賜給我們的救恩
[00:00:41.400 --> 00:00:45.500]  也要賜下祢自己永遠的同在
[00:00:45.500 --> 00:00:46.700]  主 我們知道
[00:00:46.700 --> 00:00:50.400]  每時每刻 祢的愛永不改變
[00:00:50.400 --> 00:00:53.200]  祢樂意與屬祢的人同在
[00:00:53.200 --> 00:00:54.800]  賜我們平安
[00:00:54.800 --> 00:00:56.800]  賜我們每一天的力量
[00:00:56.800 --> 00:00:58.900]  我們感謝祢
[00:00:58.900 --> 00:01:00.300]  我們如今到祢的面前
[00:01:00.300 --> 00:01:04.200]  和眾弟兄姊妹一同敬拜祢 尊崇祢
[00:01:04.200 --> 00:01:07.600]  為了祢自己的榮耀 祢的慈愛
[00:01:07.600 --> 00:01:09.500]  我們感謝祢
[00:01:09.500 --> 00:01:13.500]  願祢這個時候賜下天上的糧食
[00:01:13.500 --> 00:01:16.900]  讓祢的話語進入我們的心 心處
[00:01:16.900 --> 00:01:19.100]  讓我們真是深刻體會
[00:01:19.100 --> 00:01:22.200]  主 祢的道是靈 是生命
[00:01:22.200 --> 00:01:24.600]  叫我們真正的飽足
[00:01:24.600 --> 00:01:27.100]  求祢聖靈親自的動功
[00:01:27.100 --> 00:01:30.900]  激勵我們的心靈更知道祂愛祢
[00:01:30.900 --> 00:01:33.500]  我們這樣來到等候在祢的面前
[00:01:33.500 --> 00:01:35.500]  求祢聽我們的祈禱
[00:01:35.500 --> 00:01:38.100]  奉靠耶穌基督 聖名祈禱
[00:01:38.100 --> 00:01:40.100]  阿門
[00:01:54.600 --> 00:01:57.100]  這段時間我們講到雲彩的見證
[00:01:57.100 --> 00:02:00.100]  有很多很多不同的先賢
[00:02:00.100 --> 00:02:01.900]  他們留下美好的見證
[00:02:01.900 --> 00:02:05.300]  成為我們今天的一個重要的榜樣
[00:02:05.300 --> 00:02:06.900]  我們提到這位的神
[00:02:06.900 --> 00:02:10.800]  祂是「應許賜恩典」的上帝
[00:02:10.800 --> 00:02:14.200]  或者你會問是甚麼「應許」
[00:02:14.200 --> 00:02:17.200]  我都再問 如果我要問
[00:02:17.200 --> 00:02:22.500]  究竟你會不會即時想起神給你有甚麼「應許」呢
[00:02:22.500 --> 00:02:25.300]  你會想起甚麼呢
[00:02:25.300 --> 00:02:28.900]  有沒有三、四、五項很多不同的「應許」呢
[00:02:28.900 --> 00:02:31.700]  大家一定會想到很多
[00:02:31.700 --> 00:02:33.500]  最簡單最直接的就是
[00:02:33.500 --> 00:02:35.100]  我們上上講到
[00:02:35.100 --> 00:02:41.700]  「口裡承認 心裡相信 就必得救」
[00:02:41.700 --> 00:02:46.700]  神應許信靠祂的人領受祂給我們的拯救
[00:02:46.700 --> 00:02:48.900]  我們都會立時想起聖經說
[00:02:48.900 --> 00:02:55.200]  「凡是敬畏耶和華的 一樣好處都不缺乏」
[00:02:55.200 --> 00:02:57.100]  是神的「應許」來的
[00:02:57.100 --> 00:02:59.300]  祂影響我們信靠祂的時候
[00:02:59.300 --> 00:03:04.700]  凡是信靠祂的人必不至於羞愧
[00:03:04.700 --> 00:03:05.800]  當你小心想的時候
[00:03:05.800 --> 00:03:08.600]  聖經充滿著各種的「應許」
[00:03:08.600 --> 00:03:11.300]  但是可能突然間你會感覺
[00:03:11.300 --> 00:03:14.700]  信心 怎樣相信呢
[00:03:14.700 --> 00:03:18.300]  在聖經裡面提及神的各種「應許」的時候
[00:03:18.300 --> 00:03:20.900]  領受「應許」的途徑
[00:03:20.900 --> 00:03:25.300]  最簡單最直接說就是信心
[00:03:25.300 --> 00:03:28.600]  但是信心 真正的信心是有行動的
