
[00:00:00.000 --> 00:00:01.680]  好,讓我們一起平心低頭祷告
[00:00:01.680 --> 00:00:03.880]  我們同正義,至止逃逃
[00:00:03.880 --> 00:00:05.960]  天父,我多謝祢
[00:00:05.960 --> 00:00:09.680]  讓我們能夠再次回到祢寶貴的說話面前學習
[00:00:09.680 --> 00:00:11.400]  求祢與我們同在
[00:00:11.400 --> 00:00:14.840]  讓祢的聖靈打開我們每人的心思意念
[00:00:14.840 --> 00:00:19.160]  領受主祢在祢的教導當中的精髓
[00:00:19.160 --> 00:00:21.720]  並且讓我們去明白主祢的心思
[00:00:21.720 --> 00:00:23.880]  好使我們去實踐祢的說話
[00:00:23.880 --> 00:00:26.920]  奉祢的差命出去傳導的時候
[00:00:26.920 --> 00:00:29.440]  甚至在我們自己的屬靈生命的成長上
[00:00:29.440 --> 00:00:31.360]  都有一個準確的拿捏
[00:00:31.360 --> 00:00:32.320]  求祢的幫助
[00:00:32.320 --> 00:00:36.200]  我們親愛的天父,感謝祢給我們再次來到祢的跟前
[00:00:36.200 --> 00:00:38.480]  來打開祢的話語
[00:00:38.480 --> 00:00:42.600]  透過祢獨生兒子耶穌基督在地上的教訓
[00:00:42.600 --> 00:00:45.760]  讓我們每一個基督姐妹能夠再一次
[00:00:45.760 --> 00:00:49.200]  能夠明白當中的教導
[00:00:49.200 --> 00:00:51.600]  也讓我們有一個準確的把握
[00:00:51.600 --> 00:00:54.000]  使我們在成長的過程當中
[00:00:54.000 --> 00:00:56.640]  能夠按照祢的旨意來成長
[00:00:56.640 --> 00:00:57.960]  求祢的帶領
[00:00:57.960 --> 00:01:02.040]  讓今天無論講的、聽的都同夢安撫
[00:01:02.040 --> 00:01:04.960]  我們的禱告封鎖耶穌的冥想
[00:01:04.960 --> 00:01:06.960]  Amen
[00:01:06.960 --> 00:01:09.400]  教會今年的題目叫做
[00:01:09.400 --> 00:01:12.120]  「絕壯成長,承擔使命」
[00:01:12.120 --> 00:01:15.560]  今年的教會題目是
[00:01:15.560 --> 00:01:18.920]  「酌上成長,承擔使命」
[00:01:18.920 --> 00:01:24.600]  今堂是我今年第三次跟大家講同一個題目
[00:01:24.600 --> 00:01:29.400]  今天我來自第三堂跟大家分享同一個題目
[00:01:29.400 --> 00:01:31.520]  不知道大家還記不記得我之前講過什麼
[00:01:31.520 --> 00:01:33.240]  我不知道,你還記得
