
[00:00:00.000 --> 00:00:07.000]  首先我想再問問大家知不知道今年的教會主題是什麼?
[00:00:07.000 --> 00:00:08.000]  沒有反應
[00:00:08.000 --> 00:00:10.000]  我們剛剛讀完
[00:00:10.000 --> 00:00:12.000]  在報告那裡寫了
[00:00:12.000 --> 00:00:16.000]  就是《蒙照在基督女成熟》
[00:00:16.000 --> 00:00:21.000]  我們剛才也讀了一段羅馬書
[00:00:21.000 --> 00:00:26.000]  但是我想我們再讀
[00:00:26.000 --> 00:00:30.000]  《哥勒西書》一章那裡
[00:00:30.000 --> 00:00:34.000]  由二十七節讀起讀到二十九節
[00:00:34.000 --> 00:00:39.000]  兩段經文我們都放在報告那裡
[00:00:39.000 --> 00:00:40.000]  我知道
[00:00:40.000 --> 00:00:44.000]  但是這段經文我們應該是先放的
[00:00:44.000 --> 00:00:47.000]  但是我們最後是先讀了羅馬書
[00:00:47.000 --> 00:00:49.000]  我們一起讀
[00:00:49.000 --> 00:00:52.000]  《哥勒西書》一章二十七節我們一起讀
[00:00:52.000 --> 00:01:06.000]  神顯意叫他們知道
[00:01:06.000 --> 00:01:08.000]  使用諸般的智慧
[00:01:08.000 --> 00:01:10.000]  勸誡各人
[00:01:10.000 --> 00:01:11.000]  教導各人
[00:01:11.000 --> 00:01:16.000]  要把各人在基督女完全全的引到神面前
[00:01:16.000 --> 00:01:24.000]  我也為此勞苦 照著她在裡面運用的大能 盡心竭力
[00:01:24.000 --> 00:01:33.000]  Ivan 牧師一月的時候已經開始講這個題目
[00:01:33.000 --> 00:01:41.000]  他是用羅馬書開始講到成為門徒
[00:01:41.000 --> 00:01:43.000]  不是使徒 不是聖徒
[00:01:43.000 --> 00:01:49.000]  就是成為門徒來到開始
[00:01:49.000 --> 00:01:51.000]  有人來都問
[00:01:51.000 --> 00:01:55.000]  為什麼我們要找這個題目呢
[00:01:55.000 --> 00:01:57.000]  是不是我們不夠成熟
[00:01:57.000 --> 00:02:01.000]  或者我們成長得不太好
[00:02:01.000 --> 00:02:03.000]  那我就不會回答這個問題
[00:02:03.000 --> 00:02:04.000]  如果你來問
[00:02:04.000 --> 00:02:09.000]  我想大家自己可以回去稍微思考一下
[00:02:09.000 --> 00:02:14.000]  那配合這個主題 我過去幾個月裡面
[00:02:14.000 --> 00:02:16.000]  我都開始慢慢
