
[00:00:00.000 --> 00:00:04.200]  知道父親節怎麼來的嗎
[00:00:04.200 --> 00:00:08.880]  父親節其實是在Spokane
[00:00:08.880 --> 00:00:12.720]  在華盛頓州的Spokane這邊
[00:00:12.720 --> 00:00:16.000]  那個時候是1909年
[00:00:16.000 --> 00:00:19.240]  有一個Mr. Stodd
[00:00:19.240 --> 00:00:22.480]  那麼他過完母親節
[00:00:22.480 --> 00:00:26.680]  他就想到父親Mr. Stodd
[00:00:26.680 --> 00:00:28.960]  因爲這個父親呢
[00:00:28.960 --> 00:00:34.160]  他母親生第六個小孩的時候就過世了
[00:00:34.160 --> 00:00:35.880]  所以這全部六個小孩
[00:00:35.880 --> 00:00:40.160]  是他一手爸爸一個人拉拔帶大
[00:00:40.160 --> 00:00:43.160]  所以他想到他父親的辛勞
[00:00:43.160 --> 00:00:45.680]  而那年過母親節的時候
[00:00:45.680 --> 00:00:47.920]  大家尊榮母親
[00:00:47.920 --> 00:00:49.400]  但是他想到說
[00:00:49.400 --> 00:00:54.160]  我的父親居勞醫生現在已經走了
[00:00:54.160 --> 00:00:57.800]  他說我們應該也要來紀念
[00:00:57.800 --> 00:00:59.200]  我們的父親
[00:00:59.200 --> 00:01:01.240]  所以他就跟牧師講
[00:01:01.240 --> 00:01:04.560]  牧師就在教會里面
[00:01:04.560 --> 00:01:08.160]  辦了全世界第一次的父親節
[00:01:08.160 --> 00:01:11.120]  那個時候是1909年
[00:01:11.120 --> 00:01:12.440]  Hallelujah
[00:01:12.440 --> 00:01:15.320]  後來到了1910年
[00:01:15.320 --> 00:01:18.760]  華盛頓州通過立法
[00:01:18.760 --> 00:01:23.320]  的六月第三個禮拜是父親節
[00:01:23.320 --> 00:01:26.120]  那時候的規矩是這個樣子
[00:01:26.120 --> 00:01:28.840]  人家要帶一朵玫瑰花
[00:01:28.840 --> 00:01:31.040]  如果你父親還在
[00:01:31.040 --> 00:01:32.880]  你帶一朵紅色的
[00:01:32.880 --> 00:01:34.680]  如果你父親不在
[00:01:34.680 --> 00:01:37.280]  帶一朵白色的
[00:01:37.280 --> 00:01:40.280]  所以1910年
[00:01:40.280 --> 00:01:41.960]  華盛頓州就開始
[00:01:41.960 --> 00:01:45.960]  結果到了1972年
[00:01:45.960 --> 00:01:48.360]  美國國會立法
[00:01:48.360 --> 00:01:51.480]  尼克森總統簽署通過了
[00:01:51.480 --> 00:01:53.960]  所以父親節從此就定下來了
[00:01:53.960 --> 00:01:57.000]  六月第三個禮拜
[00:01:57.000 --> 00:01:59.720]  一般我們就不記得父親節了
[00:01:59.720 --> 00:02:02.200]  我們都記得母親節了
[00:02:02.200 --> 00:02:06.120]  但是父親真的很偉大
[00:02:06.120 --> 00:02:07.200]  我們一個人
[00:02:07.200 --> 00:02:08.440]  每一個人最早
[00:02:08.440 --> 00:02:10.200]  也有兩個父親
[00:02:10.200 --> 00:02:11.920]  相當相信
[00:02:11.920 --> 00:02:14.280]  一個是分分之父
[00:02:14.280 --> 00:02:17.760]  一個是我們天上的阿爸父
[00:02:17.760 --> 00:02:19.520]  阿爸father
[00:02:19.520 --> 00:02:20.880]  你信不信他
[00:02:20.880 --> 00:02:22.200]  你真不認識他
[00:02:22.200 --> 00:02:24.760]  他都在呢
[00:02:24.760 --> 00:02:26.080]  感謝神
[00:02:26.080 --> 00:02:28.720]  那麼除了我們的分分之父
[00:02:28.720 --> 00:02:30.920]  我們的天上的阿爸父
[00:02:30.920 --> 00:02:34.520]  我們最早還有一個
[00:02:34.520 --> 00:02:36.440]  是我們的屬於的父親
[00:02:36.440 --> 00:02:38.040]  不是嗎
[00:02:38.040 --> 00:02:40.800]  還有我們最早一個
[00:02:40.800 --> 00:02:43.640]  養育你的父親
[00:02:43.640 --> 00:02:45.920]  以我的例子
[00:02:45.920 --> 00:02:47.640]  我的養育我的父親
[00:02:47.640 --> 00:02:49.480]  就是我的分分之父
[00:02:49.480 --> 00:02:51.560]  就是那一位
[00:02:51.560 --> 00:02:55.040]  從年輕一路就辛苦
[00:02:55.040 --> 00:02:56.320]  這面積大了
[00:02:56.320 --> 00:02:58.680]  只有六個小孩
[00:02:58.680 --> 00:03:01.120]  我家有七個小孩
[00:03:01.120 --> 00:03:03.600]  而且我是出生在1950年
[00:03:03.600 --> 00:03:06.560]  物質最缺乏的時候
[00:03:06.560 --> 00:03:10.440]  但是卻是我最愉快的童年
[00:03:10.440 --> 00:03:12.680]  從小喫着餃
[00:03:12.680 --> 00:03:16.680]  跑在年小的柏油路上面
[00:03:16.680 --> 00:03:18.600]  頭上剃的光頭
[00:03:18.600 --> 00:03:21.000]  頭身長 腳身濃
[00:03:21.000 --> 00:03:23.560]  鼻子上也掛了兩條鼻涕
[00:03:23.560 --> 00:03:26.520]  耳朵上也掛了一條鼻涕
[00:03:26.520 --> 00:03:29.160]  到湖海里面去抓魚
[00:03:29.160 --> 00:03:32.240]  到溝裏面去抓蛇
[00:03:32.240 --> 00:03:34.440]  到樹上去抓麻雀
[00:03:34.440 --> 00:03:36.880]  活得好快樂
[00:03:36.880 --> 00:03:38.160]  有的時候回家的時候
[00:03:38.160 --> 00:03:39.600]  天都黑了
[00:03:39.600 --> 00:03:43.600]  好像我家沒少一個人一樣
[00:03:43.600 --> 00:03:44.480]  感謝主
[00:03:44.480 --> 00:03:46.240]  我就這麼長大過來
[00:03:46.240 --> 00:03:49.520]  從來沒有這麼愉快過
[00:03:49.520 --> 00:03:51.520]  但是我現在想起來
[00:03:51.520 --> 00:03:55.200]  那我爸爸我媽媽可辛苦了
[00:03:55.200 --> 00:03:57.880]  一家這麼多口要喫飯
[00:03:57.880 --> 00:03:58.960]  你知道嗎
[00:03:58.960 --> 00:04:02.040]  我爸爸是福建夏威夷人
[00:04:02.040 --> 00:04:03.520]  在抗戰的時候
[00:04:03.520 --> 00:04:05.320]  他是公務員
[00:04:05.320 --> 00:04:08.880]  抗戰的時候就到了四川重慶去
[00:04:08.880 --> 00:04:10.840]  所以我媽媽是重慶人
[00:04:10.840 --> 00:04:12.280]  起山人
[00:04:12.280 --> 00:04:15.680]  所以我今天講的這番話
[00:04:15.680 --> 00:04:21.760]  總之呢
[00:04:21.760 --> 00:04:23.280]  所以討論的時候
[00:04:23.280 --> 00:04:26.240]  我爸就討論我媽就討論討論了
[00:04:26.240 --> 00:04:28.120]  那麼我哥哥我們一家
[00:04:28.120 --> 00:04:29.720]  一年生一個
[00:04:29.720 --> 00:04:31.680]  因爲那時候蔣介石說要
[00:04:31.680 --> 00:04:34.960]  韓國大陸正常報國
[00:04:34.960 --> 00:04:36.240]  所以我家是
[00:04:36.240 --> 00:04:38.560]  我大姐四六
[00:04:38.560 --> 00:04:41.200]  四五四六一九四五四六
[00:04:41.200 --> 00:04:45.000]  四七四八四九五零年
[00:04:45.000 --> 00:04:48.120]  三個月抗戰
[00:04:48.120 --> 00:04:51.120]  全家都是人
[00:04:51.120 --> 00:04:53.480]  真的過得很愉快
[00:04:53.480 --> 00:04:55.600]  但是您知道嗎
[00:04:55.600 --> 00:04:58.440]  現在我們的孩子不知道
[00:04:58.440 --> 00:05:00.920]  我一直跟我的孩子說
[00:05:00.920 --> 00:05:04.440]  你們喫飯要快點
[00:05:04.440 --> 00:05:08.080]  爸爸以前小時候早餐不喫快點
[00:05:08.080 --> 00:05:10.960]  晚餐都沒了
[00:05:10.960 --> 00:05:12.840]  就這麼嚴重
[00:05:12.840 --> 00:05:14.880]  他們都聽不懂
[00:05:14.880 --> 00:05:17.120]  what do you mean
[00:05:17.120 --> 00:05:19.400]  anyway
[00:05:19.400 --> 00:05:20.760]  我講到我的父親
[00:05:20.760 --> 00:05:22.920]  我的母親那真是巨佬
[00:05:22.920 --> 00:05:26.720]  他們一輩子辛辛苦苦把我們帶大
[00:05:26.720 --> 00:05:28.800]  當然了他也過世了
[00:05:28.800 --> 00:05:32.600]  我的曾曾父親養育我的父親
[00:05:32.600 --> 00:05:35.480]  有的人曾曾父親跟養父不一樣
[00:05:35.480 --> 00:05:36.440]  不是嗎
[00:05:36.440 --> 00:05:39.000]  甚至有好幾個養父的
[00:05:39.000 --> 00:05:41.400]  我們還有蜀林父親不是嗎
[00:05:41.400 --> 00:05:47.840]  我的蜀林父親算是我讀神學院的王院長
[00:05:47.840 --> 00:05:49.480]  王院長非常好
[00:05:49.480 --> 00:05:51.000]  我講過
[00:05:51.000 --> 00:05:54.440]  我是做網絡通訊的
[00:05:54.440 --> 00:05:56.480]  當紅辣子雞
[00:05:56.480 --> 00:05:58.160]  那個精神高
[00:05:58.160 --> 00:05:59.800]  職位也不錯
[00:05:59.800 --> 00:06:01.640]  我也很喜歡我自己
[00:06:01.640 --> 00:06:02.840]  還在那
[00:06:02.840 --> 00:06:04.400]  結果到了Cisco
[00:06:04.400 --> 00:06:06.200]  到了San Jose
