
[00:00:00.000 --> 00:00:03.000]  開始之前 我很想問一下大家
[00:00:03.000 --> 00:00:10.000]  你們有沒有人每個星期為我們星期日服侍的弟兄姊妹去祈禱
[00:00:10.000 --> 00:00:15.000]  謝謝 特別為了港元 有沒有
[00:00:15.000 --> 00:00:18.000]  如果有的話 我很想多謝你
[00:00:18.000 --> 00:00:22.000]  因為每次講道的時候 我都是很戰戰兢兢的
[00:00:22.000 --> 00:00:27.000]  莫說我預備了一個多兩個月的經文
[00:00:27.000 --> 00:00:35.000]  正正是上個星期三一神學院校長包維君牧師所講的經文
[00:00:35.000 --> 00:00:41.000]  求主憐憫 我
[00:00:41.000 --> 00:00:45.000]  很感謝包牧師幫我打底
[00:00:45.000 --> 00:00:50.000]  希望今天我們再講羅馬書十二章一至二節的時候
[00:00:50.000 --> 00:00:56.000]  大家對當中的訊息 能夠有更深入的反思
[00:00:56.000 --> 00:01:00.000]  重要的經文講兩次
[00:01:00.000 --> 00:01:05.000]  感謝神 今天再有機會在大家當中分享神的話語
[00:01:05.000 --> 00:01:11.000]  這個暑假我會分開三堂 跟大家講羅馬書十二章當中的訊息
[00:01:11.000 --> 00:01:16.000]  第一堂就是今天 就是羅馬書十二章一至二節
[00:01:16.000 --> 00:01:21.000]  生命的祭 到七月頭就會講生命的慈
[00:01:21.000 --> 00:01:26.000]  講淑靈的恩賜 三至八節 第三堂就在七月底
[00:01:26.000 --> 00:01:31.000]  九至二十一節 講到生命的志 講智力去愛
[00:01:31.000 --> 00:01:34.000]  羅馬書十二章一至二節
[00:01:34.000 --> 00:01:38.000]  可能你們當中有些人跟我一起長大
[00:01:38.000 --> 00:01:42.000]  是我大學生團契的時候的一個團訓
[00:01:42.000 --> 00:01:47.000]  現在的團契已經不流行唱團歌背團訓
[00:01:47.000 --> 00:01:54.000]  很明顯這是我的自殺式 順便揭露年齡分享
[00:01:54.000 --> 00:01:58.000]  想當年每個星期三的團契 我們都會站起來
[00:01:58.000 --> 00:02:02.000]  就去背團訓 唱團歌
[00:02:02.000 --> 00:02:07.000]  我想起每一次背的時候 我們都是很有使命感的
[00:02:07.000 --> 00:02:12.000]  我自己在想 每個星期背的時候 就好像重新去立志
[00:02:12.000 --> 00:02:19.000]  告訴神我願意把我的生命擺上 願意獻上我自己給神
[00:02:19.000 --> 00:02:25.000]  分享之前 我們先做個祈禱
[00:02:25.000 --> 00:02:33.000]  出入主我們的神 感謝讚美你 恭敬地將以下時間擺上
[00:02:33.000 --> 00:02:38.000]  你因高下自己的口 讓你自己的話語直著人的口
[00:02:38.000 --> 00:02:41.000]  帶著能力被釋放出去
[00:02:41.000 --> 00:02:45.000]  聖靈在人的心裡工作 用心去聆聽
[00:02:45.000 --> 00:02:47.000]  你要跟我們說的話
[00:02:47.000 --> 00:02:52.000]  這樣的祈禱 奉耶穌基督聖名祈求
[00:02:52.000 --> 00:02:56.000]  羅馬書在聖經裡是一本很重要的書
[00:02:56.000 --> 00:02:58.000]  可能你聽我這樣說的時候
[00:02:58.000 --> 00:03:01.000]  可能在想 誰不知道媽媽是女人嗎
[00:03:01.000 --> 00:03:04.000]  聖經裡有哪一本書是不重要的呢
[00:03:04.000 --> 00:03:06.000]  我想說重要的意思是
[00:03:06.000 --> 00:03:13.080]  羅馬書對一些影響世代的神學家有些震撼性的影響
[00:03:13.080 --> 00:03:16.480]  神學家、哲學家奧古斯丁
[00:03:16.480 --> 00:03:21.000]  他在386年的時候因為讀羅馬書十三章
[00:03:21.000 --> 00:03:24.920]  十三至十四節而悔改信主
[00:03:24.920 --> 00:03:29.080]  後來他成為一個很出名的講道者
[00:03:29.080 --> 00:03:35.240]  我們讀神學院的人沒有一個學生是不會讀到他的著作
[00:03:35.240 --> 00:03:40.800]  他的著作是很舉足輕重
[00:03:40.800 --> 00:03:45.200]  神學家、宗教改革家馬丁路德
[00:03:45.200 --> 00:03:49.400]  在1515年的十一月教授羅馬書的時候
[00:03:49.400 --> 00:03:53.440]  指出羅馬書的重點不是講一個公義的神
[00:03:53.440 --> 00:03:56.680]  要去審判不義的人
[00:03:56.680 --> 00:04:00.320]  而是神要因為人的信心去稱人為義
[00:04:00.320 --> 00:04:06.080]  這個教義也是他改革運動的一個動力
[00:04:06.080 --> 00:04:10.000]  在羅馬書十二章一至二節之前
[00:04:10.000 --> 00:04:11.840]  我很想跟大家講一講
[00:04:11.840 --> 00:04:16.120]  講一講羅馬書一至十一節大約是講了些什麼
[00:04:16.120 --> 00:04:21.400]  總括來說他是在講基督教的基本教義
[00:04:21.400 --> 00:04:25.320]  亦都在講無論是猶太人
[00:04:25.320 --> 00:04:29.520]  在當時似乎地位高些、巴閉些
[00:04:29.520 --> 00:04:32.760]  或者外邦人好像地位低些的人
[00:04:32.760 --> 00:04:35.840]  都是因為信基督而被稱義
[00:04:35.840 --> 00:04:39.760]  而不是因為遵守一些律法和教義
[00:04:39.760 --> 00:04:43.240]  來到羅馬書十二章的結構上面
[00:04:43.240 --> 00:04:49.600]  十二章的開始是將一至十一章所講的
[00:04:49.600 --> 00:04:55.520]  由一些教義轉向講我們怎樣去應用
[00:04:55.520 --> 00:04:59.120]  解釋福音的真義轉向勸勉、教導信徒
[00:04:59.120 --> 00:05:01.240]  在每日行事為人上面
[00:05:01.240 --> 00:05:05.560]  我們怎樣實踐因信清義的道理
[00:05:05.560 --> 00:05:06.480]  正如我剛才所說
[00:05:06.480 --> 00:05:10.080]  今天的講題叫做「生命的濟」
[00:05:10.080 --> 00:05:13.960]  我想先邀請大家和我一起讀這節經文
[00:05:13.960 --> 00:05:17.040]  如果你想當年和我團契的時候
[00:05:17.040 --> 00:05:20.040]  歡迎你背俗
[00:05:20.040 --> 00:05:21.680]  一二三
[00:05:21.680 --> 00:05:23.560]  所以弟兄們
[00:05:23.560 --> 00:05:26.480]  我以神的慈悲勸你們
[00:05:26.480 --> 00:05:29.920]  將身體獻上,當作活祭
[00:05:29.920 --> 00:05:52.280]  十二章的一開始保留在這裡
[00:05:52.280 --> 00:05:54.800]  Out of Godly Compassion
[00:05:54.800 --> 00:05:59.440]  出於神的慈悲,去慰問弟兄姊妹
