
[00:00:00.000 --> 00:00:02.500]  大家可能會覺得奇怪
[00:00:02.500 --> 00:00:07.000]  今天慧明你講的明明是這個摩西之歌
[00:00:07.000 --> 00:00:12.000]  爲什麼你講到的題目稱作聖誕頌歌呢
[00:00:12.000 --> 00:00:19.000]  那摩西之歌明明講的就是埃及人過紅海的這個事件
[00:00:19.000 --> 00:00:23.000]  和聖誕節可以說是風馬牛不相及的
[00:00:23.000 --> 00:00:27.500]  那到底摩西之歌和聖誕頌歌有什麼關係呢
[00:00:27.500 --> 00:00:31.500]  我希望我們今天聽完了這個講到之後
[00:00:31.500 --> 00:00:33.500]  就能完全明白過來了
[00:00:33.500 --> 00:00:37.500]  那現在大家得束起耳朵來聽
[00:00:37.500 --> 00:00:41.500]  其實我今天這個講到的題目
[00:00:41.500 --> 00:00:45.500]  是借用英國著名的作家Charles Dickens
[00:00:45.500 --> 00:00:52.500]  他在1843年寫成的一部聖誕的系列的作品
[00:00:52.500 --> 00:00:57.500]  他這個寫的這個小說叫A Christmas Carol
[00:00:57.500 --> 00:01:00.500]  中文翻譯有很多不同的名稱
[00:01:00.500 --> 00:01:03.500]  其中一個就是聖誕頌歌
[00:01:03.500 --> 00:01:10.500]  那我們很多人可能都知道聖誕節要紀念的是耶穌基督
[00:01:10.500 --> 00:01:13.500]  可是往往很多時候
[00:01:13.500 --> 00:01:17.500]  聖誕節卻好像變成是聖誕老人的節日
[00:01:17.500 --> 00:01:22.500]  好像聖誕老人才是聖誕的主角
[00:01:22.500 --> 00:01:26.500]  所以我們常常聽到那些聖誕的歌也在唱
[00:01:26.500 --> 00:01:29.500]  Santa Claus is coming to town
[00:01:29.500 --> 00:01:32.500]  好像就跟我們所說的
[00:01:32.500 --> 00:01:36.500]  我們知道聖誕節是紀念耶穌一點關係都沒有
[00:01:36.500 --> 00:01:42.500]  那在我們去了解這個聖誕頌歌和摩西之歌有什麼關係之前
[00:01:42.500 --> 00:01:46.500]  讓我們先來仔細的看一下摩西之歌
[00:01:46.500 --> 00:01:50.500]  首先我們看一下他的寫作的背景
[00:01:50.500 --> 00:01:55.500]  那其實14章的結尾還有15章的第一節就這樣提到
[00:01:55.500 --> 00:02:03.500]  當時的背景就是耶穌接着摩西的手帶領以色列人經過紅海
[00:02:03.500 --> 00:02:09.500]  他走過紅海的甘地來到過了這個紅海
[00:02:09.500 --> 00:02:14.500]  然後那些追他們的埃及人卻被那個海水迴流的時候
[00:02:14.500 --> 00:02:17.500]  就全軍覆沒在這個紅海上
[00:02:17.500 --> 00:02:23.500]  所以以色列人從埃及人手裏脫離了他們的奴役
[00:02:23.500 --> 00:02:27.500]  然後過了紅海來到這邊之後
[00:02:27.500 --> 00:02:30.500]  他們就敬畏耶化幸福耶化
[00:02:30.500 --> 00:02:34.500]  所以他們就寫了唱了這個摩西之歌
[00:02:34.500 --> 00:02:35.500]  這是他們的背景
[00:02:35.500 --> 00:02:39.500]  那從這首摩西之歌我們再看一下有一些重點
[00:02:39.500 --> 00:02:44.500]  首先呢他送讚的對象很清楚的
[00:02:44.500 --> 00:02:50.500]  從第一節我們看到他們要送讚的對象就是耶化神自己
[00:02:50.500 --> 00:02:54.500]  第二呢他們所用的這個形式
[00:02:54.500 --> 00:03:01.500]  第一節也很清楚的說他們是把這個送贊唱出來
[00:03:01.500 --> 00:03:05.500]  唱這個要向耶化來歌唱
[00:03:05.500 --> 00:03:08.500]  那以色列人在埃及寄居了400多年
[00:03:08.500 --> 00:03:10.500]  只是過去這段歷史
