
[00:00:00.000 --> 00:00:06.960]  這個加拉太書是可以說 我們一直在講
[00:00:06.960 --> 00:00:13.340]  加拉太書在講到律法跟陰性稱義這當中的差別
[00:00:13.340 --> 00:00:18.000]  保羅花了前面三張的時間 你看我們講這個主題
[00:00:18.000 --> 00:00:21.600]  可能你講到說 哎呀 又是律法
[00:00:21.600 --> 00:00:26.080]  我盼望這一個主題 聖經上竟然這麼看重
[00:00:26.080 --> 00:00:30.800]  弟兄姊妹 你不要以為這個跟我沒關係 跟你他有關係
[00:00:30.800 --> 00:00:34.920]  跟你我太有關係了 我們即便你信主了四十年
[00:00:34.920 --> 00:00:42.560]  你都還是可能活在律法的裡面 了解我意思嗎
[00:00:42.560 --> 00:00:48.080]  保羅在這裡講到 加拉太書第三章第十節到十四節
[00:00:48.080 --> 00:00:55.160]  他基本上講到兩種人 第一種人就是以律法為本的人
[00:00:55.160 --> 00:00:59.480]  在第十節到十一節 第十節十一節我們再來看
[00:00:59.480 --> 00:01:06.760]  我們來看第十節十一節 我們一起來 回頭看一下
[00:01:06.760 --> 00:01:10.960]  第十節十一節 我們來看這段聖經 我們一起來念
[00:01:10.960 --> 00:01:15.400]  凡以行律法為本的 都是被咒阻的
[00:01:15.400 --> 00:01:22.040]  因為經上記者 凡不藏照律法書上所記一切之事去行的
[00:01:22.040 --> 00:01:27.600]  就被咒阻 沒有一個人靠著律法在神面前稱義
[00:01:27.600 --> 00:01:32.840]  這是明顯的 因為經上說 一人必因性得身
[00:01:32.840 --> 00:01:37.600]  律法就到這裡 在這段聖經裡面
[00:01:37.600 --> 00:01:44.800]  保羅一開始就講 凡以行律法為本的 結果是什麼
[00:01:44.800 --> 00:01:53.600]  哇 很嚴重啊 凡以行律法為本的 都是被咒阻的
[00:01:53.600 --> 00:02:02.320]  你希望被咒阻嗎 那你還要以行律法為本啊
[00:02:02.320 --> 00:02:05.920]  所以你看見 這件事情很嚴重對不對
[00:02:05.920 --> 00:02:11.840]  那麼 什麼叫做行律法為本呢
[00:02:11.840 --> 00:02:15.160]  生命記二十七章 這段經文其實是引用在
[00:02:15.160 --> 00:02:17.240]  生命記二十七章二十六節
[00:02:17.240 --> 00:02:20.120]  二十七章二十六節這裡 我們一起來念
[00:02:20.120 --> 00:02:25.040]  不堅守遵行這律法言語的 必受咒阻
[00:02:25.040 --> 00:02:29.480]  二十七章在講什麼 如果你可以很快看的話
[00:02:29.480 --> 00:02:34.080]  你可以翻到二十七章 生命記二十七章在講什麼呢
[00:02:34.080 --> 00:02:37.000]  生命記二十七章是摩西跟以色列人
[00:02:37.000 --> 00:02:42.720]  然後跟他們立約 把神給他的這些話寫在石頭上面
[00:02:42.720 --> 00:02:47.600]  在那邊立約 然後前面就是講到十二節的時候
[00:02:47.600 --> 00:02:50.440]  他就提到說 以色列有六個支派
[00:02:50.440 --> 00:02:53.640]  都要站在基利新山上為百姓祝福
[00:02:53.640 --> 00:02:56.120]  請你看 你現在有一個視覺
[00:02:56.120 --> 00:03:00.560]  有六個支派要站在基利新山上為以色列人祝福
[00:03:00.560 --> 00:03:07.240]  另外六個支派是站在以巴祿山上為以色列人
[00:03:07.240 --> 00:03:17.120]  奏祖 換句話說 整個生命記裡面講到律法
[00:03:17.120 --> 00:03:23.440]  生命記的意思就是重生什麼 戒命 懂這個意思嗎
[00:03:23.440 --> 00:03:25.840]  所以摩西在這個生命記裡面
[00:03:25.840 --> 00:03:30.160]  在這裡面提到說 這六個支派他們做祝福的工作
[00:03:30.160 --> 00:03:33.040]  六個支派做奏祖的工作 是什麼意思呢
[00:03:33.040 --> 00:03:36.800]  意思是說 你遵行神的律法你就被祝福
[00:03:36.800 --> 00:03:42.000]  如果你不遵行神的律法怎麼樣 就被奏祖
[00:03:42.000 --> 00:03:44.160]  舊約的觀念是這樣子
[00:03:44.160 --> 00:03:48.560]  剛才我們說行律法的就怎麼樣
[00:03:48.560 --> 00:03:53.680]  舊約不是說行律法的就怎麼樣 就被祝福啊
[00:03:53.680 --> 00:03:55.840]  你出也蒙福 入也蒙福
[00:03:55.840 --> 00:03:58.160]  你謹守遵行耶和華所說的一切話
[00:03:58.160 --> 00:04:00.240]  你出也蒙福 入也蒙福
[00:04:00.240 --> 00:04:08.320]  你的趕麵棚都蒙福
[00:04:08.320 --> 00:04:13.040]  丘子妹 反過來 如果你不謹守遵行耶和華的律法
[00:04:13.040 --> 00:04:15.760]  怎麼樣 結果是什麼
[00:04:15.760 --> 00:04:19.040]  結果是什麼 你就被祝祖
[00:04:19.040 --> 00:04:23.920]  你出也奏祖 入也奏祖
[00:04:23.920 --> 00:04:28.160]  趕麵棚也奏祖
[00:04:28.160 --> 00:04:30.880]  丘子妹 所以你可以了解
[00:04:30.880 --> 00:04:34.480]  從以色列人的背景 從猶太人的背景來講
[00:04:34.480 --> 00:04:38.240]  他在舊約這樣子 神這麼樣子看重律法
[00:04:38.240 --> 00:04:41.520]  行律法 遵行律法 這樣子一個背景當中
[00:04:41.520 --> 00:04:46.880]  對他們來講 律法是何等重要 是不是
[00:04:46.880 --> 00:04:48.320]  律法是何等重要
