
[00:00:00.000 --> 00:00:05.600]  (主席)大家好,當中可能我認識某些人,其他都不認識
[00:00:05.600 --> 00:00:09.900]  不過很感謝你今天來參加這個餐會
[00:00:09.900 --> 00:00:13.160]  我會用大概半個小時的時間
[00:00:13.160 --> 00:00:17.500]  講一下這個工作,拉上信仰的關係
[00:00:17.500 --> 00:00:21.120]  我知道大家都忙的,所以我希望,或者我不會
[00:00:21.120 --> 00:00:23.520]  我立志不會浪費大家的時間
[00:00:23.520 --> 00:00:27.200]  半個小時之後,你聽完這次的鼓勵
[00:00:27.200 --> 00:00:33.480]  你應該可以實際在你的工作環境裏幫助自我
[00:00:33.480 --> 00:00:38.280]  使你的工作的經歷開心一點
[00:00:38.280 --> 00:00:41.980]  我希望你有宗教背景好,沒有宗教背景好
[00:00:41.980 --> 00:00:44.980]  我相信都會對你有些鼓勵的
[00:00:44.980 --> 00:00:50.380]  工作是非常重要的,如果你在工作的時候是開心
[00:00:50.380 --> 00:00:54.380]  你影響你整個生活,又影響你周圍的人
[00:00:54.380 --> 00:00:57.980]  家人也好,朋友也好,是更加快樂,更加開心
[00:00:57.980 --> 00:01:05.980]  但如果你的工作的經歷不好,就相對有負面的影響
[00:01:05.980 --> 00:01:09.480]  我嘗試將一個星期的時間
[00:01:09.480 --> 00:01:12.780]  你看看你會不會大概都同意這樣分配時間
[00:01:12.780 --> 00:01:16.780]  如果你五天工作大概五十小時,交通就十個小時,因為五天
[00:01:16.780 --> 00:01:21.580]  所以大概用六十五小時,你正式直接回到工作的事上
[00:01:21.580 --> 00:01:26.780]  大概六十五小時,大概四成,一個星期有一百六十八個小時
[00:01:26.780 --> 00:01:29.980]  你是男是女,是老是幼,是好人是不好人
[00:01:29.980 --> 00:01:32.780]  是長頭髮短頭髮,你都只有一百六十八個小時
[00:01:32.780 --> 00:01:35.580]  你浪費他不浪費他,你都是一百六十八個
[00:01:35.580 --> 00:01:38.780]  大概用了四成的時間
[00:01:38.780 --> 00:01:41.580]  一周睡覺大概五十六小時
[00:01:41.580 --> 00:01:45.180]  因為你吃了午餐,所以你不用計算這個時候
[00:01:45.180 --> 00:01:48.180]  晚餐大概十個小時,這個是七天
[00:01:48.180 --> 00:01:51.180]  大概又是佔你的四成的時間
[00:01:51.180 --> 00:01:55.980]  然後還有個人的時間,閱讀,梳洗,打機
[00:01:55.980 --> 00:01:59.180]  或者你打機,將他放在工作時間,我不知道了
[00:01:59.180 --> 00:02:02.180]  不要查,不要認,不要舉手
[00:02:02.180 --> 00:02:06.180]  家庭朋友和其他時間大概佔你兩成
[00:02:06.180 --> 00:02:10.180]  如果你有工作的環境,特別是人事
[00:02:10.180 --> 00:02:17.180]  被踐踏,被人罵,先用言語,然後用姿態排斥你
[00:02:17.180 --> 00:02:23.180]  或者甚至做些事去陷害你,你又很不開心,又不知道怎麼處理
[00:02:23.180 --> 00:02:28.180]  影響你四成的人生,非常重要
[00:02:28.180 --> 00:02:30.180]  四成即是我豪給他
[00:02:30.180 --> 00:02:34.180]  不是,四成之後你睡覺又睡不著
[00:02:34.180 --> 00:02:39.180]  又去追劇,追劇第二天又不開心,追完劇又開心又健康
[00:02:39.180 --> 00:02:42.180]  你都說考慮追多些劇,打多些機
[00:02:42.180 --> 00:02:45.180]  不是,影響你睡覺
[00:02:45.180 --> 00:02:48.180]  吃又不好,身體又不好
[00:02:48.180 --> 00:02:51.180]  影響你和家人的關係,影響你和朋友的關係
[00:02:51.180 --> 00:02:55.180]  所以差不多,如果我們今天說在一個城市生活有工作
[00:02:55.180 --> 00:02:59.180]  如果工作不愉快,不理想,這個一定要處理
[00:02:59.180 --> 00:03:03.180]  所以我很希望你要面對這件事
[00:03:03.180 --> 00:03:09.180]  我希望你在這個短短的時間,成為你一點點的鼓勵
[00:03:09.180 --> 00:03:16.180]  非常重要,我們要去面對的時候,我聽見一個年青人
[00:03:16.180 --> 00:03:22.180]  他一直在工作,他的上司就出埠去其他地方工作
[00:03:22.180 --> 00:03:28.180]  上司的上司在其他部門,即是那個大上司就管幾個部門
[00:03:28.180 --> 00:03:33.180]  就進了他的上司的辦公室,找很多很多東西
[00:03:33.180 --> 00:03:37.180]  然後就叫那個年青人下來,喂!那份東西在哪裡?
[00:03:37.180 --> 00:03:41.180]  即是陰謀之甚麼?當然不是這樣說
[00:03:41.180 --> 00:03:46.180]  然後就罵他,為甚麼你的上司的東西亂放在桌上?
[00:03:46.180 --> 00:03:51.180]  然後還有些機密文件放上去,為甚麼不收拾好它?
[00:03:51.180 --> 00:03:59.180]  我好像很有語氣,其實內容充滿問候母親、娘親的說話
[00:03:59.180 --> 00:04:01.180]  我為甚麼要管我的上司?
[00:04:01.180 --> 00:04:05.180]  我怎麼可以進去我上司的辦公室
[00:04:05.180 --> 00:04:10.180]  告訴他他管理得不好,文件不好,所以我幫他處理
[00:04:10.180 --> 00:04:13.180]  然後就知道他的東西放在哪裡
[00:04:13.180 --> 00:04:19.180]  然後那個年青人就馬上打電郵給他的上司
[00:04:19.180 --> 00:04:22.180]  說再一個大上司的問題
[00:04:22.180 --> 00:04:27.180]  然後就馬上寫電郵給人事部
[00:04:27.180 --> 00:04:35.180]  說這個大上司所說的所做的完全不合乎公司的規矩
[00:04:35.180 --> 00:04:37.180]  全部投訴他
[00:04:37.180 --> 00:04:40.180]  他這一次是很幸運的
[00:04:40.180 --> 00:04:42.180]  是跟著第二天就要開會了
[00:04:42.180 --> 00:04:44.180]  第二天人事部馬上召開會議
[00:04:44.180 --> 00:04:48.180]  大上司要向下屬的下屬道歉這件事
[00:04:48.180 --> 00:04:53.180]  不是每次都有這麼幸運的事
[00:04:53.180 --> 00:04:58.180]  但我可以說這個年青人懂得保護他自己
[00:04:58.180 --> 00:05:02.180]  我有界限,你不要踩過來
[00:05:02.180 --> 00:05:04.180]  我的界限是去到這裡
[00:05:04.180 --> 00:05:07.180]  我的工作,我和你的工作關係是去到這裡
[00:05:07.180 --> 00:05:11.180]  如果你錢踏進來的話,我全部和你去處理
[00:05:11.180 --> 00:05:13.180]  這個是我的範圍
[00:05:13.180 --> 00:05:19.180]  所以我說每一個人要知道自己就是你自己
[00:05:19.180 --> 00:05:24.180]  最後保護的最大的責任是你自己去作主
[00:05:24.180 --> 00:05:26.180]  人的能力不是很大的
[00:05:26.180 --> 00:05:28.180]  你改不了環境
[00:05:28.180 --> 00:05:30.180]  你又改變不了別人說的話
[00:05:30.180 --> 00:05:32.180]  就算改變別人說的話,打他一頓
[00:05:32.180 --> 00:05:35.180]  他也是口裡跟你說你要聽他的話
[00:05:35.180 --> 00:05:37.180]  心裡也不服你
[00:05:37.180 --> 00:05:39.180]  今天如果有一個十二歲的小朋友
[00:05:39.180 --> 00:05:41.180]  他不聽你的話就不聽你的話
[00:05:41.180 --> 00:05:43.180]  你做父母的就知道
[00:05:43.180 --> 00:05:45.180]  所以今天我們的範圍
[00:05:45.180 --> 00:05:47.180]  不可以管理環境,不可以管理事
[00:05:47.180 --> 00:05:49.180]  不可以管理交通,不可以管理天理
[00:05:49.180 --> 00:05:51.180]  不可以管理人
[00:05:51.180 --> 00:05:54.180]  不可以管理上司,下屬你也管不了
[00:05:54.180 --> 00:05:57.180]  他造反就造反,他藐你就藐你
[00:05:57.180 --> 00:06:00.180]  但是有一樣東西是你自己的責任
[00:06:00.180 --> 00:06:02.180]  所以這個不是宗教的問題
[00:06:02.180 --> 00:06:06.180]  各位,如果你連自己都不去尊敬自己
[00:06:06.180 --> 00:06:09.180]  覺得自己有價值,我就是我的話
[00:06:09.180 --> 00:06:12.180]  你去到哪裡都會被人踐踏
[00:06:12.180 --> 00:06:14.180]  而被人踐踏的責任
[00:06:14.180 --> 00:06:16.180]  不要賴環境,不要賴人
[00:06:16.180 --> 00:06:20.180]  應該自己去檢討一下自己
[00:06:20.180 --> 00:06:24.180]  我有沒有好好地知道我有價值
[00:06:24.180 --> 00:06:27.180]  雖然有人告訴我我沒有價值
[00:06:27.180 --> 00:06:29.180]  踩得過來
[00:06:29.180 --> 00:06:31.180]  但是我的責任
[00:06:31.180 --> 00:06:32.180]  站得穩
[00:06:32.180 --> 00:06:34.180]  有很多的坊間
[00:06:34.180 --> 00:06:37.180]  教導我們在這個商業環境裡面站得穩
[00:06:37.180 --> 00:06:39.180]  我又不是那些專家
[00:06:39.180 --> 00:06:40.180]  今天也不是說這些
[00:06:40.180 --> 00:06:42.180]  但是說其中一樣的東西
[00:06:42.180 --> 00:06:46.180]  我可以說從宗教的祈禱
[00:06:46.180 --> 00:06:47.180]  但是第一樣東西
[00:06:47.180 --> 00:06:49.180]  一定要你自己說
[00:06:49.180 --> 00:06:51.180]  是,我要自己立志
