
[00:00:00.680 --> 00:00:03.760]  有一次,有個爸爸,他忽然間
[00:00:03.760 --> 00:00:07.380]  告我門鈴不斷響,送外賣來
[00:00:07.380 --> 00:00:10.540]  為什麼呢?我沒有叫過,為什麼外賣
[00:00:10.540 --> 00:00:13.200]  一個薄餅,兩個薄餅,這樣送來呢?
[00:00:13.200 --> 00:00:17.180]  他才發覺有點不對勁,就走進房裡看看
[00:00:17.180 --> 00:00:20.800]  原來在他床上,六歲的兒子
[00:00:20.800 --> 00:00:22.640]  在玩他的手機
[00:00:22.640 --> 00:00:27.480]  現在我們知道,手機在手
[00:00:27.480 --> 00:00:30.500]  就像天下無敵那樣,叫什麼都有
[00:00:30.500 --> 00:00:33.480]  原來這個兒子看到爸爸
[00:00:33.480 --> 00:00:36.240]  平時怎樣點外賣呢?
[00:00:36.240 --> 00:00:38.960]  照樣煮一碗,按著按著按著
[00:00:38.960 --> 00:00:41.500]  又按著按著,一樣按著按著,兩樣按著按著
[00:00:41.500 --> 00:00:45.320]  結果總共點了四百五十九元
[00:00:45.320 --> 00:00:47.160]  的薄餅
[00:00:47.160 --> 00:00:50.800]  一千元其他食物
[00:00:55.380 --> 00:00:58.640]  爸爸問他,你做什麼?為什麼這裏有這麼多東西?
[00:00:58.640 --> 00:01:01.760]  他說,我看到那些東西,我又肚子餓
[00:01:01.760 --> 00:01:04.760]  我看到這個又想吃,那個又想吃,所以又這樣又那樣
[00:01:04.760 --> 00:01:07.680]  不斷地按了很多次
[00:01:07.680 --> 00:01:10.300]  這些叫做眼闊什麼?
[00:01:10.300 --> 00:01:13.440]  你們有沒有試過眼闊兔崽?
[00:01:13.440 --> 00:01:21.960]  《聖經》裏面說
[00:01:22.520 --> 00:01:25.460]  眼睦的情慾,看到那些東西
[00:01:25.460 --> 00:01:28.320]  現在真的很多了,因為那些東西都送上來了
[00:01:28.320 --> 00:01:31.320]  經常都有很多宣傳
[00:01:31.320 --> 00:01:34.420]  真的,你搜尋過一些東西之後
[00:01:34.420 --> 00:01:37.240]  它就不斷地來找你
[00:01:37.240 --> 00:01:40.420]  我遲些要出門了
[00:01:40.420 --> 00:01:43.080]  所以搜尋一下,租車這樣,我發覺在差不多
[00:01:43.080 --> 00:01:45.980]  這四個星期裏面
[00:01:45.980 --> 00:01:47.900]  我讀的《寧命日量》
[00:01:47.900 --> 00:01:51.800]  那個經文都走出來
[00:01:51.800 --> 00:01:52.940]  不斷地叫我租車
[00:01:52.940 --> 00:01:58.220]  所以我真的
[00:01:58.220 --> 00:02:02.400]  發覺現在眼睦的情慾
[00:02:02.400 --> 00:02:05.440]  不斷地在滋擾我們
[00:02:05.440 --> 00:02:08.240]  肉體的情慾也是
[00:02:08.240 --> 00:02:11.520]  很多很多的東西
[00:02:11.520 --> 00:02:14.560]  令我們在美國生活得很舒適
[00:02:14.560 --> 00:02:17.400]  真的很多東西都很豐富
[00:02:17.400 --> 00:02:20.220]  但是我們有時候真的太安全了
[00:02:20.220 --> 00:02:21.220]  太安全了
[00:02:21.800 --> 00:02:24.360]  所以很多肉體的情慾
[00:02:24.360 --> 00:02:27.340]  讓我們很容易會陷進去
[00:02:27.340 --> 00:02:30.100]  連洗蚊仔也是,你不要取笑他
[00:02:30.100 --> 00:02:33.000]  現在給你說不用錢
[00:02:33.000 --> 00:02:35.800]  任你按,我想我們也可能
[00:02:35.800 --> 00:02:38.680]  越按越多越按越多,會不會?我相信都會
[00:02:38.680 --> 00:02:41.680]  雖然我們大人有理智地知道後果
[00:02:41.680 --> 00:02:42.680]  但是
[00:02:42.680 --> 00:02:45.320]  有時候會蒙蔽了很多東西
[00:02:45.320 --> 00:02:49.260]  所以我們發覺,不知道大家同不同意
[00:02:49.260 --> 00:02:51.740]  我們每天都在面對很多試探
[00:02:51.740 --> 00:02:54.680]  有很多試探,很多引誘
[00:02:54.680 --> 00:02:57.700]  有些是從外面而來的,有些是從我們內心而來的
[00:02:57.700 --> 00:03:00.440]  內心有很多的慾念
[00:03:00.440 --> 00:03:03.460]  很多的試探
[00:03:03.460 --> 00:03:06.100]  很多的
