
[00:00:00.000 --> 00:00:02.480]  多謝 頂姐妹
[00:00:02.480 --> 00:00:04.480]  我們新一年的開始
[00:00:04.480 --> 00:00:06.840]  我們的堂主任江惠民牧師
[00:00:06.840 --> 00:00:10.240]  為我們安排了一個系列
[00:00:10.240 --> 00:00:11.600]  講道系列
[00:00:11.600 --> 00:00:14.760]  是講到耶穌基督的比喻
[00:00:14.760 --> 00:00:17.200]  今天我會講其中一個比喻
[00:00:17.200 --> 00:00:20.040]  比喻是一些短的故事
[00:00:20.040 --> 00:00:21.880]  耶穌很喜歡講故事的
[00:00:21.880 --> 00:00:24.880]  他用這些短的故事來解釋真理
[00:00:24.880 --> 00:00:27.720]  每一個比喻都很有意思
[00:00:27.720 --> 00:00:30.720]  但唯獨有一個我覺得比較特別的
[00:00:30.720 --> 00:00:34.880]  甚至是相當古怪的就是這個
[00:00:34.880 --> 00:00:36.680]  我們看看這個比喻
[00:00:36.680 --> 00:00:41.080]  記載在《馬太福音》二十章一到十六節
[00:00:41.080 --> 00:00:45.320]  其實當你仔細思想這個比喻
[00:00:45.320 --> 00:00:49.400]  你會發現是一個非常美麗榮耀的故事
[00:00:49.400 --> 00:00:50.920]  耶穌透過這個故事
[00:00:50.920 --> 00:00:55.280]  讓我們清楚知道上帝的心腸肺腑
[00:00:55.280 --> 00:00:59.920]  也幫助我們更深的了解上帝的恩惠和維新基督
[00:00:59.920 --> 00:01:02.720]  所以今天這是一個豐富的屬靈的筵席
[00:01:02.720 --> 00:01:05.120]  我希望跟大家一起分享
[00:01:05.120 --> 00:01:10.800]  驟眼看來葡萄園的園主做事有些古怪
[00:01:10.800 --> 00:01:16.280]  他好像完全不懂得工商管理法
[00:01:16.280 --> 00:01:20.480]  他違反了最基本的幾條工商管理的原則
[00:01:20.480 --> 00:01:22.480]  我們看看他違反了什麼原則
[00:01:22.480 --> 00:01:27.080]  第一 他不按照「論工行賞」的原則做事
[00:01:27.080 --> 00:01:28.360]  Merit System
[00:01:28.360 --> 00:01:33.320]  這個是我們資本主義行之有效的
[00:01:33.320 --> 00:01:37.200]  多做多賺 少做少賺
[00:01:37.200 --> 00:01:41.120]  你做又36 不做又36
[00:01:41.120 --> 00:01:44.240]  這個就不對了 工人也有爭吵
[00:01:44.240 --> 00:01:46.640]  園主好像不太懂這條例
[00:01:46.640 --> 00:01:50.560]  還有第二條 他又不按照市場供求定律
[00:01:50.560 --> 00:01:52.960]  The Law of Supply and Demand
[00:01:52.960 --> 00:01:56.760]  如果工人多 工作少 本來可以減薪的
[00:01:56.760 --> 00:01:59.680]  工作少 工人多 就可以加薪
[00:01:59.680 --> 00:02:02.000]  現在那裡顯明工人多
[00:02:02.000 --> 00:02:04.120]  為什麼園主不可以減一點
[00:02:04.120 --> 00:02:07.200]  還要給他們一個錢幣呢
[00:02:07.200 --> 00:02:12.000]  第三 園主錄取多事 費時失事
[00:02:12.000 --> 00:02:14.840]  他總共在那天錄了多少次
[00:02:14.840 --> 00:02:18.200]  錄取了早上 清早6點
[00:02:18.200 --> 00:02:22.160]  他們開工6點 你不要埋怨香港工作時間長
[00:02:22.160 --> 00:02:24.560]  6點鐘 9點鐘是第二次
[00:02:24.560 --> 00:02:28.280]  12點鐘是第三次 3點鐘是第四次
[00:02:28.280 --> 00:02:33.120]  5點鐘是第五次 有沒有搞錯 一天錄五次
[00:02:33.120 --> 00:02:35.400]  他好像完全沒有計劃
[00:02:35.400 --> 00:02:39.920]  你知道我們做大公司的人知道有計劃
[00:02:39.920 --> 00:02:43.120]  一年計劃 五年計劃 十年計劃
[00:02:43.120 --> 00:02:46.000]  但是他一天計劃都沒有
[00:02:46.000 --> 00:02:50.240]  還有他先後不分 有什麼理由
[00:02:50.240 --> 00:02:53.560]  黃昏5點鐘上工 做了一個小時
[00:02:53.560 --> 00:02:55.440]  首先排隊第一個拿錢
[00:02:55.440 --> 00:02:58.160]  早上6點鐘來的那個 最後一個
[00:02:58.160 --> 00:03:00.320]  這個園主究竟是怎樣的呢
[00:03:00.320 --> 00:03:04.040]  似乎他應該回去讀MBA
[00:03:04.040 --> 00:03:06.520]  但這個園主是誰呢 是上帝
[00:03:06.520 --> 00:03:08.760]  上帝沒什麼理由讀MBA
[00:03:08.760 --> 00:03:11.160]  究竟耶穌講這個故事
[00:03:11.160 --> 00:03:15.320]  是今天要向你和向我講什麼呢
[00:03:15.320 --> 00:03:18.520]  我們傳道人預備講道其實很辛苦的
[00:03:18.520 --> 00:03:21.400]  我們首先第一就要去識經
[00:03:21.400 --> 00:03:23.520]  識完經就預備講道
[00:03:23.520 --> 00:03:25.880]  所以隨時用幾天的時間
[00:03:25.880 --> 00:03:28.080]  你不要見到柯牧師我
[00:03:28.080 --> 00:03:30.560]  尤其是柯牧師雍容華貴
[00:03:30.560 --> 00:03:34.240]  舒舒服服 其實他背後做了很多很辛苦的事
[00:03:34.240 --> 00:03:38.560]  我經過識經講道這個程序
[00:03:38.560 --> 00:03:44.760]  就發現其實是有很好的意思
[00:03:44.760 --> 00:03:48.360]  首先我們看看當時的背景是怎樣的呢
[00:03:48.360 --> 00:03:51.400]  在葡萄園外面的那些叫散工
[00:03:51.400 --> 00:03:54.520]  散工是當時社會最淒涼的
[00:03:54.520 --> 00:03:56.640]  如果你有固定工作會好一些
[00:03:56.640 --> 00:03:58.680]  散工有時連奴隸都不如
[00:03:58.680 --> 00:04:01.360]  奴隸有個好的主人家都不愁依食
[00:04:01.360 --> 00:04:05.320]  這些散工每天出去等人請
[00:04:05.320 --> 00:04:09.600]  通常當時的工資是一個羅馬銀幣
[00:04:09.600 --> 00:04:13.360]  這個羅馬銀幣大約夠一家四口的生活開支
[00:04:13.360 --> 00:04:16.360]  沒什麼錢賺 沒什麼錢存
[00:04:16.360 --> 00:04:20.480]  如果遇著颳風下雨 或者頭暈身痛
[00:04:20.480 --> 00:04:23.360]  就沒有工開 沒工開就沒錢了
[00:04:23.360 --> 00:04:27.720]  工作時間又長 早上六點到晚上六點
[00:04:27.720 --> 00:04:30.000]  我想大家閉上眼做個想像
[00:04:30.000 --> 00:04:33.200]  你不要閉太久 閉太久不知醒就亂盡了
[00:04:33.200 --> 00:04:35.440]  你閉上眼做個想像 你就是那個工人
[00:04:35.440 --> 00:04:37.840]  你的工人早上五點多起床
[00:04:37.840 --> 00:04:43.360]  披了一件衣服 唯一那件外衣就出去上班了
[00:04:43.360 --> 00:04:45.320]  去找工作了 等人來請
[00:04:45.320 --> 00:04:49.200]  太太和兩個子女等爸爸回來
[00:04:49.200 --> 00:04:50.920]  帶著期待的眼光
[00:04:50.920 --> 00:04:53.680]  希望爸爸帶著一個銀幣回來
[00:04:53.680 --> 00:04:55.880]  這樣就有飯吃
[00:04:55.880 --> 00:04:59.600]  你去到那裏 平時在街口等的那個地方
[00:04:59.600 --> 00:05:01.080]  很多人都在等
[00:05:01.080 --> 00:05:06.800]  六點鐘 旁邊那個葡萄園的大門打開了
[00:05:06.800 --> 00:05:08.680]  園主就出來了
[00:05:08.680 --> 00:05:10.920]  出來就找人請人 點一個點
[00:05:10.920 --> 00:05:12.320]  通常是點一些大隻的
[00:05:12.320 --> 00:05:15.720]  你和我就收拾一點 不要請動
[00:05:15.720 --> 00:05:18.520]  你沒辦法 這些都試過了
[00:05:18.520 --> 00:05:21.360]  繼續等 六點鐘等到七點
[00:05:21.360 --> 00:05:25.160]  七點等到八點 八點等到九點
[00:05:25.160 --> 00:05:28.600]  心裏面就會有一點點不舒服
[00:05:28.600 --> 00:05:31.400]  咦 沒有人請 沒有僱主出來
[00:05:31.400 --> 00:05:33.760]  但是這個葡萄園的大門又再打開了
[00:05:33.760 --> 00:05:36.160]  園主出來又點幾個
[00:05:36.160 --> 00:05:37.880]  都沒有點到你
[00:05:37.880 --> 00:05:39.920]  你沒辦法 繼續等
