
[00:00:00.000 --> 00:00:01.000]  頂自滿安
[00:00:01.000 --> 00:00:04.500]  在幾個星期之前
[00:00:04.500 --> 00:00:07.500]  鄭姑娘在家事分享的時候
[00:00:07.500 --> 00:00:09.500]  就跟我們分享
[00:00:09.500 --> 00:00:12.500]  介紹家庭服務中心
[00:00:12.500 --> 00:00:16.000]  今年即將到來的暑期活動
[00:00:16.000 --> 00:00:19.500]  叫大家拿一本小書回家
[00:00:19.500 --> 00:00:20.500]  看看吧
[00:00:20.500 --> 00:00:24.000]  又或者送給一些合適的家庭
[00:00:24.000 --> 00:00:27.500]  鼓勵他們家裡的小朋友或者少年人參與
[00:00:27.500 --> 00:00:29.500]  如果你有仔細看
[00:00:29.500 --> 00:00:32.000]  內容真的很豐富
[00:00:32.000 --> 00:00:35.000]  在當中
[00:00:35.000 --> 00:00:37.500]  我不知道有沒有留意到
[00:00:37.500 --> 00:00:40.500]  其實有一個活動
[00:00:40.500 --> 00:00:43.500]  叫做輕鬆學泰拳
[00:00:43.500 --> 00:00:46.500]  我不知道大家有沒有人玩過泰拳
[00:00:46.500 --> 00:00:49.000]  或者是拳擊運動
[00:00:49.000 --> 00:00:54.000]  其實跟所有的運動大部份都是
[00:00:54.000 --> 00:00:58.000]  都很需要一些裝備
[00:00:58.000 --> 00:01:02.000]  我相信打拳是這樣的
[00:01:02.000 --> 00:01:04.000]  劍擊是這樣的
[00:01:04.000 --> 00:01:06.000]  甚至跑步行山
[00:01:06.000 --> 00:01:08.000]  基本上你都應該有一雙
[00:01:08.000 --> 00:01:10.000]  比較整齊一點的鞋
[00:01:10.000 --> 00:01:12.000]  對不對?
[00:01:12.000 --> 00:01:13.000]  所以呢
[00:01:13.000 --> 00:01:16.000]  當我今天要跟大家分享
[00:01:16.000 --> 00:01:20.000]  這本小書六章第十至二十節的時候
[00:01:20.000 --> 00:01:25.000]  令我想起運動都需要裝備的原因
[00:01:25.000 --> 00:01:28.000]  因為我今天跟大家分享這段經文
[00:01:28.000 --> 00:01:32.000]  裡面可能大家聽過有一個段落
[00:01:32.000 --> 00:01:34.000]  十四至十七節
[00:01:34.000 --> 00:01:36.000]  講道屬靈的軍裝
[00:01:36.000 --> 00:01:38.000]  可能在不同的場景
[00:01:38.000 --> 00:01:40.000]  大家都聽過這段經文
[00:01:40.000 --> 00:01:45.000]  但在未講到這段經文之前
[00:01:45.000 --> 00:01:48.000]  保羅首先要我們弄清楚
[00:01:48.000 --> 00:01:51.500]  究竟我們在打什麼一場仗
[00:01:51.500 --> 00:01:55.000]  以及告訴我們為什麼要穿上
[00:01:55.000 --> 00:01:59.500]  這副全副軍裝的原因在哪裡
[00:01:59.500 --> 00:02:02.000]  開始的時候我想請大家
[00:02:02.000 --> 00:02:04.000]  先跟我一起讀出
[00:02:04.000 --> 00:02:08.000]  第十至十三節這段經文
[00:02:08.000 --> 00:02:09.500]  好 預備起
