
[00:00:00.000 --> 00:00:03.280]  美國一個很出名的金融家
[00:00:03.280 --> 00:00:09.540]  他擁有BP Capital Management
[00:00:09.540 --> 00:00:17.500]  這個人從小就想着怎樣賺錢
[00:00:17.500 --> 00:00:20.640]  所以他在事業上是相當成功的
[00:00:20.640 --> 00:00:24.520]  他最出名是專門收購別人的公司
[00:00:24.520 --> 00:00:28.240]  特別是在80年代收購了石油公司
[00:00:28.240 --> 00:00:30.360]  不同的公司
[00:00:30.360 --> 00:00:35.540]  所以他以一個Corporate Raider出名
[00:00:35.540 --> 00:00:43.720]  到2016年 應該是兩三年前
[00:00:43.720 --> 00:00:49.080]  他的淨值資產已經超過500億美元
[00:00:49.080 --> 00:00:50.440]  現在更加不用說了
[00:00:50.440 --> 00:00:52.940]  不過沒有時間去找出現在值多少錢
[00:00:52.940 --> 00:00:57.480]  他的淨值資產幾年前已經是500億美元
[00:00:57.480 --> 00:01:02.240]  所以他是一個相當成功的商人 金融家
[00:01:02.240 --> 00:01:04.960]  也是一個慈善家 捐了很多錢
[00:01:04.960 --> 00:01:12.040]  在Oklahoma State大學裏捐了百萬計的錢
[00:01:12.040 --> 00:01:14.440]  去建立這個學校
[00:01:14.440 --> 00:01:18.560]  但是在二十多年前
[00:01:18.560 --> 00:01:22.000]  那時候他已經68歲 現在差不多90歲
[00:01:22.000 --> 00:01:27.240]  他被診斷出有嚴重的抑鬱病
[00:01:27.240 --> 00:01:30.140]  他曾經讀過
[00:01:30.140 --> 00:01:34.720]  有四個引致抑鬱病的基本原因
[00:01:34.720 --> 00:01:37.280]  第一個是失去工作
[00:01:37.280 --> 00:01:42.400]  第二個不是離家出走 而是離家自立
[00:01:42.400 --> 00:01:44.100]  一直在家裏長大
[00:01:44.100 --> 00:01:46.760]  Living Home, Living by Yourself
[00:01:46.760 --> 00:01:49.880]  第三個是離婚
[00:01:49.880 --> 00:01:52.000]  第四個引致抑鬱病的原因是
[00:01:52.000 --> 00:01:54.640]  當你家裏有一個至親的親人
[00:01:54.640 --> 00:01:57.840]  或者是一個很要好的朋友去世
[00:01:57.840 --> 00:02:00.600]  這四樣東西都很容易會導致一個人
[00:02:00.600 --> 00:02:03.960]  步入那個嚴重的抑鬱裏面
[00:02:03.960 --> 00:02:05.440]  他曾經讀過
[00:02:05.440 --> 00:02:08.320]  但是1996年 二十多年前
[00:02:08.320 --> 00:02:12.920]  他說I have 4 for 4 四樣東西都有齊
[00:02:12.920 --> 00:02:14.720]  他說我從來
[00:02:14.720 --> 00:02:17.120]  在我整個人生當中
[00:02:17.120 --> 00:02:19.880]  Beginning of my 14 開始賺錢
[00:02:19.880 --> 00:02:21.600]  我從來沒有輸過
[00:02:21.600 --> 00:02:26.760]  But it comes to a time when I was in a hard hit
[00:02:26.760 --> 00:02:30.320]  所有的東西變成了一個他從來沒有想過的
[00:02:30.320 --> 00:02:33.040]  一個很嚴重的打擊
[00:02:33.040 --> 00:02:37.400]  步入抑鬱的情況底下
[00:02:37.400 --> 00:02:39.000]  爲什麼我會說這些呢
[00:02:39.000 --> 00:02:40.960]  因爲事實上 我相信
[00:02:40.960 --> 00:02:45.360]  我們很多人都可能有類似的經驗
[00:02:45.360 --> 00:02:48.240]  有沒有以前曾經有這樣的經驗
[00:02:48.240 --> 00:02:53.040]  Trigger到你覺得很depressed 甚至是抑鬱
[00:02:53.040 --> 00:02:55.200]  或者可能在我在座當中有些人
[00:02:55.200 --> 00:02:58.560]  剛剛你就hit了其中一個button
[00:02:58.560 --> 00:03:01.760]  你已經是going through 這個crisis
[00:03:01.760 --> 00:03:05.720]  甚至是步入抑鬱的邊緣裏面
[00:03:05.720 --> 00:03:08.720]  你覺得忽然之間一切各樣東西
[00:03:08.720 --> 00:03:11.800]  我人生裏面本來都是順順利利的
