
[00:00:00.000 --> 00:00:02.960]  早上好 願你們平安
[00:00:02.960 --> 00:00:04.640]  大家早晨 願你們平安
[00:00:04.640 --> 00:00:06.120]  今天是個好日子
[00:00:06.120 --> 00:00:07.280]  今天是好日子
[00:00:07.280 --> 00:00:08.480]  是母親節
[00:00:08.480 --> 00:00:10.040]  是母親節
[00:00:10.040 --> 00:00:12.000]  是母親節呀
[00:00:12.000 --> 00:00:13.240]  母親節呢
[00:00:13.240 --> 00:00:17.520]  它不是基督教的節
[00:00:17.520 --> 00:00:20.360]  不是基督教的節日
[00:00:20.360 --> 00:00:22.080]  我跟一個朋友說
[00:00:22.080 --> 00:00:24.080]  我在北京的時候跟一個朋友說
[00:00:24.080 --> 00:00:25.920]  我在北京的時候跟一個朋友說
[00:00:25.920 --> 00:00:27.880]  我說我回到澳洲
[00:00:27.880 --> 00:00:30.080]  我講到第一場是母親節
[00:00:30.080 --> 00:00:31.920]  我說我回到澳洲
[00:00:31.920 --> 00:00:34.160]  第一場的講道就是母親節
[00:00:34.160 --> 00:00:35.000]  然後他就說
[00:00:35.000 --> 00:00:37.360]  你是要講聖經裡的母親嗎
[00:00:37.360 --> 00:00:38.440]  那他就說
[00:00:38.440 --> 00:00:41.000]  你要講聖經裡面的母親嗎
[00:00:41.000 --> 00:00:43.080]  我說不 我就是講上帝
[00:00:43.080 --> 00:00:45.960]  我說不是 我只是講上帝
[00:00:45.960 --> 00:00:47.040]  然後他就說
[00:00:47.040 --> 00:00:50.240]  你們不是管上帝叫天父嗎
[00:00:50.240 --> 00:00:51.080]  那他就說
[00:00:51.080 --> 00:00:55.680]  你們不是叫上帝是天父嗎
[00:00:55.680 --> 00:00:57.840]  這跟母親不沾邊
[00:00:57.840 --> 00:01:00.560]  這跟母親好像沒什麼關聯
[00:01:00.560 --> 00:01:02.160]  我說不是這樣
[00:01:02.160 --> 00:01:04.520]  我就說不是這樣的
[00:01:04.520 --> 00:01:06.360]  我給大家簡單解釋一下
[00:01:06.360 --> 00:01:07.680]  正確這個機會
[00:01:07.680 --> 00:01:10.920]  我就借這個機會和大家解釋一下
[00:01:10.920 --> 00:01:13.680]  大家看上帝造人對吧
[00:01:13.680 --> 00:01:15.880]  大家都知道上帝造人
[00:01:15.880 --> 00:01:18.680]  所以人的性情其實是神給的
[00:01:18.680 --> 00:01:20.960]  人的性情是神所賜的
[00:01:20.960 --> 00:01:23.480]  而且是反映祂的性情的
[00:01:23.480 --> 00:01:25.240]  而且是反映祂的性情
