
[00:00:00.000 --> 00:00:01.140]  大姐姊妹 平安
[00:00:01.140 --> 00:00:06.440]  說到之前 也想借這個時間
[00:00:06.440 --> 00:00:08.360]  說說香港發生的事
[00:00:08.360 --> 00:00:12.660]  相信大家都知道 剛剛在星期三的時候
[00:00:12.660 --> 00:00:16.960]  大埔雲福縣也發生了一場嚴重的火災
[00:00:16.960 --> 00:00:19.480]  截至昨天為止
[00:00:19.480 --> 00:00:22.420]  一共有128人罹難
[00:00:22.420 --> 00:00:24.780]  超過70人受傷
[00:00:24.780 --> 00:00:28.080]  另外也有200人失蹤
[00:00:29.180 --> 00:00:32.800]  這件事我們也見證著一群居民
[00:00:32.800 --> 00:00:35.120]  痛失了他們的家園
[00:00:35.120 --> 00:00:38.740]  他們的寵物 甚至他們的家人
[00:00:38.740 --> 00:00:43.060]  我們也看到有一些教會 社福機構
[00:00:43.060 --> 00:00:47.760]  和市民主動去支援一群災民
[00:00:47.760 --> 00:00:52.040]  同時我們也看到 因為人的自私自利
[00:00:52.040 --> 00:00:55.080]  導致了這場淫禍的發生
[00:00:55.080 --> 00:00:58.640]  雖然今天的經文和講道
[00:00:59.640 --> 00:01:02.280]  未能夠直接回應這件事
[00:01:02.280 --> 00:01:05.640]  但願我們繼續帶著禱告的心
[00:01:05.640 --> 00:01:08.760]  紀念一群受苦的人
[00:01:08.760 --> 00:01:14.920]  也紀念身邊有一些受這件事影響的人
[00:01:14.920 --> 00:01:18.060]  願我們也能夠有智慧去和他們同行
[00:01:18.060 --> 00:01:24.820]  我們這一刻也是低頭去禱告
[00:01:24.820 --> 00:01:27.560]  準備我們的心去領受上帝的說話
[00:01:29.540 --> 00:01:32.040]  所謂的主 感謝祢
[00:01:32.040 --> 00:01:36.040]  祢是那位有公義 有憐憫的神
[00:01:36.040 --> 00:01:41.780]  祢願意和受苦的人同在
[00:01:41.780 --> 00:01:47.240]  祢也會按照祢的公義 去審判一切罪惡
[00:01:47.240 --> 00:01:50.600]  神也求祢幫助我們 透過今天的經文
[00:01:50.600 --> 00:01:53.520]  能夠靜聽祢的說話
[00:01:53.520 --> 00:01:56.240]  聽到祢要對我們所宣講的道
[00:01:56.240 --> 00:01:58.660]  以致我們的生命得以悔改
[00:01:58.960 --> 00:02:01.900]  願祢的聖靈藉著今天的講道
[00:02:01.900 --> 00:02:05.680]  進入人的心裏 與我們同在
[00:02:05.680 --> 00:02:08.240]  並且使我們能夠悔改回轉
[00:02:08.240 --> 00:02:10.240]  繼續教導 奉主命求
[00:02:10.240 --> 00:02:12.240]  好嗎
[00:02:12.240 --> 00:02:14.240]  今天的講題是破局
[00:02:14.240 --> 00:02:19.240]  在開始之前 想先問大家一個問題
[00:02:19.240 --> 00:02:24.880]  你小時候 有沒有一件事是父母不讓你去碰的
[00:02:24.880 --> 00:02:27.440]  但你又很著迷的一件事
[00:02:28.200 --> 00:02:32.520]  在那個地步 你會狡盡老執 瞞著他們去做的呢
[00:02:32.520 --> 00:02:36.000]  我還記得差不多二十年前
[00:02:36.000 --> 00:02:38.360]  那時候我爸爸那部舊式手機
