
[00:00:00.000 --> 00:00:05.200]  很快,我們亞哥的系列又講到第五講
[00:00:05.200 --> 00:00:07.280]  我叫今天的題目做
[00:00:07.280 --> 00:00:11.640]  從聖經看婚姻的問題
[00:00:11.640 --> 00:00:16.360]  其實亞哥真是神給我們一部婚姻的手冊
[00:00:16.360 --> 00:00:19.520]  在第三講已經和大家講過
[00:00:19.520 --> 00:00:22.640]  舒拉蜜和所羅門王在結婚之前
[00:00:22.640 --> 00:00:24.840]  已經感情上有些問題
[00:00:24.840 --> 00:00:28.120]  有很多小狐狸要去處理
[00:00:28.120 --> 00:00:32.520]  今天是第五講,講到他們結婚之後
[00:00:32.520 --> 00:00:34.680]  又發生了一些問題
[00:00:34.680 --> 00:00:40.680]  他們第一次開始有些吵架有些爭拗的事
[00:00:40.680 --> 00:00:45.200]  我們上次講了所羅門王和舒拉蜜的結婚
[00:00:45.200 --> 00:00:46.760]  他們的洞房
[00:00:46.760 --> 00:00:49.040]  根據猶太人的習俗
[00:00:49.040 --> 00:00:52.080]  一對新人結婚之後第一個星期
[00:00:52.080 --> 00:00:57.080]  家人都會待一對新人好像皇帝皇后一樣
[00:00:57.080 --> 00:01:00.200]  一個星期這樣來對待他們
[00:01:00.200 --> 00:01:04.680]  現在的新婚夫婦喜歡做什麼?
[00:01:04.680 --> 00:01:09.160]  找一個旅遊勝地來度蜜月
[00:01:09.160 --> 00:01:12.160]  但蜜月始終都會完結
[00:01:12.160 --> 00:01:18.160]  始終都要回來面對生活上婚姻上的問題
[00:01:18.160 --> 00:01:19.880]  西人很喜歡說
[00:01:19.880 --> 00:01:22.680]  The honeymoon is over
[00:01:22.680 --> 00:01:25.240]  當蜜月期完結之後
[00:01:25.240 --> 00:01:28.200]  婚姻上就會出現很多問題
[00:01:28.200 --> 00:01:32.560]  所羅門王和舒拉蜜都不例外
[00:01:32.560 --> 00:01:34.880]  在今天的經文我們看到
[00:01:34.880 --> 00:01:38.160]  所羅門王夜晚來找舒拉蜜
[00:01:38.160 --> 00:01:40.640]  舒拉蜜已經上了床
[00:01:40.640 --> 00:01:42.280]  經文講得很清楚
