
[00:00:00.000 --> 00:00:04.760]  在前幾次的訊息我們透過哥倫多前書的經文
[00:00:04.760 --> 00:00:11.040]  來明白到我們作為一個屬神的人
[00:00:11.040 --> 00:00:13.720]  或者叫屬靈的人
[00:00:13.720 --> 00:00:16.280]  因為當我們接受了耶穌基督的時候
[00:00:16.280 --> 00:00:18.880]  我們就有聖靈住在我們的心中
[00:00:18.880 --> 00:00:21.800]  我們就成為屬聖靈的人
[00:00:21.800 --> 00:00:27.520]  神很希望我們繼續不要過一個屬肉體的生活
[00:00:27.520 --> 00:00:29.400]  要過一個屬靈的生活
[00:00:29.400 --> 00:00:35.120]  屬靈的生活包括我們需要在我們的價值觀上更新
[00:00:35.120 --> 00:00:40.680]  以至我們能夠像保羅所說心意更新而變化
[00:00:40.680 --> 00:00:43.520]  就是聖靈在我們心裡的工作
[00:00:43.520 --> 00:00:47.680]  前幾次我們說到關乎自我觀是很重要的
[00:00:47.680 --> 00:00:51.680]  因為對自己的認識在神面前的我們的身份
[00:00:51.680 --> 00:00:54.480]  就能夠影響我們人生各方面
[00:00:54.480 --> 00:00:59.880]  所以我們以正確的態度和謙卑的心
[00:00:59.880 --> 00:01:03.520]  也有一個知道神所揀選我們的
[00:01:03.520 --> 00:01:05.680]  給我們一個尊貴的身份
[00:01:05.680 --> 00:01:10.520]  以基督十字架為我們人生的力量和目標
[00:01:10.520 --> 00:01:12.160]  來過我們人生
[00:01:12.160 --> 00:01:15.720]  這也牽涉到我們屬靈的智慧
[00:01:15.720 --> 00:01:18.800]  我們明白世上的智慧一切都是有限的
[00:01:18.800 --> 00:01:21.920]  唯有我們能夠遵行主的道
[00:01:21.920 --> 00:01:26.160]  更加我們也看過在哥倫多前書第六章第七章
[00:01:26.160 --> 00:01:28.840]  第五章第六章第七章
[00:01:28.840 --> 00:01:31.960]  說到關乎基督徒的性道德觀念
[00:01:31.960 --> 00:01:34.960]  以至我們在這個世界裡能夠分別為性
[00:01:34.960 --> 00:01:37.280]  合神心意的人生
[00:01:37.280 --> 00:01:39.080]  牽涉到的就是婚姻觀
[00:01:39.080 --> 00:01:42.000]  所以我們在上一次剛剛完結的
[00:01:42.000 --> 00:01:44.480]  哥倫多前書第七章
[00:01:44.480 --> 00:01:47.760]  說到婚姻好幾方面的事
[00:01:47.760 --> 00:01:53.920]  包括有獨身、婚姻、再婚等等的問題
[00:01:53.920 --> 00:01:58.480]  當我們追求一個屬靈的人的時候
[00:01:58.480 --> 00:02:02.560]  原來我們不只是在教會裡做一個很屬靈
[00:02:02.560 --> 00:02:04.760]  "spiritual"的人
[00:02:04.760 --> 00:02:09.360]  我們乃是在我們的生活當中與性靈同行
[00:02:09.360 --> 00:02:12.280]  被性靈管理、被性靈更新
[00:02:12.280 --> 00:02:17.960]  以致我們將我們的信仰活在我們的生活當中
[00:02:17.960 --> 00:02:23.240]  所以說到關乎生活上與性靈同行的事
[00:02:23.240 --> 00:02:26.040]  我們應該也說一下工作
[00:02:26.040 --> 00:02:31.040]  所以今天我們看看屬靈的人應該有的工作觀
[00:02:31.040 --> 00:02:34.640]  我們回到哥倫多前書第二章十五節
[00:02:34.640 --> 00:02:36.800]  這裡再提醒我們一節的經文很重要
[00:02:36.800 --> 00:02:38.200]  我們再讀一讀好嗎
[00:02:38.200 --> 00:02:40.440]  臨前二章十五節請讀
[00:02:40.440 --> 00:02:44.520]  屬靈的人能看透萬事
[00:02:44.520 --> 00:02:48.240]  卻沒有一人能看透了他
