
[00:00:00.000 --> 00:00:05.920]  最近我接連收到兩位神樂院同學離開世界的消息
[00:00:05.920 --> 00:00:08.920]  他們兩位都是我的學兄
[00:00:08.920 --> 00:00:10.920]  早我兩年畢業
[00:00:10.920 --> 00:00:15.200]  其中一位在他入神樂院之前我們已經認識
[00:00:15.200 --> 00:00:17.000]  已經二十年了
[00:00:17.000 --> 00:00:19.200]  雖然不是太熟
[00:00:19.200 --> 00:00:23.800]  不過收到這個消息都有點震驚
[00:00:23.800 --> 00:00:26.000]  他不過是五十出頭
[00:00:26.000 --> 00:00:28.520]  幾個月前因為頭痛
[00:00:28.520 --> 00:00:33.200]  去檢查身體發現有鼻咽癌
[00:00:33.200 --> 00:00:37.000]  然後他做化療 電療
[00:00:37.000 --> 00:00:38.400]  完成了這些療程
[00:00:38.400 --> 00:00:41.600]  以為是踏上一個康復的路途
[00:00:41.600 --> 00:00:44.400]  誰知在十二月中的時候
[00:00:44.400 --> 00:00:48.200]  在睡夢中離開世界
[00:00:48.200 --> 00:00:52.000]  在一本悼念他的文集裏
[00:00:52.000 --> 00:00:55.200]  有一位朋友寫了一篇文章
[00:00:55.200 --> 00:01:01.200]  這篇文章是以前這位同學曾經寫來鼓勵他的
[00:01:01.200 --> 00:01:07.200]  這篇文章引自岳飛的詞
[00:01:07.200 --> 00:01:11.200]  滿江紅 三十功名塵與土
[00:01:11.200 --> 00:01:14.200]  八千里路雲和月
[00:01:14.200 --> 00:01:19.200]  莫等閒 百了少年頭 胸悲切
[00:01:19.200 --> 00:01:26.200]  其實這段說話是當時岳飛寫的時候大約三十歲左右
[00:01:26.200 --> 00:01:29.200]  正值壯年
[00:01:29.200 --> 00:01:32.200]  而他當時回顧自己
[00:01:32.200 --> 00:01:37.200]  他看到自己在功名上好像塵土一樣
[00:01:37.200 --> 00:01:39.200]  一無所成
[00:01:39.200 --> 00:01:42.200]  他多年來不分陰晴
[00:01:42.200 --> 00:01:44.200]  轉戰大江南北
[00:01:44.200 --> 00:01:49.200]  為的是正宗報國
[00:01:49.200 --> 00:01:51.200]  修復祖國的河山
[00:01:51.200 --> 00:01:53.200]  儘管在世人看上來
[00:01:53.200 --> 00:01:55.200]  他沒有甚麼成就可言
[00:01:55.200 --> 00:01:59.200]  但他仍然積極進取
[00:01:59.200 --> 00:02:02.200]  他為目標而奮鬥
[00:02:02.200 --> 00:02:06.200]  他不想落入一個笑葬不努力
[00:02:06.200 --> 00:02:09.200]  老大徒傷悲的遺憾裏
[00:02:09.200 --> 00:02:15.200]  我覺得這幾句說話都很能代表我那位同學的生命
[00:02:15.200 --> 00:02:22.200]  他原本是在一間非常巨規模的跨國機構裏
[00:02:22.200 --> 00:02:25.200]  擔任一位系統工程師
[00:02:25.200 --> 00:02:27.200]  有高薪厚職
[00:02:27.200 --> 00:02:29.200]  但他志不在此
[00:02:29.200 --> 00:02:32.200]  他在公司裏組織查經小組
[00:02:32.200 --> 00:02:35.200]  帶領不少人去認識耶穌
[00:02:35.200 --> 00:02:40.200]  他亦不斷向上帝尋求新意
[00:02:40.200 --> 00:02:43.200]  要知道自己應該如何走人生方向
[00:02:43.200 --> 00:02:47.200]  如何活出豐盛的生命
[00:02:47.200 --> 00:02:52.200]  於是他在1995年放下高薪厚職
[00:02:52.200 --> 00:02:55.200]  進入建道神學院進修
[00:02:55.200 --> 00:02:57.200]  畢業後立即結婚
[00:02:57.200 --> 00:02:58.200]  結婚第七天
[00:02:58.200 --> 00:03:00.200]  他帶著新婚妻子
[00:03:00.200 --> 00:03:05.200]  遠赴比利時繼續進修
[00:03:05.200 --> 00:03:09.200]  並且他按當地對海外生的要求
[00:03:09.200 --> 00:03:12.200]  他本來已經取得碩士學位
[00:03:12.200 --> 00:03:15.200]  但他從頭從學士來讀
[00:03:15.200 --> 00:03:17.200]  結果他前後用了八年時間
[00:03:17.200 --> 00:03:20.200]  一點都不取考
[00:03:20.200 --> 00:03:23.200]  來取得哲學博士的資格
[00:03:23.200 --> 00:03:25.200]  回到香港後
[00:03:25.200 --> 00:03:28.200]  在一間大學的專科室
[00:03:28.200 --> 00:03:33.200]  在一間大學的終哲系任教
[00:03:33.200 --> 00:03:35.200]  我欣賞這位學兄
[00:03:35.200 --> 00:03:37.200]  他很清楚知道
[00:03:37.200 --> 00:03:40.200]  自己人生的目標和方向是甚麼
[00:03:40.200 --> 00:03:42.200]  就是要侍奉上帝
[00:03:42.200 --> 00:03:46.200]  他不屈不撓地向著彪竿直跑
[00:03:46.200 --> 00:03:48.200]  他不單有遠大的志向
[00:03:48.200 --> 00:03:51.200]  他亦是一個很有情的人
[00:03:51.200 --> 00:03:55.200]  在他最後一封寫給同事的信中
[00:03:55.200 --> 00:03:59.200]  他仍然提及、他仍然掛念
[00:03:59.200 --> 00:04:03.200]  那些在痛苦中的人
[00:04:03.200 --> 00:04:05.200]  今天輪到我講
[00:04:05.200 --> 00:04:08.200]  《時詩記》的最後一位士師參孫
[00:04:08.200 --> 00:04:10.200]  與參孫比較
[00:04:10.200 --> 00:04:14.200]  這位同學與他可以說是一個很大的對比
[00:04:14.200 --> 00:04:17.200]  這位同學的生命散發光芒
[00:04:17.200 --> 00:04:19.200]  激勵了不少人
[00:04:19.200 --> 00:04:21.200]  他雖然是英年早逝
[00:04:21.200 --> 00:04:25.200]  但是那美好的仗他已經打過
[00:04:25.200 --> 00:04:28.200]  他可以說是不枉此生
[00:04:28.200 --> 00:04:30.200]  但這位參孫
[00:04:30.200 --> 00:04:33.200]  他一生不羈放縱
[00:04:33.200 --> 00:04:38.200]  他雖然有很多恩賜、很大的能力
[00:04:38.200 --> 00:04:40.200]  但他是不務正業
[00:04:40.200 --> 00:04:42.200]  他虛度光陰
[00:04:42.200 --> 00:04:46.200]  他的一生可以說是一個悲劇
[00:04:46.200 --> 00:04:50.200]  今天我想跟大家一齊重溫他這個生命的悲劇
[00:04:50.200 --> 00:04:57.200]  看看我們如何避免落入他所面對的試探
