
[00:00:00.000 --> 00:00:01.360]  好 鄧英志媒早晨
[00:00:01.360 --> 00:00:06.000]  很高興又可以在此在你們當中
[00:00:06.000 --> 00:00:07.520]  來證到
[00:00:07.520 --> 00:00:09.920]  我們低頭祈禱先
[00:00:09.920 --> 00:00:19.400]  親愛的天父臣弟 我們來到你面前
[00:00:19.400 --> 00:00:20.680]  祝我們感恩
[00:00:20.680 --> 00:00:23.480]  因為我們可以有這麼寶貴的機會
[00:00:23.480 --> 00:00:25.040]  我們敬拜你
[00:00:25.040 --> 00:00:26.320]  我們讚美你
[00:00:26.320 --> 00:00:29.480]  祝我們也可以從你的話語當中
[00:00:29.880 --> 00:00:33.800]  再次的去得到你自己的教導
[00:00:33.800 --> 00:00:35.880]  我們懇求主你這時候
[00:00:35.880 --> 00:00:37.800]  就使用你僕人的口
[00:00:37.800 --> 00:00:40.160]  也使用他所準備的信息
[00:00:40.160 --> 00:00:41.760]  你高沒這一切
[00:00:41.760 --> 00:00:43.640]  讓這一切都合乎你心意
[00:00:43.640 --> 00:00:44.920]  給主你所使用
[00:00:44.920 --> 00:00:46.280]  還有謝謝你
[00:00:46.280 --> 00:00:48.040]  我們完全高託給你
[00:00:48.040 --> 00:00:49.000]  懇求主你
[00:00:49.000 --> 00:00:50.040]  聽我們禱告
[00:00:50.040 --> 00:00:51.600]  帶領我們以下時間
[00:00:51.600 --> 00:00:53.560]  讓我們都全謙卑的心
[00:00:53.560 --> 00:00:56.520]  來到你面前來接受你的話語
[00:00:56.520 --> 00:00:58.200]  感謝你聽我們禱告
[00:00:58.200 --> 00:00:59.400]  奉主耶穌的聖名
[00:00:59.720 --> 00:01:00.400]  阿彌陀佛
[00:01:00.400 --> 00:01:06.480]  我曾經見過一幅海報
[00:01:06.480 --> 00:01:11.280]  這幅海報是兩個人坐在一張梳化上
[00:01:11.280 --> 00:01:14.520]  一人有一端
[00:01:14.520 --> 00:01:18.120]  中間隔了很大很大的距離
[00:01:18.120 --> 00:01:20.560]  這個梳化是很長的
[00:01:20.560 --> 00:01:25.000]  這兩個人之間有一行的字
[00:01:25.000 --> 00:01:26.560]  這行字寫著什麼呢
[00:01:26.560 --> 00:01:31.360]  就說人與人的距離為何那麼遠
[00:01:31.360 --> 00:01:35.200]  原來這就是很多年前的
