
[00:00:00.000 --> 00:00:01.600]  各位女童姐妹轉來平安
[00:00:01.600 --> 00:00:06.000]  我們在暴風雨的前夕
[00:00:06.000 --> 00:00:08.800]  在風暴的早一晚
[00:00:08.800 --> 00:00:10.800]  我們一起來敬拜上帝
[00:00:10.800 --> 00:00:13.800]  我們一起看《使徒行傳》第二章
[00:00:13.800 --> 00:00:17.100]  這一章是《使徒行傳》的
[00:00:17.100 --> 00:00:20.900]  我們這次《使徒行傳》系列的第二講
[00:00:20.900 --> 00:00:24.000]  也是教會歷史上一個非常獨特
[00:00:24.000 --> 00:00:25.800]  又重要的時刻
[00:00:25.800 --> 00:00:27.800]  無可取代的時候
[00:00:28.300 --> 00:00:30.800]  被稱為五巡節的神蹟
[00:00:30.800 --> 00:00:32.400]  非常之震撼
[00:00:32.400 --> 00:00:34.200]  非常之特別的一章
[00:00:34.200 --> 00:00:35.800]  我很想看看
[00:00:35.800 --> 00:00:37.500]  在這章聖經裏面
[00:00:37.500 --> 00:00:40.100]  想很詳細跟大家分享
[00:00:40.100 --> 00:00:43.500]  不過由於大家都知道我比較長氣
[00:00:43.500 --> 00:00:46.600]  所以我只是規管自己
[00:00:46.600 --> 00:00:49.100]  繼續講一節的聖經
[00:00:49.100 --> 00:00:53.500]  所以我選擇《使徒行傳》第二章第四節
[00:00:53.500 --> 00:00:55.300]  講題是
[00:00:55.400 --> 00:00:58.200]  聖靈充滿之顛覆
[00:00:58.200 --> 00:01:00.800]  願我們預備我們的心靈
[00:01:00.800 --> 00:01:03.300]  迎接從上而來的恩賢
[00:01:03.300 --> 00:01:06.300]  願我們的靈安靜在主面前
[00:01:06.300 --> 00:01:08.200]  好像昔日的門徒一樣
[00:01:08.200 --> 00:01:09.600]  同心合意的
[00:01:09.600 --> 00:01:11.000]  祈禱等候
[00:01:11.000 --> 00:01:13.000]  求主藉著聖靈
[00:01:13.000 --> 00:01:15.400]  親自向我們的心講說話
[00:01:15.400 --> 00:01:16.500]  光照我們
[00:01:16.500 --> 00:01:17.600]  更新我們
[00:01:17.600 --> 00:01:19.500]  讓我們在講道之先
[00:01:19.500 --> 00:01:20.500]  我們一起祈禱
[00:01:20.500 --> 00:01:22.200]  親愛的巴夫
[00:01:22.200 --> 00:01:23.600]  我們感謝你
[00:01:23.800 --> 00:01:26.200]  你賜下保衛師聖靈
[00:01:26.200 --> 00:01:27.900]  與我們永遠同在
[00:01:27.900 --> 00:01:30.100]  今天我們聚集在你的殿當中
[00:01:30.100 --> 00:01:32.400]  渴望被你的靈充滿
[00:01:32.400 --> 00:01:33.900]  求你的靈與風
[00:01:33.900 --> 00:01:36.300]  吹盡我們生命每一個角落
[00:01:36.300 --> 00:01:39.100]  求你甦醒我們沉睡的心靈
[00:01:39.100 --> 00:01:40.600]  求你的靈與火
[00:01:40.600 --> 00:01:42.200]  潔淨我們一切的污穢
[00:01:42.200 --> 00:01:44.400]  燃點我們侍奉的熱情
[00:01:44.400 --> 00:01:47.900]  與我們不單止更新頭腦的認知
[00:01:47.900 --> 00:01:50.200]  更加躺開我們的心靈
[00:01:50.200 --> 00:01:52.900]  好讓這一刀在我們裏面發動
[00:01:53.100 --> 00:01:55.700]  使我們得著從你而來的能力
[00:01:55.700 --> 00:01:56.900]  去見證你
[00:01:56.900 --> 00:01:57.800]  榮耀你
[00:01:57.800 --> 00:01:59.000]  我們的禱告
[00:01:59.000 --> 00:02:01.200]  乃奉我主耶穌基督聖名求
[00:02:01.200 --> 00:02:02.100]  阿們
[00:02:02.100 --> 00:02:07.700]  說行傳第二章第四節
[00:02:07.700 --> 00:02:11.300]  他們就都被聖靈充滿
[00:02:11.300 --> 00:02:13.500]  按照聖靈所賜的口才
[00:02:13.500 --> 00:02:16.800]  說起別國的話來
[00:02:16.800 --> 00:02:17.800]  他們
[00:02:17.800 --> 00:02:18.700]  他們
[00:02:18.700 --> 00:02:20.300]  是耶穌基督的門徒
[00:02:20.300 --> 00:02:22.900]  聚集在馬河樓上
[00:02:23.300 --> 00:02:25.100]  那一百二十個門徒
[00:02:25.100 --> 00:02:27.200]  我們或者常常都聽見
[00:02:27.200 --> 00:02:29.200]  被聖靈充滿這句說話
