
[00:00:00.000 --> 00:00:04.840]  今天的題目都是有關教會建造
[00:00:04.840 --> 00:00:07.340]  我們彼此之間如何可以合作
[00:00:07.340 --> 00:00:11.960]  為神的榮耀一齊來建造教會
[00:00:11.960 --> 00:00:17.600]  這個地圖是講到爾弗所
[00:00:17.600 --> 00:00:19.040]  我們看一看
[00:00:19.040 --> 00:00:21.400]  兩個屏幕只有這邊有
[00:00:21.400 --> 00:00:24.600]  我可以有個指標
[00:00:24.600 --> 00:00:26.480]  這邊的人就想像一下
[00:00:26.480 --> 00:00:32.640]  爾弗所這個地方就在今天土耳其的西邊
[00:00:32.640 --> 00:00:38.560]  以前有一條河就是出口在那裡
[00:00:38.560 --> 00:00:40.240]  大家知道那個時候
[00:00:40.240 --> 00:00:43.920]  譬如說中國出去的絲路 絲綢之路
[00:00:43.920 --> 00:00:46.720]  一直會由中國經過亞洲
[00:00:46.720 --> 00:00:49.920]  去到土耳其那邊
[00:00:49.920 --> 00:00:58.240]  土耳其這邊我們叫做亞洲
[00:00:58.240 --> 00:01:01.800]  過來這邊希臘就算是歐洲
[00:01:01.800 --> 00:01:05.240]  那些貨物由亞洲去到歐洲
[00:01:05.240 --> 00:01:07.840]  就是經過這條河的出口
[00:01:07.840 --> 00:01:10.080]  就是爾弗所這個地方
[00:01:10.080 --> 00:01:11.800]  大家可以想像
[00:01:11.800 --> 00:01:15.840]  河流的出口通常那些城市就很容易發展
[00:01:15.840 --> 00:01:19.440]  因為以前是經過河道來輸送運
[00:01:19.440 --> 00:01:22.120]  然後就再出海
[00:01:22.120 --> 00:01:26.760]  譬如中國長江的出口在哪裏
[00:01:26.760 --> 00:01:30.720]  長江一直去到外邊
[00:01:30.720 --> 00:01:33.880]  上海嘛
[00:01:33.880 --> 00:01:35.240]  珠江呢 南邊呢
[00:01:35.240 --> 00:01:38.360]  珠江出口在哪裏
[00:01:38.360 --> 00:01:41.880]  廣州
[00:01:41.880 --> 00:01:44.480]  大家要讀一下地理師知道嗎
[00:01:44.480 --> 00:01:46.200]  就是為什麼上海發展得這麼快
[00:01:46.200 --> 00:01:48.480]  為什麼廣州那時候那麼早
[00:01:48.480 --> 00:01:50.680]  就是因為河流的出口
[00:01:50.680 --> 00:01:52.600]  就是在內地的貨物去到那裏
[00:01:52.600 --> 00:01:54.040]  再出去大海的時候
[00:01:54.040 --> 00:01:57.280]  經過那裏就很多貨物轉運 做生意
[00:01:57.280 --> 00:01:59.080]  所以爾弗所在這個地方
[00:01:59.080 --> 00:02:03.840]  就是古時候非常發達的一個地方
[00:02:03.840 --> 00:02:07.720]  但是自從第七世紀之後
[00:02:07.720 --> 00:02:11.160]  就因為種種原因就開始沒落
[00:02:11.160 --> 00:02:12.200]  為什麼呢
[00:02:12.200 --> 00:02:16.360]  因為河流的出口時常都要挖沙
[00:02:16.360 --> 00:02:19.080]  要不然你不繼續挖的時候
[00:02:19.080 --> 00:02:24.360]  內地那些土瘤 沙石就會堵塞住
[00:02:24.360 --> 00:02:26.040]  就常常都要挖
[00:02:26.040 --> 00:02:27.800]  但是第七世紀之後
[00:02:27.800 --> 00:02:33.000]  就不是太多人去管理
[00:02:33.000 --> 00:02:35.800]  那些沙或者打仗或者什麼的
[00:02:35.800 --> 00:02:37.600]  就沉積在那裏
[00:02:37.600 --> 00:02:39.840]  就將爾弗所這個城市
[00:02:39.840 --> 00:02:42.880]  埋在沙土下面
[00:02:42.880 --> 00:02:46.440]  過了一千年
[00:02:46.440 --> 00:02:51.120]  到了十九世紀才開始有歐洲的考古隊
[00:02:51.120 --> 00:02:55.560]  再次發現古代的爾弗所原來是這樣的
[00:02:55.560 --> 00:02:58.240]  所以一直都很憤怒
[00:02:58.240 --> 00:03:01.200]  現在已經成為一個旅遊景點
[00:03:01.200 --> 00:03:03.040]  如果你去爾弗所
[00:03:03.040 --> 00:03:04.120]  就可以看到這個地方
[00:03:04.120 --> 00:03:05.320]  很大的劇院
[00:03:05.320 --> 00:03:09.160]  這裏可以坐二萬四千人這麼大
[00:03:09.160 --> 00:03:13.360]  我和我太太前後去過三次
[00:03:13.360 --> 00:03:14.920]  不同的時期
[00:03:14.920 --> 00:03:18.240]  每一次都有新的文物出來
[00:03:18.240 --> 00:03:21.960]  但是每一次都是越來越多遊客
[00:03:21.960 --> 00:03:25.880]  所以那裏就有點像歐洲的Over Tourism
[00:03:25.880 --> 00:03:27.360]  就是太多遊客
[00:03:27.360 --> 00:03:29.480]  你要選時間 選什麼
[00:03:29.480 --> 00:03:30.440]  自己去玩
