
[00:00:00.000 --> 00:00:02.000]  今天跟大家講什麼題目呢?
[00:00:02.000 --> 00:00:04.000]  我們有義務去幫人
[00:00:04.000 --> 00:00:06.000]  你覺得我有沒有義務去幫人啊?
[00:00:06.000 --> 00:00:08.000]  紀錄圖,有沒有義務去幫人啊?
[00:00:08.000 --> 00:00:12.000]  個個都點頭,不過幫人不是容易的事
[00:00:12.000 --> 00:00:16.000]  你想去幫人,人家想不想你幫才行?
[00:00:16.000 --> 00:00:18.000]  我記得是
[00:00:18.000 --> 00:00:20.000]  很多年前,我剛剛
[00:00:20.000 --> 00:00:23.000]  神學院畢業沒多久,我就搬了去Houston
[00:00:23.000 --> 00:00:26.000]  我的神學院在Fort Worth,就搬去Houston
[00:00:26.000 --> 00:00:30.000]  為什麼呢?其實我在神學院畢業之前一年
[00:00:30.000 --> 00:00:32.000]  就已經開始了一個教會在那裡
[00:00:32.000 --> 00:00:34.000]  畢業之後就順理成章
[00:00:34.000 --> 00:00:36.000]  在那裡就全職在那裡
[00:00:36.000 --> 00:00:38.000]  這是一個新的教會
[00:00:38.000 --> 00:00:41.000]  很多事情都要重新開始的
[00:00:41.000 --> 00:00:44.000]  不過呢,我搬了去沒多久
[00:00:44.000 --> 00:00:47.000]  我就聽到以前我神學院
[00:00:47.000 --> 00:00:49.000]  旁邊有一間教會
[00:00:49.000 --> 00:00:51.000]  我就在那間教會聚會
[00:00:51.000 --> 00:00:53.000]  直至我搬去Houston
[00:00:53.000 --> 00:00:56.000]  那我去了Houston沒多久,我就聽到
[00:00:56.000 --> 00:00:58.000]  裡面有一個弟兄,我認識的
[00:00:58.000 --> 00:01:00.000]  不是真的很熟,不過我認識
[00:01:00.000 --> 00:01:02.000]  就聽到什麼呢?就是
[00:01:02.000 --> 00:01:05.000]  他跟一個神學院的女學生
[00:01:05.000 --> 00:01:07.000]  好像有些曖昧關係
[00:01:07.000 --> 00:01:09.000]  就搞得很大件事
[00:01:09.000 --> 00:01:13.000]  老婆又抱怨,很多問題出現
[00:01:13.000 --> 00:01:16.000]  其實我已經離開了教會
[00:01:16.000 --> 00:01:18.000]  搬了去Houston,但不知道為什麼
[00:01:18.000 --> 00:01:20.000]  心裡面有感動
[00:01:20.000 --> 00:01:23.000]  我要幫幫這個弟兄
[00:01:23.000 --> 00:01:25.000]  或者起碼跟他說說
[00:01:25.000 --> 00:01:26.000]  我不想看到他們的婚姻
[00:01:26.000 --> 00:01:28.000]  因為這樣的緣故而破碎
[00:01:28.000 --> 00:01:30.000]  在未去到最壞的情況下
[00:01:30.000 --> 00:01:32.000]  可不可以做點事呢?
[00:01:32.000 --> 00:01:35.000]  又感謝主,這個弟兄肯見我
[00:01:35.000 --> 00:01:37.000]  我約好了,某個禮拜日
[00:01:37.000 --> 00:01:41.000]  下午我就去你家附近的餐廳
[00:01:41.000 --> 00:01:43.000]  在裡面大家聊聊天
[00:01:43.000 --> 00:01:45.000]  那個禮拜來到的時候
[00:01:45.000 --> 00:01:47.000]  新教會是你們不知道的
[00:01:47.000 --> 00:01:49.000]  現在你們都享受很多東西
[00:01:49.000 --> 00:01:51.000]  讀書第一件事起床就是什麼呢?
[00:01:51.000 --> 00:01:53.000]  過去教會,那時候我還在教會旁邊
[00:01:53.000 --> 00:01:55.000]  就煮一鍋飯
[00:01:55.000 --> 00:01:57.000]  因為那時候兩個小孩很小
[00:01:57.000 --> 00:01:59.000]  師母幫不了我
[00:01:59.000 --> 00:02:01.000]  我就先去廚房煮一鍋飯
[00:02:01.000 --> 00:02:04.000]  然後就開教會的小巴去接人
[00:02:04.000 --> 00:02:06.000]  那些婆婆、小朋友
[00:02:06.000 --> 00:02:08.000]  就接他們來教會崇拜
[00:02:08.000 --> 00:02:10.000]  來到教會之後,不是立刻崇拜的
[00:02:10.000 --> 00:02:12.000]  煮一鍋飯嘛
[00:02:12.000 --> 00:02:14.000]  我就教聖經,教完主教學
[00:02:14.000 --> 00:02:16.000]  教完主教學,崇拜就講道
[00:02:16.000 --> 00:02:18.000]  講完道之後,吃飯囉
[00:02:18.000 --> 00:02:20.000]  煮一鍋飯,大家輪流煮菜送回來
[00:02:20.000 --> 00:02:22.000]  吃完飯之後
[00:02:22.000 --> 00:02:24.000]  收拾東西,收拾完之後
[00:02:24.000 --> 00:02:26.000]  送一些東西回家
[00:02:26.000 --> 00:02:28.000]  然後還要安置師母和兩個小孩
[00:02:28.000 --> 00:02:30.000]  於是我就立刻開車
[00:02:30.000 --> 00:02:35.000]  就從Houston開車去Fort Worth
[00:02:35.000 --> 00:02:37.000]  知道我開了多少小時嗎?
[00:02:37.000 --> 00:02:39.000]  我開車比較快一點
[00:02:39.000 --> 00:02:41.000]  這個大家聽過了
[00:02:41.000 --> 00:02:43.000]  四個半
[00:02:43.000 --> 00:02:45.000]  開四個半小時
[00:02:45.000 --> 00:02:50.000]  那就感謝上帝
[00:02:50.000 --> 00:02:51.000]  為什麼呢?
[00:02:51.000 --> 00:02:54.000]  我記得是疫情前幾年吧
[00:02:54.000 --> 00:02:58.000]  這個弟兄和他太太來灣區
[00:02:58.000 --> 00:03:00.000]  探望我和師母
[00:03:00.000 --> 00:03:01.000]  我見到他們很開心
[00:03:01.000 --> 00:03:02.000]  為什麼呢?
[00:03:02.000 --> 00:03:04.000]  他們還在一起
[00:03:04.000 --> 00:03:07.000]  夫妻關係良好
[00:03:07.000 --> 00:03:09.000]  現在沒有
[00:03:09.000 --> 00:03:13.000]  因為那件事就是家庭破碎
[00:03:13.000 --> 00:03:14.000]  那我還很開心什麼呢?
[00:03:14.000 --> 00:03:16.000]  這個弟兄提早退休之後
[00:03:16.000 --> 00:03:19.000]  就去神學院讀了一個輔導學位
[00:03:19.000 --> 00:03:21.000]  現在去輔導人
[00:03:21.000 --> 00:03:22.000]  在九里面很熱心
[00:03:22.000 --> 00:03:23.000]  不知道是不是執事
[00:03:23.000 --> 00:03:24.000]  我不記得了
[00:03:24.000 --> 00:03:26.000]  總之他在九里面很活躍很熱心
[00:03:26.000 --> 00:03:29.000]  總之是九里領袖
[00:03:29.000 --> 00:03:33.000]  對我來說
[00:03:33.000 --> 00:03:34.000]  我覺得是一個很大的鼓勵
[00:03:34.000 --> 00:03:36.000]  和一個很大的安慰
[00:03:36.000 --> 00:03:38.000]  很開心的事
[00:03:38.000 --> 00:03:40.000]  不過回想起來
[00:03:40.000 --> 00:03:41.000]  我不知道為什麼
[00:03:41.000 --> 00:03:42.000]  那時候這麼大膽
[00:03:42.000 --> 00:03:44.000]  這麼有勇氣去找他
[00:03:44.000 --> 00:03:45.000]  為什麼呢?
[00:03:45.000 --> 00:03:48.000]  老實說當然是受感動
[00:03:48.000 --> 00:03:50.000]  聖靈感動我
[00:03:50.000 --> 00:03:52.000]  但可能我想一下
[00:03:52.000 --> 00:03:53.000]  為什麼我會這樣做呢?
[00:03:53.000 --> 00:03:55.000]  回想起來
[00:03:55.000 --> 00:03:59.000]  可能我心裡面有一個信念
[00:03:59.000 --> 00:04:00.000]  就是我剛才所說的
[00:04:00.000 --> 00:04:01.000]  作為基督徒
[00:04:01.000 --> 00:04:02.000]  也不要說是牧師
