
[00:00:00.000 --> 00:00:02.000]  姜:信眾姊妹早,平安
[00:00:02.000 --> 00:00:04.000]  信眾姊妹:平安
[00:00:04.000 --> 00:00:10.000]  姜:今天呢,我要跟大家用哥林多前書9章24-27節
[00:00:10.000 --> 00:00:13.000]  姜:來跟大家分享一個信息
[00:00:13.000 --> 00:00:17.000]  姜:我信息的題目叫做「天堂的跑道」
[00:00:17.000 --> 00:00:21.000]  姜:那在講這個主題呢,叫思想主
[00:00:21.000 --> 00:00:24.000]  姜:這個主題呢,是要來思想一個基督徒
[00:00:24.000 --> 00:00:27.000]  姜:我們一個基督徒要怎麼樣的預備自己
[00:00:27.000 --> 00:00:31.000]  姜:在神的跑道上面成為一個稱職的運動員
[00:00:31.000 --> 00:00:33.000]  姜:Hallelujah
[00:00:33.000 --> 00:00:36.000]  姜:這一段經文裡面呢
[00:00:36.000 --> 00:00:41.000]  姜:保羅他用了古羅馬希臘運動場上面的比喻
[00:00:41.000 --> 00:00:42.000]  姜:他來跟我們說
[00:00:42.000 --> 00:00:44.000]  姜:他說你難道不知道嗎
[00:00:44.000 --> 00:00:46.000]  姜:我們基督徒一生啊
[00:00:46.000 --> 00:00:49.000]  姜:都要在運動跑道上面賽跑的
[00:00:49.000 --> 00:00:51.000]  姜:因為只有你願意
[00:00:51.000 --> 00:00:54.000]  姜:只有那個願意要努力參加競賽的人
[00:00:54.000 --> 00:00:58.000]  姜:他的差才能夠得到從天上的獎賞
[00:00:58.000 --> 00:01:02.000]  姜:那每一個成功優秀的運動員
[00:01:02.000 --> 00:01:03.000]  姜:其實呢
[00:01:03.000 --> 00:01:06.000]  姜:都要經過非常嚴厲的訓練
[00:01:06.000 --> 00:01:08.000]  姜:要對自我有挑戰
[00:01:08.000 --> 00:01:10.000]  姜:要有超高的要求
[00:01:10.000 --> 00:01:12.000]  姜:而且在所行的路上面
[00:01:12.000 --> 00:01:15.000]  姜:都要有很強的自制力
[00:01:15.000 --> 00:01:18.000]  姜:因為只有這樣子你才能夠出人頭地
[00:01:18.000 --> 00:01:22.000]  姜:這樣子你才可以得冠軍得冠名
[00:01:22.000 --> 00:01:26.000]  姜:那我們基督徒所努力的目標也是如此
[00:01:26.000 --> 00:01:28.000]  姜:只不過不同的是呢
[00:01:28.000 --> 00:01:31.000]  姜:我們基督徒所要贏得的獎賞
[00:01:31.000 --> 00:01:34.000]  姜:是一頂屬天的
[00:01:34.000 --> 00:01:36.000]  姜:可以存留到永生
[00:01:36.000 --> 00:01:39.000]  姜:而且永遠不朽壞的冠名
[00:01:39.000 --> 00:01:41.000]  姜:讓我們一起低頭禱告
[00:01:41.000 --> 00:01:45.000]  姜:親愛的天父主耶穌聖靈保佑
[00:01:45.000 --> 00:01:47.000]  姜:使我們用感恩的心來到你面前
[00:01:47.000 --> 00:01:49.000]  姜:主這是你的日子
[00:01:49.000 --> 00:01:51.000]  姜:主啊能夠在主你的日子
[00:01:51.000 --> 00:01:54.000]  姜:來到主的面前是何等的寶貴
[00:01:54.000 --> 00:01:56.000]  姜:所以說我們這次求主
[00:01:56.000 --> 00:01:58.000]  姜:祝祢的聖靈這個時候
[00:01:58.000 --> 00:02:00.000]  姜:祝祢的聖靈來Touch
[00:02:00.000 --> 00:02:02.000]  姜:我們在座的每一位弟兄姊妹
[00:02:02.000 --> 00:02:05.000]  姜:從他們的Touch他們的心
[00:02:05.000 --> 00:02:07.000]  姜:Touch他們的耳朵
