
[00:00:00.000 --> 00:00:02.000]  (主席)各位弟兄姊妹早晨
[00:00:02.000 --> 00:00:05.000]  元神的恩惠,常與你們同在
[00:00:05.000 --> 00:00:09.000]  舊約講完了
[00:00:09.000 --> 00:00:12.000]  我的講道終於來到新約
[00:00:12.000 --> 00:00:15.000]  天賦若許可的話
[00:00:15.000 --> 00:00:18.000]  我未來二十七次的講道
[00:00:18.000 --> 00:00:21.000]  都會一次講一卷新約的書卷
[00:00:21.000 --> 00:00:26.000]  直到講完新約全部二十七卷書卷為止
[00:00:26.000 --> 00:00:31.000]  我其實有一個很卑微的渴望
[00:00:31.000 --> 00:00:35.000]  是渴望弟兄姊妹能夠對整本聖經
[00:00:35.000 --> 00:00:39.000]  有一個整全的理解
[00:00:39.000 --> 00:00:46.000]  聖經其實不只是幫我們信耶穌得永生
[00:00:46.000 --> 00:00:52.000]  聖經更加承托著我們整個人的人生
[00:00:52.000 --> 00:00:59.000]  讓我們無論面對什麼光景都看到神的真實和恩典
[00:00:59.000 --> 00:01:01.000]  就以舊約為例
[00:01:01.000 --> 00:01:08.000]  三十九卷的書卷其實涵蓋了人生的方方面面
[00:01:08.000 --> 00:01:12.000]  無論在什麼光景,神都在
[00:01:12.000 --> 00:01:16.000]  在遠古荒涼的時代
[00:01:16.000 --> 00:01:21.000]  那個不知道人生意義為何的阿伯拉罕
[00:01:21.000 --> 00:01:27.000]  他聽到神的呼喚讓他明白自己的天命
[00:01:27.000 --> 00:01:32.000]  當那個阿伯拉罕仍然只有一個很小的家庭的時候
[00:01:32.000 --> 00:01:37.000]  神在,讓他開啟一個民族
[00:01:37.000 --> 00:01:43.000]  當這個民族在異鄉,在埃及做奴隸的時候
[00:01:43.000 --> 00:01:46.000]  神在,讓他們得到釋放
[00:01:46.000 --> 00:01:49.000]  並且在迦南地建立家園
[00:01:49.000 --> 00:01:54.000]  當他們在迦南地群龍無首的時候
[00:01:54.000 --> 00:02:01.000]  神在,為他們揀選王者,建立君主的制度
[00:02:01.000 --> 00:02:04.000]  當君王腐敗的時候
[00:02:04.000 --> 00:02:09.000]  神在,差派先知去提點那些君王
[00:02:09.000 --> 00:02:13.000]  當整個社會禮崩樂壞的時候
[00:02:13.000 --> 00:02:18.000]  神在,興起列國來審判他們
