
[00:00:00.000 --> 00:00:03.000]  弟兄姊妹 今天是我講到
[00:00:03.000 --> 00:00:07.000]  我的主題是重建關係
[00:00:07.000 --> 00:00:10.000]  那我們首先繼續地同心禱告
[00:00:10.000 --> 00:00:15.000]  求生命幫助我們
[00:00:15.000 --> 00:00:18.000]  真理的聖靈今天願你帶領我們
[00:00:18.000 --> 00:00:21.000]  更深入地去思想神的話語
[00:00:21.000 --> 00:00:25.000]  和好好地檢視我們與父神的關係
[00:00:25.000 --> 00:00:32.000]  以上的禱告是封主耶穌基督的名字求求二們
[00:00:32.000 --> 00:00:35.000]  弟兄姊妹 四月了
[00:00:35.000 --> 00:00:39.000]  大家的心情有沒有變好一點呢
[00:00:39.000 --> 00:00:42.000]  因爲復活節快到了
[00:00:42.000 --> 00:00:45.000]  一個長假期要來了
[00:00:45.000 --> 00:00:48.000]  雖然我們仍然受着疫情的影響
[00:00:48.000 --> 00:00:53.000]  但明顯無減市民對復活節假期的期待
[00:00:53.000 --> 00:00:56.000]  各大的商場也佈置起來了
[00:00:56.000 --> 00:01:00.000]  店鋪推出了不少減價的活動
[00:01:00.000 --> 00:01:02.000]  折扣優惠
[00:01:02.000 --> 00:01:05.000]  再加上消費券的助力下
[00:01:05.000 --> 00:01:07.000]  市民外出逛街
[00:01:07.000 --> 00:01:10.000]  購物的抑鬱又高漲起來
[00:01:10.000 --> 00:01:14.000]  期待寬度一個愉快的長假期
[00:01:14.000 --> 00:01:17.000]  你是不是也是這樣的心情呢
[00:01:17.000 --> 00:01:21.000]  不過復活節對我們基督徒來說
[00:01:21.000 --> 00:01:23.000]  意義更深
[00:01:23.000 --> 00:01:26.000]  主耶穌基督戰勝死亡復活
[00:01:26.000 --> 00:01:29.000]  爲我們帶來數天的盼望
[00:01:29.000 --> 00:01:33.000]  確實值得我們歡喜快樂
[00:01:33.000 --> 00:01:37.000]  但我們更應該善用這個假期
[00:01:37.000 --> 00:01:40.000]  讓自己安靜在神面前
[00:01:40.000 --> 00:01:45.000]  再次去思想主耶穌爲了洗清我們的罪
[00:01:45.000 --> 00:01:49.000]  而在實際上所承受的苦
[00:01:49.000 --> 00:01:51.000]  我們要記得
[00:01:51.000 --> 00:01:57.000]  自己是主耶穌基督用了寶貴的暑假買來的
[00:01:57.000 --> 00:02:00.000]  才得以成了天父的兒女
[00:02:00.000 --> 00:02:06.000]  享受着天父賜予我們今天的一切平安與恩福
[00:02:06.000 --> 00:02:09.000]  不過我們這個做兒女的
[00:02:09.000 --> 00:02:11.000]  做得怎樣呢
[00:02:11.000 --> 00:02:13.000]  聽話嗎
[00:02:13.000 --> 00:02:16.000]  我們和富士人的關係如何
[00:02:16.000 --> 00:02:19.000]  你是天父的小眉耳
[00:02:19.000 --> 00:02:23.000]  體貼天父的心腸的好兒女嗎
[00:02:23.000 --> 00:02:28.000]  其實在現在這個遇苦節的時間
[00:02:28.000 --> 00:02:30.000]  就是不計算主日
[00:02:30.000 --> 00:02:33.000]  復活節前的40天
