
[00:00:00.000 --> 00:00:02.000]  我們先領受話語之前
[00:00:02.000 --> 00:00:03.520]  我們再次低頭祈禱
[00:00:03.520 --> 00:00:06.940]  天恩,求祢親自用祢的話語
[00:00:06.940 --> 00:00:08.980]  向我們幫助和提醒
[00:00:08.980 --> 00:00:10.100]  教導我們
[00:00:10.100 --> 00:00:14.600]  懂得如何檢視我們侍奉的心態和動機
[00:00:14.600 --> 00:00:16.900]  以及我們究竟在祢面前
[00:00:16.900 --> 00:00:18.400]  是否得蒙祢的喜悅
[00:00:18.400 --> 00:00:19.920]  帶領我們以後的時間
[00:00:19.920 --> 00:00:21.680]  祈禱奈奉主得聖一命
[00:00:21.680 --> 00:00:22.520]  Amen
[00:00:22.520 --> 00:00:25.920]  其實侍奉是分開兩個層次
[00:00:25.920 --> 00:00:28.360]  一個是全職侍奉
[00:00:28.360 --> 00:00:30.040]  甚麼是全職侍奉呢?
[00:00:30.040 --> 00:00:32.160]  就是一些牧者
[00:00:32.160 --> 00:00:34.920]  在教會裡全時間工作
[00:00:34.920 --> 00:00:38.680]  也有一些人可能在基督教機構裡工作
[00:00:38.680 --> 00:00:42.520]  他們的薪金是維持他們的生活
[00:00:42.520 --> 00:00:45.040]  而這些薪金是來自教會
[00:00:45.040 --> 00:00:46.520]  或者基督教機構
[00:00:46.520 --> 00:00:48.600]  這些叫做全職的侍奉
[00:00:48.600 --> 00:00:51.040]  某個程度是一個受薪的僱員
[00:00:51.040 --> 00:00:53.800]  但另外一些就是義務的侍奉
[00:00:53.800 --> 00:00:55.680]  就好像我們教會的弟兄姊妹
[00:00:55.680 --> 00:00:58.320]  可能在下面接待
[00:00:58.320 --> 00:01:00.400]  可能做團體裡的職員
[00:01:00.400 --> 00:01:03.120]  他們是沒有任何的薪金
[00:01:03.120 --> 00:01:05.160]  或者經濟的收益
[00:01:05.160 --> 00:01:07.360]  更加是要奉獻的
[00:01:07.360 --> 00:01:08.920]  但是兩者之間
[00:01:08.920 --> 00:01:09.920]  他們侍奉的時候
[00:01:09.920 --> 00:01:12.080]  他們已經具備甚麼的心態呢?
[00:01:12.080 --> 00:01:13.760]  我們從聖經裡面來看
[00:01:13.760 --> 00:01:14.720]  第一
[00:01:14.720 --> 00:01:17.520]  原來牧者和會友之間
[00:01:17.520 --> 00:01:20.000]  有一個很矛盾的關係
[00:01:20.000 --> 00:01:21.320]  這個矛盾的關係
[00:01:21.320 --> 00:01:24.360]  在一個非基督教的圈子裡面
[00:01:24.360 --> 00:01:26.120]  他們是不明白的
[00:01:26.120 --> 00:01:28.720]  我們看回聖經的時候是甚麼呢?
[00:01:28.720 --> 00:01:30.280]  在舊的聖經裡面
[00:01:30.280 --> 00:01:32.960]  大家知道有一個叫利微支派
[00:01:32.960 --> 00:01:34.480]  神揀選利微支派
[00:01:34.480 --> 00:01:38.000]  就是要去服侍他們自己的同胞
[00:01:38.000 --> 00:01:41.800]  唯一這個支派沒有辦法分到地的
[00:01:41.800 --> 00:01:43.280]  甚至你們沒有自己的地業
[00:01:43.280 --> 00:01:45.520]  因為你要分散在不同的地方裡面
[00:01:45.520 --> 00:01:46.560]  我們一起來看
[00:01:46.560 --> 00:01:48.400]  《心願記十八章》的第一節
[00:01:48.400 --> 00:01:49.840]  我們一起來讀出
[00:01:49.840 --> 00:02:02.160]  (聖經)
[00:02:02.160 --> 00:02:04.920]  原來他們沒有自己的產業
[00:02:04.920 --> 00:02:06.680]  而他們的生活
[00:02:06.680 --> 00:02:08.080]  他們的所需
[00:02:08.080 --> 00:02:11.280]  是子民奉獻一些牛羊
[00:02:11.280 --> 00:02:12.840]  我們抽一部分
[00:02:12.840 --> 00:02:15.520]  作為自己的生活費
[00:02:15.520 --> 00:02:18.120]  所以神也提醒這群子民
[00:02:18.120 --> 00:02:20.080]  你要謹慎在你所住的地方
[00:02:20.080 --> 00:02:22.200]  永不可丟棄利微人
[00:02:22.200 --> 00:02:25.560]  你不可以輕忽這些神的僕人
[00:02:25.560 --> 00:02:26.800]  在新約時代
[00:02:26.800 --> 00:02:28.480]  建立了教會
[00:02:28.480 --> 00:02:30.600]  教會一些傳道人
[00:02:30.600 --> 00:02:31.600]  一些神的僕人
[00:02:31.600 --> 00:02:33.800]  他們的生活又是怎樣呢?
[00:02:33.800 --> 00:02:36.520]  哥林多前書第九章十三十四節
[00:02:36.520 --> 00:02:38.440]  很清楚地提醒我們
[00:02:38.440 --> 00:02:39.320]  我們一起來讀
[00:02:39.320 --> 00:02:42.720]  哥林多前書第九章十三十四兩節
[00:02:42.720 --> 00:02:57.720]  (聖經)
[00:02:57.720 --> 00:02:59.720]  叫傳福音的
[00:02:59.720 --> 00:03:02.400]  靠著福音養生
[00:03:02.400 --> 00:03:03.800]  這個很重要
[00:03:03.800 --> 00:03:05.400]  就是那些的牧者
[00:03:05.400 --> 00:03:07.360]  是由弟兄姊妹的奉獻
[00:03:07.360 --> 00:03:09.960]  來維持他們的生活
[00:03:09.960 --> 00:03:11.960]  所以在《加利泰書》第六章第六節
