
[00:00:00.000 --> 00:00:05.200]  大概一個月之前我在這裡都有講過一堂薩姆爾記
[00:00:05.200 --> 00:00:10.000]  今天可以說是那個薩姆爾記的一個續集
[00:00:10.000 --> 00:00:15.800]  開始的時候給大家有一個小小的警告
[00:00:15.800 --> 00:00:18.600]  以下我要做的動作都挺危險的
[00:00:18.600 --> 00:00:22.800]  所以勸你們在家裡就不要這樣解經了
[00:00:22.800 --> 00:00:25.400]  今天我會用一個很不一樣的角度
[00:00:25.400 --> 00:00:29.000]  去看這一段薩姆爾記下的經文
[00:00:29.000 --> 00:00:34.000]  就算你之前聽過我那堂《造王者之真命天子》
[00:00:34.000 --> 00:00:38.400]  我想今天這篇導對於你來說都挺有挑戰的
[00:00:38.400 --> 00:00:40.000]  如果你之前沒有聽過
[00:00:40.000 --> 00:00:42.800]  我就勸你真的要打醒十二分精神
[00:00:42.800 --> 00:00:47.200]  如果不是你真的隨時聽不明白
[00:00:47.200 --> 00:00:51.400]  在你們聽到的時候我對大家有三個要求
[00:00:51.400 --> 00:00:54.000]  第一個要求我希望你專注
[00:00:54.000 --> 00:00:56.000]  我希望你很用心的
[00:00:56.000 --> 00:00:58.800]  不單止去聽我今天要講的內容
[00:00:58.800 --> 00:01:01.400]  更加要留意我聖經的邏輯
[00:01:01.400 --> 00:01:03.200]  為什麼我要這樣講
[00:01:03.200 --> 00:01:09.000]  為什麼我要這樣去解釋演繹這段聖經
[00:01:09.000 --> 00:01:13.000]  第二個要求是我希望你們會忍耐
[00:01:13.000 --> 00:01:15.600]  因為你可能需要一段時間
[00:01:15.600 --> 00:01:20.800]  才看到最後的亮光
[00:01:20.800 --> 00:01:24.400]  第三個要求我希望你們會信任
[00:01:24.400 --> 00:01:25.600]  因為時間有限
[00:01:25.600 --> 00:01:31.200]  我沒辦法很仔細的將每一段聖經都講得很清楚
[00:01:31.200 --> 00:01:35.400]  有些經文也都會有不同的演繹的方向
[00:01:35.400 --> 00:01:37.200]  不過我想你知道
[00:01:37.200 --> 00:01:39.600]  我所講的一切是有根有據
[00:01:39.600 --> 00:01:43.200]  不是我自己憑空想像作出來的
[00:01:43.200 --> 00:01:50.000]  而是很多的思想和研究背後出來的成果
[00:01:50.000 --> 00:01:52.600]  不知道大家預備好了沒有
[00:01:52.600 --> 00:01:53.600]  Ready or not
[00:01:53.600 --> 00:01:56.200]  我們現在就要去上路
[00:01:56.200 --> 00:02:01.400]  我們現在一起開始今天的聖經的歷期
[00:02:01.400 --> 00:02:04.200]  我們正在看的是撒姆爾記
[00:02:04.200 --> 00:02:09.400]  簡單來說撒姆爾記是一本關於三個人物的書卷
[00:02:09.400 --> 00:02:12.400]  第一個人物是撒姆爾
[00:02:12.400 --> 00:02:14.000]  他是以色列人的祭司
[00:02:14.000 --> 00:02:15.800]  以色列人的事司
[00:02:15.800 --> 00:02:17.400]  以色列人的先知
[00:02:17.400 --> 00:02:20.200]  不過最重要的角色可能是
[00:02:20.200 --> 00:02:25.400]  他是以色列人國裏面第一個造王者
[00:02:25.400 --> 00:02:27.600]  他是Kingmaker
[00:02:27.600 --> 00:02:32.000]  他造的第一個王是蘇羅
[00:02:32.000 --> 00:02:35.800]  這個是撒姆爾記裏面的第二個人物
[00:02:35.800 --> 00:02:38.400]  蘇羅高大威猛
[00:02:38.400 --> 00:02:39.600]  英俊瀟灑
[00:02:39.600 --> 00:02:43.800]  但是蘇羅不是上帝所揀選過的君王
[00:02:43.800 --> 00:02:49.000]  第三個人物先是整本撒姆爾記最終的主角
[00:02:49.000 --> 00:02:53.400]  或者最終的焦點人物
[00:02:53.400 --> 00:02:54.800]  是大威
[00:02:54.800 --> 00:02:56.800]  今天我講的聖經是
[00:02:56.800 --> 00:03:02.000]  撒姆爾記下第三章第17至第30節
[00:03:02.000 --> 00:03:04.200]  我所講的題目是
[00:03:04.200 --> 00:03:08.800]  造王者之叛逆帝國
[00:03:08.800 --> 00:03:11.600]  如果要用一句說話去總結
[00:03:11.600 --> 00:03:15.000]  剛才我們所讀的那段聖經
[00:03:15.000 --> 00:03:16.800]  我大概會這樣說
[00:03:16.800 --> 00:03:22.200]  公義的大威厭惡不義的虐壓
[00:03:22.200 --> 00:03:26.600]  公義的大威厭惡不義的虐壓
[00:03:26.600 --> 00:03:30.800]  我們可以將這段聖經分為三個片段
[00:03:30.800 --> 00:03:38.600]  第一個片段是氣憤的厄尼爾擁護大威為王
[00:03:38.600 --> 00:03:41.400]  我不知道你知不知道厄尼爾是誰
[00:03:41.400 --> 00:03:43.600]  如果你之前有讀過聖經
[00:03:43.600 --> 00:03:45.400]  或者之前有讀過前面的故事
[00:03:45.400 --> 00:03:47.400]  你會知道厄尼爾其實是
[00:03:47.400 --> 00:03:49.800]  蘇羅的堂兄弟
