
[00:00:00.000 --> 00:00:03.540]  各位兄弟姐妹,早晨!晚安!
[00:00:03.540 --> 00:00:08.640]  證明我真的開始老退化。
[00:00:08.640 --> 00:00:11.800]  很歡迎大家一起來敬拜神。
[00:00:11.800 --> 00:00:16.500]  無論你是在場的,或者在熒光幕前的,
[00:00:16.500 --> 00:00:19.240]  都願意大家同心敬拜。
[00:00:19.240 --> 00:00:21.800]  明天是母親節,
[00:00:21.800 --> 00:00:25.840]  我也是在這裏祝願天下的母親快樂。
[00:00:25.840 --> 00:00:29.540]  這不僅是我在節日裏的祝福,
[00:00:29.540 --> 00:00:34.000]  更加是在我自己來說,是我的心聲。
[00:00:34.000 --> 00:00:36.460]  媽媽,你好嗎?
[00:00:36.460 --> 00:00:39.600]  願你每天開心多一點。
[00:00:39.600 --> 00:00:43.840]  媽媽開心,我相信絕對是家裏的福氣。
[00:00:43.840 --> 00:00:49.000]  雖然我自己的媽媽已經離開了我,
[00:00:49.000 --> 00:00:51.160]  但是我還有另一個,
[00:00:51.160 --> 00:00:53.160]  我女兒的媽媽在我身邊。
[00:00:53.160 --> 00:00:58.100]  她開心,我也很幸福的。
[00:00:58.100 --> 00:01:01.960]  今天我分享的經文,是會從媽媽對孩子的影響,
[00:01:01.960 --> 00:01:04.660]  作爲一個分享的骨幹、重心。
[00:01:04.660 --> 00:01:09.500]  我們從這個角度來看,聖經在當中去呈現出,
[00:01:09.500 --> 00:01:14.900]  一個敬虔的人,屬靈生命,怎麼來培育出來。
[00:01:14.900 --> 00:01:18.960]  或者我們先去看我們的現實周圍,
[00:01:18.960 --> 00:01:23.900]  想一想父母對孩子的影響是怎樣的?
[00:01:23.900 --> 00:01:28.500]  在我們周遭認識的信仰羣體裏面,
[00:01:28.500 --> 00:01:31.660]  有澳洲一位朋友,
[00:01:31.660 --> 00:01:35.560]  那位胡歷克,他沒手沒腳,
[00:01:35.560 --> 00:01:39.660]  但是他成長,衝破很多艱難。
[00:01:39.660 --> 00:01:41.360]  除了他自己的努力之外,
[00:01:41.360 --> 00:01:44.660]  父母對他的栽培很重要。
[00:01:44.660 --> 00:01:47.160]  在我們的窩福羣體,
[00:01:47.160 --> 00:01:49.960]  無論是陰苗孩子、Avana孩子,
[00:01:49.960 --> 00:01:55.760]  或者是我們的兒主裏面的各個大大小小的孩子,
[00:01:55.760 --> 00:01:58.360]  上帝都讓他們在我們當中,
[00:01:58.360 --> 00:02:00.960]  去看到一個在他們的生命裏面,
[00:02:00.960 --> 00:02:04.960]  會呈現出無限的可能。
[00:02:04.960 --> 00:02:09.360]  所以父母對孩子的影響是非常之重要。
[00:02:09.360 --> 00:02:12.360]  比較對於父親來說,
[00:02:12.360 --> 00:02:16.060]  我自己對媽媽有一份很特別的感情,
[00:02:16.060 --> 00:02:20.260]  那份熱度,那份親密度總是高一些的。
[00:02:20.260 --> 00:02:24.860]  我不肯定這樣分別是否自然而來,
[00:02:24.860 --> 00:02:28.360]  或者是因爲後天媽媽疼我多一些,
[00:02:28.360 --> 00:02:31.760]  被我欺負得多一些,所以我對她好一些。
[00:02:31.760 --> 00:02:35.560]  總之,媽媽很多時候留給我的思念,
[00:02:35.560 --> 00:02:40.460]  比較多是我虧欠了她,我欺負她的多。
[00:02:40.460 --> 00:02:46.660]  因爲她是在我們家裏面扶持最多的位置。
[00:02:46.660 --> 00:02:48.260]  不知道你們又會怎樣呢?
[00:02:48.260 --> 00:02:50.860]  試着閉上你們的眼睛,
[00:02:50.860 --> 00:02:54.360]  閉上你們的眼睛,
[00:02:54.360 --> 00:02:59.460]  想一想媽媽在你們的眼前會是怎樣呢?
[00:02:59.460 --> 00:03:03.460]  你的心情是會怎樣呢?
[00:03:03.460 --> 00:03:08.960]  我呢,就會唱一首歌。
[00:03:08.960 --> 00:03:13.860]  世上只有媽媽好,
[00:03:13.860 --> 00:03:18.660]  有媽的孩子像個寶,
