
[00:00:00.000 --> 00:00:02.260]  我想請大家想一想
[00:00:02.260 --> 00:00:05.960]  上一次你發自內心的大笑是大笑
[00:00:05.960 --> 00:00:08.340]  是何時呢?
[00:00:08.340 --> 00:00:09.760]  想一想
[00:00:09.760 --> 00:00:11.840]  咦 已經立即笑了
[00:00:11.840 --> 00:00:12.800]  好
[00:00:12.800 --> 00:00:14.640]  我不經常大笑的
[00:00:14.640 --> 00:00:15.800]  是大笑
[00:00:15.800 --> 00:00:18.800]  最近一次是差不多兩個月前了
[00:00:18.800 --> 00:00:20.600]  在社子樓
[00:00:20.600 --> 00:00:22.040]  教會的社子樓
[00:00:22.040 --> 00:00:23.200]  倒水
[00:00:23.200 --> 00:00:28.200]  倒完水之後就一邊喝一邊走
[00:00:28.200 --> 00:00:32.860]  發現有兩個人在做同一個動作
[00:00:32.860 --> 00:00:36.660]  就是拿著一條粟米
[00:00:36.660 --> 00:00:37.760]  一雙眼睛
[00:00:37.760 --> 00:00:38.900]  即是四隻眼睛
[00:00:38.900 --> 00:00:40.240]  兩雙眼睛
[00:00:40.240 --> 00:00:44.440]  定睛地很關注地看著我
[00:00:44.440 --> 00:00:47.260]  就像是被人點了月 停了一樣
[00:00:47.260 --> 00:00:49.400]  就是這樣
[00:00:49.400 --> 00:00:50.740]  感應得到吧
[00:00:50.740 --> 00:00:51.660]  OK
[00:00:51.660 --> 00:00:52.540]  那麼
[00:00:52.540 --> 00:00:55.400]  我真的看到他們這麼可愛的樣子
[00:00:55.400 --> 00:00:58.500]  不期然我就真的大笑出來了
[00:00:58.500 --> 00:01:00.340]  但是我是在喝水的
[00:01:00.340 --> 00:01:03.640]  所以差一點把水噴了出來
[00:01:03.640 --> 00:01:07.260]  喝完水之後我仍然停止不了大笑
[00:01:07.260 --> 00:01:08.500]  我就在想
[00:01:08.500 --> 00:01:10.960]  在想為什麼我會大笑呢
[00:01:10.960 --> 00:01:12.400]  我想跟大家分享就是
[00:01:12.400 --> 00:01:15.560]  大笑之後我的感覺是怎麼樣
[00:01:15.560 --> 00:01:17.860]  我真的好像有一種釋放的感覺
[00:01:17.860 --> 00:01:20.540]  好像被人關懷那種感受
[00:01:20.540 --> 00:01:24.540]  豁然開朗那種心情
[00:01:24.540 --> 00:01:26.400]  大家不要小看大笑
[00:01:26.400 --> 00:01:29.200]  大笑是有五個好處的
[00:01:29.200 --> 00:01:29.840]  第一個
[00:01:29.840 --> 00:01:30.700]  釋放壓力
[00:01:30.700 --> 00:01:32.560]  增強免疫力
[00:01:32.560 --> 00:01:35.260]  促進血液的健康
[00:01:35.260 --> 00:01:36.260]  燃燒卡路里
[00:01:36.260 --> 00:01:39.160]  以及延長壽命
[00:01:39.160 --> 00:01:42.540]  在當中我領略到一種的味
[00:01:42.540 --> 00:01:44.000]  當然不是我的男人味
[00:01:44.000 --> 00:01:45.400]  很厲害
[00:01:45.400 --> 00:01:47.300]  去吸引到那兩個肢體
[00:01:47.300 --> 00:01:49.560]  即是兩個同事去看著我
[00:01:49.560 --> 00:01:52.360]  而是一種人情味
[00:01:52.360 --> 00:01:56.060]  一種人情味是人與人之間的關係
[00:01:56.060 --> 00:01:57.640]  所不能夠缺少的
[00:01:57.640 --> 00:01:59.340]  而這個也是我今天
[00:01:59.340 --> 00:02:02.200]  跟大家分享的一個主線
[00:02:02.200 --> 00:02:04.160]  先說說藥書
[00:02:04.160 --> 00:02:06.060]  人情味
[00:02:06.060 --> 00:02:08.060]  先說說藥書
[00:02:08.060 --> 00:02:10.160]  在神攀布十誡之後
[00:02:10.160 --> 00:02:13.900]  即刻向以色列人所立的典章律例
[00:02:13.900 --> 00:02:16.300]  一般學者認為範圍
[00:02:16.300 --> 00:02:20.600]  就在這兩節經文的中間
[00:02:20.600 --> 00:02:22.860]  我們先看看兩節的經文
[00:02:22.860 --> 00:02:25.200]  第一節的經文
[00:02:25.200 --> 00:02:26.060]  出在一級記
[00:02:26.060 --> 00:02:27.560]  二一章一節
[00:02:27.560 --> 00:02:32.060]  你在百姓面前所立的典章是這樣
[00:02:32.060 --> 00:02:34.660]  接著到二十四章七節
[00:02:34.660 --> 00:02:39.100]  摩西去跟他們唸藥書
[00:02:39.100 --> 00:02:40.300]  聖經這樣說
[00:02:40.300 --> 00:02:44.360]  又將藥書唸給百姓聽
[00:02:44.360 --> 00:02:46.960]  分別提到典章和藥書
[00:02:46.960 --> 00:02:48.800]  所以我們可以看到當中
[00:02:48.800 --> 00:02:51.900]  藥書可以等同是典章
[00:02:51.900 --> 00:02:54.860]  那麼典章是什麼呢
[00:02:54.860 --> 00:02:56.760]  典章說的是一些審判
[00:02:56.760 --> 00:03:01.500]  判決法律量刑的含義
[00:03:01.500 --> 00:03:03.860]  是指一些審判的準則
[00:03:03.860 --> 00:03:05.660]  當中的判例
[00:03:05.660 --> 00:03:06.760]  案例法
[00:03:06.760 --> 00:03:11.960]  即是可以等同一個國家的一些律法
[00:03:11.960 --> 00:03:15.400]  大家可以當十誡是一個大原則
[00:03:15.400 --> 00:03:18.260]  而藥書是日常生活的細則
[00:03:18.260 --> 00:03:20.360]  以及應用
[00:03:20.360 --> 00:03:23.360]  藥書可以分為兩個類別
[00:03:23.360 --> 00:03:25.600]  第一個類別就是民事律法
[00:03:25.600 --> 00:03:27.660]  或者是一些社會的責任
