
[00:00:00.000 --> 00:00:03.440]  當你讀舊約聖經讀到有關繪幕的時候
[00:00:03.440 --> 00:00:05.320]  你就很想快點飛走了
[00:00:05.320 --> 00:00:07.000]  那幾章不用看的
[00:00:07.000 --> 00:00:08.760]  跟我很幸運無關一樣
[00:00:08.760 --> 00:00:10.680]  而且那些甚麼尺寸
[00:00:10.680 --> 00:00:12.200]  很詳細
[00:00:12.200 --> 00:00:14.600]  好像一片一片的
[00:00:14.600 --> 00:00:15.960]  不是的
[00:00:15.960 --> 00:00:17.560]  原來當我讀繪幕
[00:00:17.560 --> 00:00:19.080]  越深入去讀
[00:00:19.080 --> 00:00:21.760]  我就很大開眼界
[00:00:21.760 --> 00:00:25.080]  原來所有這些詳細的指示
[00:00:25.080 --> 00:00:29.000]  都是預表耶穌基督的救贖
[00:00:29.000 --> 00:00:31.880]  原來神的安排真的很奇妙
[00:00:31.880 --> 00:00:33.760]  在幾千年前
[00:00:33.760 --> 00:00:35.920]  當以色列人出埃及的時候
[00:00:35.920 --> 00:00:38.680]  他已經在西乃山上面
[00:00:38.680 --> 00:00:40.960]  將這個繪幕的樣式
[00:00:40.960 --> 00:00:43.560]  很詳細的指示摩西
[00:00:43.560 --> 00:00:45.600]  然後摩西下山之後
[00:00:45.600 --> 00:00:47.800]  就教導以色列人
[00:00:47.800 --> 00:00:50.680]  怎樣按照山上的樣式
[00:00:50.680 --> 00:00:52.360]  來建造繪幕
[00:00:52.360 --> 00:00:53.480]  第一樣
[00:00:53.480 --> 00:00:58.200]  建造繪幕必須照著山上的樣式
[00:00:58.200 --> 00:00:59.880]  神怎樣指示
[00:00:59.880 --> 00:01:01.320]  我們就怎樣做
[00:01:01.320 --> 00:01:03.360]  這個都成為今天我們基督徒
[00:01:03.360 --> 00:01:06.080]  生活的一個模式
[00:01:06.080 --> 00:01:08.760]  請問你生活各樣的東西
[00:01:08.760 --> 00:01:11.840]  是否按照聖經的教導
[00:01:11.840 --> 00:01:13.560]  你所行的一切
[00:01:13.560 --> 00:01:15.840]  是否合乎神的心意
[00:01:15.840 --> 00:01:17.160]  今天我們每個基督徒
[00:01:17.160 --> 00:01:18.840]  時時都要問自己
[00:01:18.840 --> 00:01:22.320]  我是否行在神的心意當中
[00:01:22.320 --> 00:01:26.280]  我是否合乎神的心意而行
[00:01:26.280 --> 00:01:27.320]  第二樣
[00:01:27.320 --> 00:01:31.400]  在差及記第二十四章臨結束的時候
[00:01:31.400 --> 00:01:33.800]  就描寫神照摩西
[00:01:33.800 --> 00:01:36.080]  上到西乃山上面
[00:01:36.080 --> 00:01:40.840]  神就用雲彩遮蓋西乃山
[00:01:40.840 --> 00:01:43.560]  於是那些會眾就見到
[00:01:43.560 --> 00:01:47.040]  神的榮耀彰顯在山上面
[00:01:47.040 --> 00:01:48.920]  神的榮耀好像什麼呢
[00:01:48.920 --> 00:01:51.000]  好像烈火一樣
[00:01:51.000 --> 00:01:54.920]  好像山上著了火一樣
[00:01:54.920 --> 00:01:59.080]  神的雲彩就圍繞在山上面
[00:01:59.080 --> 00:02:03.200]  摩西上了山四十周夜這麼久
[00:02:03.200 --> 00:02:05.000]  這個代表什麼呢
[00:02:05.000 --> 00:02:09.920]  原來神的榮耀要充滿
[00:02:09.920 --> 00:02:13.840]  在以色列人一個象徵的裡面
[00:02:13.840 --> 00:02:16.680]  就充滿在西乃山上面
[00:02:16.680 --> 00:02:18.040]  而會幕
[00:02:18.040 --> 00:02:20.200]  當會幕建好了之後
[00:02:20.200 --> 00:02:22.600]  起初在及記四十章
[00:02:22.600 --> 00:02:25.160]  當整個會幕立好了之後
[00:02:25.160 --> 00:02:31.640]  神的榮耀就充滿在會幕當中
[00:02:31.640 --> 00:02:34.680]  這個有一個很重要的預表
[00:02:34.680 --> 00:02:39.360]  原來神的榮耀就代表神的臨在
[00:02:39.360 --> 00:02:41.240]  榮耀這個字
