
[00:00:00.000 --> 00:00:01.520]  鼎智梅平安
[00:00:01.520 --> 00:00:06.500]  不知道大家的人生有沒有經歷過
[00:00:06.500 --> 00:00:09.860]  為了一些目標或者理想
[00:00:09.860 --> 00:00:13.360]  又或者一些事奉上面的立志
[00:00:13.360 --> 00:00:16.220]  做過都頗多事
[00:00:16.220 --> 00:00:19.360]  還以為都頗成功
[00:00:19.360 --> 00:00:22.400]  怎知到頭來
[00:00:22.400 --> 00:00:25.460]  卻是一點果效都沒有
[00:00:25.460 --> 00:00:29.740]  甚至看來是一敗塗地
[00:00:30.060 --> 00:00:35.480]  不知道有無立過這些目標
[00:00:35.480 --> 00:00:40.760]  不知道你事奉的生涯是否如何
[00:00:40.760 --> 00:00:47.620]  我們很多時候事奉的人往往都會這樣否定自己
[00:00:47.620 --> 00:00:51.140]  都見得到事奉了這麼多年
[00:00:51.140 --> 00:00:55.020]  好像沒有甚麼改變
[00:00:55.360 --> 00:01:01.160]  很多時候經歷這些經歷都是叫人沮喪
[00:01:01.160 --> 00:01:05.080]  質疑自己是否所作的都是途然
[00:01:05.080 --> 00:01:08.040]  做這麼多事是否都是白費
[00:01:08.040 --> 00:01:10.780]  甚至懷疑自己有沒有走錯路
[00:01:10.780 --> 00:01:14.160]  甚至否定自己的信仰
[00:01:14.160 --> 00:01:17.600]  更加有人放棄自己的信仰
[00:01:17.600 --> 00:01:21.860]  今日我和大家分享的經文是《先知義利亞》
[00:01:21.860 --> 00:01:24.460]  正正面對這個光景
[00:01:24.460 --> 00:01:28.140]  盼望我們都藉著上帝給予的指引和教導
[00:01:28.140 --> 00:01:31.320]  就成為了我們面對所認定
[00:01:31.320 --> 00:01:36.840]  特別在神面前曾經立志禱告的志向
[00:01:36.840 --> 00:01:40.400]  似乎在自己否定之際
[00:01:40.400 --> 00:01:44.240]  作為我們的亮光和啟力
[00:01:44.240 --> 00:01:46.540]  其實整件事
[00:01:46.540 --> 00:01:49.680]  剛才我們讀都有十九字的經文
[00:01:49.680 --> 00:01:50.680]  講些甚麼呢
[00:01:50.680 --> 00:01:57.400]  先知義利亞就是以色列王將先知義利亞所作的一切事
[00:01:57.400 --> 00:02:05.220]  包括上次和大家分享的經文
[00:02:05.220 --> 00:02:08.300]  就是在加密山殺敗巴力先知
[00:02:08.300 --> 00:02:10.400]  這個事就告訴他太太
[00:02:10.400 --> 00:02:12.360]  即是皇后耶穌別知
[00:02:12.360 --> 00:02:17.700]  這個女士定義加賀爾利亞
[00:02:17.700 --> 00:02:23.500]  派人去向義利亞犯最後通牒
[00:02:23.500 --> 00:02:27.740]  義利亞收到後逃離耶律師的現場
[00:02:27.740 --> 00:02:30.880]  走到猶大別士巴
[00:02:30.880 --> 00:02:33.580]  再走一日路程去到曠野地
[00:02:33.580 --> 00:02:35.860]  停在來藤樹下
[00:02:35.860 --> 00:02:40.460]  向堯華求死躺平
[00:02:40.460 --> 00:02:43.820]  後來天使供給他食物
[00:02:43.820 --> 00:02:47.940]  對他說話問他
[00:02:47.940 --> 00:02:51.340]  他吃了這些食物之後
[00:02:51.340 --> 00:02:56.540]  仗著飲食的力量就走了四十晝夜去到荷列山
[00:02:56.540 --> 00:02:57.840]  進了一個洞
[00:02:57.840 --> 00:03:00.080]  荷列山的神就臨到他
[00:03:00.080 --> 00:03:04.640]  對他說話問他來到的因由
[00:03:04.640 --> 00:03:07.720]  神也在他面前經過
[00:03:07.720 --> 00:03:10.120]  讓義利亞站在他面前
[00:03:10.120 --> 00:03:14.060]  然後就吩咐他日後所要做的事情
[00:03:14.060 --> 00:03:18.200]  接著義利亞就開始去到完成這些事情
[00:03:18.200 --> 00:03:20.860]  我們就要問一個問題
[00:03:20.860 --> 00:03:24.000]  其實作者想透過這件事
[00:03:24.000 --> 00:03:26.940]  去到傳遞一個什麼樣的訊息
[00:03:26.940 --> 00:03:29.140]  可能最多人會說
[00:03:29.140 --> 00:03:32.300]  這裏就是義利亞靈性枯竭
[00:03:32.300 --> 00:03:38.440]  大聖過後靈性突然之間跌了下來
[00:03:38.440 --> 00:03:44.020]  應該這樣說
[00:03:44.020 --> 00:03:52.320]  義利亞的靈性枯竭其實對於讀者的意義是什麼呢
[00:03:52.320 --> 00:03:57.140]  作者是不是真的去到講靈性枯竭這件事呢
[00:03:57.140 --> 00:04:05.640]  還是作者透過義利亞的經歷去講出一些訊息呢
[00:04:05.640 --> 00:04:09.720]  如果我們單是看這一章的經文
[00:04:09.720 --> 00:04:15.520]  我想大家可能只是看到靈性枯竭這件事
[00:04:15.520 --> 00:04:19.660]  當然靈性枯竭有人的教導就好像義利亞
[00:04:19.660 --> 00:04:21.460]  「食同埋瞓」
[00:04:21.460 --> 00:04:27.460]  但是又好像「食同埋瞓」太久又好像不行
[00:04:27.460 --> 00:04:29.300]  又或者是出不了關
[00:04:29.300 --> 00:04:36.200]  究竟這一段經文是不是真的講對付靈性枯竭呢
[00:04:36.200 --> 00:04:41.320]  如果我們只是看著第十九章的時候
[00:04:41.320 --> 00:04:44.140]  我們就發現我們找不到
[00:04:44.140 --> 00:04:48.480]  我們必須要連繫著第十八章
[00:04:48.480 --> 00:04:57.960]  其實上次我們看過第十七章
[00:04:57.960 --> 00:04:59.620]  以及第十八章
[00:04:59.620 --> 00:05:06.200]  其實十七到十八章的背景就是耶和華和巴力大戰
[00:05:06.200 --> 00:05:10.840]  本來我們上次就講到那個訊息是耶和華是神
[00:05:10.840 --> 00:05:16.720]  就講到其實十七、十八章的大戰的罪曲
[00:05:16.720 --> 00:05:24.600]  就是阿哈娶了西頓的公主耶西別
[00:05:24.600 --> 00:05:27.240]  做了以色列的女王
[00:05:27.240 --> 00:05:33.520]  就把巴力引入了以色列的中心做敬拜
[00:05:33.520 --> 00:05:35.920]  所以這個就是那個罪曲
[00:05:35.920 --> 00:05:39.640]  接著我們就說這個開始就有這個大戰
[00:05:39.640 --> 00:05:41.520]  那個大戰的代表是什麼呢
[00:05:41.520 --> 00:05:43.560]  就是以利亞代表耶和華
[00:05:43.560 --> 00:05:45.560]  阿哈代表巴力
[00:05:45.560 --> 00:05:47.800]  那麼大戰的戰場在哪裏呢
[00:05:47.800 --> 00:05:53.400]  以色列地當然因為從西頓引入來撒馬尼亞
[00:05:53.400 --> 00:05:55.160]  所以是以色列地
