
[00:00:00.000 --> 00:00:01.480]  頂著門平安
[00:00:01.480 --> 00:00:05.240]  新的一年都祝福大家福輝滿日
[00:00:05.240 --> 00:00:08.680]  祝福大家永不失腳
[00:00:08.680 --> 00:00:12.400]  可能你會問為什麼會祝福大家永不失腳呢
[00:00:12.400 --> 00:00:16.160]  我發覺在這段時間特別去留意一下
[00:00:16.160 --> 00:00:19.960]  其實每次坐鐵路的時間
[00:00:19.960 --> 00:00:23.440]  鐵路當在一些電動樓梯裡面
[00:00:23.440 --> 00:00:27.240]  不停都播放著叫大家不要低頭
[00:00:27.240 --> 00:00:28.680]  只看著手機
[00:00:28.680 --> 00:00:30.920]  叫大家走的時候要小心
[00:00:30.920 --> 00:00:33.160]  小心跌倒
[00:00:33.160 --> 00:00:34.880]  剛剛在前幾天
[00:00:34.880 --> 00:00:36.600]  如果大家有留意
[00:00:36.600 --> 00:00:39.240]  在鐵路站其中一個站
[00:00:39.240 --> 00:00:40.520]  應該是屯馬線
[00:00:40.520 --> 00:00:44.880]  有位女士失腳
[00:00:44.880 --> 00:00:46.080]  她走的時候
[00:00:46.080 --> 00:00:52.200]  我不知道是不是月台和車中間的闊度太闊
[00:00:52.200 --> 00:00:54.320]  她差不多整個人摔下去
[00:00:54.320 --> 00:00:56.440]  然後就令到車子停頓
[00:00:56.440 --> 00:00:59.880]  要消防員去救她
[00:00:59.880 --> 00:01:01.520]  同時間在前幾天
[00:01:01.520 --> 00:01:04.120]  如果大家有留意新聞的話
[00:01:04.120 --> 00:01:07.360]  我很記得有兩父女去行山
[00:01:07.360 --> 00:01:10.120]  和太太一起行山
[00:01:10.120 --> 00:01:12.000]  女兒掛著拍照
[00:01:12.000 --> 00:01:13.520]  然後就失足
[00:01:13.520 --> 00:01:15.960]  然後就掉到海裡
[00:01:15.960 --> 00:01:17.800]  一個71歲的爸爸
[00:01:17.800 --> 00:01:19.880]  馬上跳到海裡去救女兒
[00:01:19.880 --> 00:01:21.600]  最後就遇溺
[00:01:21.600 --> 00:01:26.200]  一件很可悲的事件
[00:01:26.200 --> 00:01:30.360]  我知道有些社區
[00:01:30.360 --> 00:01:31.840]  有些教會
[00:01:31.840 --> 00:01:33.600]  其實搞一些活動
[00:01:33.600 --> 00:01:37.400]  去教老人家怎樣走不要跌
[00:01:37.400 --> 00:01:39.800]  因為往往當跌倒的時候
[00:01:39.800 --> 00:01:43.400]  其實有很多老人家跌倒的時候
[00:01:43.400 --> 00:01:46.440]  其實都令到出現很多問題
[00:01:46.440 --> 00:01:50.120]  所以教他們防跌防滑不要跌的時候
