
[00:00:00.000 --> 00:00:02.600]  各位姐妹,我們又讀聖經了
[00:00:02.600 --> 00:00:07.080]  今天是耶和華的使者呼召機典
[00:00:07.080 --> 00:00:09.320]  講呼召,大家留意了
[00:00:09.320 --> 00:00:12.080]  看看神會不會呼召你
[00:00:12.080 --> 00:00:17.200]  聖經人聖經時,看看上帝背後在人與事之間做些什麼
[00:00:17.200 --> 00:00:20.080]  在生命樹宣教網絡為大家提供的
[00:00:20.080 --> 00:00:24.160]  耶和華的使者呼召機典
[00:00:24.160 --> 00:00:30.840]  史詩記第六章,耶和華的使者到了訛佛拉
[00:00:30.840 --> 00:00:39.280]  坐定,坐在亞比爾者族人約阿斯的橡樹下
[00:00:39.280 --> 00:00:41.600]  講這些做什麼呢?
[00:00:41.600 --> 00:00:45.360]  就是來到機典的家
[00:00:45.360 --> 00:00:49.400]  也就是說,耶和華的使者來的時候
[00:00:49.400 --> 00:00:53.400]  是不是預先已經想定,選定了一個人了
[00:00:53.400 --> 00:00:56.680]  是的,所以他一去就去到哪裡呢?
[00:00:56.680 --> 00:00:59.360]  就去到訛佛拉這個地方
[00:00:59.360 --> 00:01:05.360]  就坐在亞比爾者族約阿斯的橡樹
[00:01:05.360 --> 00:01:08.760]  就是他自己住的地方的原地
[00:01:08.760 --> 00:01:13.160]  約阿斯的兒子,約阿斯的兒子就叫做機典
[00:01:13.160 --> 00:01:17.880]  機典正在酒駕那裡打麥子
[00:01:17.880 --> 00:01:20.400]  說要防備米電人
[00:01:20.400 --> 00:01:23.560]  這麼有趣,要解釋一下
[00:01:23.560 --> 00:01:27.400]  這一節有很多東西要說
[00:01:27.400 --> 00:01:30.080]  在這裡,耶和華的使者
[00:01:30.080 --> 00:01:33.320]  我們一看耶和華的使者就會想
[00:01:33.320 --> 00:01:37.440]  神的天使來到了
[00:01:37.440 --> 00:01:41.320]  很有可能特別在舊約聖經
[00:01:41.320 --> 00:01:44.920]  耶和華的使者很多時候不是天使
[00:01:44.920 --> 00:01:50.720]  是耶和華本身的一個代表
[00:01:50.720 --> 00:01:57.280]  是代表著耶和華本身來到這裡
[00:01:57.280 --> 00:02:01.240]  用一個叫做使者的身份出現的
[00:02:01.240 --> 00:02:04.880]  你知道上帝使靈是沒有一個肉身的
[00:02:04.880 --> 00:02:07.120]  祂來到跟人說話
[00:02:07.120 --> 00:02:08.920]  很多時候祂會現身
[00:02:08.920 --> 00:02:11.480]  祂用一個耶和華的使者
[00:02:11.480 --> 00:02:14.360]  這樣來現身跟我們說話的
[00:02:14.360 --> 00:02:16.360]  這個耶和華的使者在今次
[00:02:16.360 --> 00:02:19.200]  我比較從祂的下文看
[00:02:19.200 --> 00:02:21.640]  祂比較像,語氣等等
[00:02:21.640 --> 00:02:24.880]  比較像是耶和華本身
[00:02:24.880 --> 00:02:26.680]  神不如簡單說
[00:02:26.680 --> 00:02:31.080]  上帝來到俄弗拉坐定在這裡
[00:02:31.080 --> 00:02:34.720]  坐在機典的門口,橡樹那裡
