
[00:00:00.000 --> 00:00:02.000]  阿英姐妹們,平安!
[00:00:02.000 --> 00:00:07.640]  很多的明星、歌星被奉為男神或者女神
[00:00:07.640 --> 00:00:12.660]  我不知道你們心目中有沒有男神或者女神
[00:00:12.660 --> 00:00:17.800]  在粉絲的心目中是完美的化身
[00:00:17.800 --> 00:00:22.660]  一旦這個神級的偶像被揭發一些醜聞
[00:00:22.660 --> 00:00:28.500]  就會破壞了粉絲他們心目中的完美形象
[00:00:28.500 --> 00:00:31.480]  今天的講題是「聖人都有錯」
[00:00:31.480 --> 00:00:34.800]  這句俗語大家都聽過了
[00:00:34.800 --> 00:00:38.500]  一個品格很高尚的人
[00:00:38.500 --> 00:00:41.140]  在別人眼中就像聖人一樣
[00:00:41.140 --> 00:00:45.540]  不過也不是完美無瑕,也一樣會犯錯
[00:00:45.540 --> 00:00:50.680]  告訴你,我們有時候不要對人的期望太高
[00:00:50.680 --> 00:00:54.580]  我們會對某些人,某些身份地位
[00:00:54.580 --> 00:00:59.740]  或者某些職業的人會有很高的期望
[00:00:59.740 --> 00:01:04.600]  可能對他的道德操守、品格有些期望
[00:01:04.600 --> 00:01:14.000]  譬如教師、牧師、醫師,什麼什麼,有些期望
[00:01:14.000 --> 00:01:19.840]  當然現在大家對一些政客的期望未必很高
[00:01:19.840 --> 00:01:22.760]  現在美國大選,即將到來這個星期
[00:01:22.760 --> 00:01:29.140]  我不知道大家對特朗普的道德操守有沒有什麼期望呢?
[00:01:29.140 --> 00:01:36.980]  最近有一套電影照片,講述他的年少創業的故事
[00:01:36.980 --> 00:01:41.600]  我們都會對一些人有期望
[00:01:41.600 --> 00:01:46.520]  又或者有時候倒過來,我們對自己有些期望
[00:01:46.520 --> 00:01:51.200]  覺得自己也不錯,做得不錯
[00:01:51.200 --> 00:01:55.840]  有些人會覺得自己是高人一等
[00:01:55.840 --> 00:02:01.300]  但是原來真的不會有一個完美的人
[00:02:01.300 --> 00:02:05.520]  我們一路看《文素記》,也看過幾次關於摩西
[00:02:05.520 --> 00:02:07.800]  上次和再之前的一次
[00:02:07.800 --> 00:02:11.440]  摩西被稱為神人
[00:02:11.440 --> 00:02:15.760]  但是其實神人也好,聖人也好
[00:02:15.760 --> 00:02:18.520]  都一樣會有犯錯的時候
[00:02:18.520 --> 00:02:22.400]  今天的經文告訴我們一個表面上很小的錯
[00:02:22.400 --> 00:02:25.680]  但是結果是鑄成了大錯
[00:02:25.680 --> 00:02:31.700]  剛才我們讀的經文又是講到關於以色列人的埋怨
[00:02:31.700 --> 00:02:35.500]  沒有什麼新意,因為我們看了大半《文素記》
[00:02:35.500 --> 00:02:39.200]  經常看到以色列人埋怨,大家都看到厭
[00:02:39.200 --> 00:02:42.600]  其實也在反映他們是很硬心的人
[00:02:42.600 --> 00:02:46.280]  忘記神的恩典,經常都是這樣
[00:02:46.280 --> 00:02:48.700]  現在來到第20章
[00:02:48.700 --> 00:02:53.520]  我們之前看過,他們其實是在曠野漂流40年
