
[00:00:00.000 --> 00:00:02.500]  那是最好的時代
[00:00:02.500 --> 00:00:06.000]  那是最壞的時代
[00:00:06.000 --> 00:00:09.500]  那是智慧的時代
[00:00:09.500 --> 00:00:13.000]  那是愚蠢的時代
[00:00:13.000 --> 00:00:16.500]  那是信任的時代
[00:00:16.500 --> 00:00:19.500]  那是懷疑的時代
[00:00:19.500 --> 00:00:23.500]  那是光明的季節
[00:00:23.500 --> 00:00:27.000]  那是黑暗的季節
[00:00:27.500 --> 00:00:30.000]  那是希望之春
[00:00:30.000 --> 00:00:33.500]  那是絕望之冬
[00:00:33.500 --> 00:00:36.500]  我們應有盡有
[00:00:36.500 --> 00:00:40.000]  我們一無所有
[00:00:40.000 --> 00:00:45.500]  這段說話是出自英國作家迪根斯
[00:00:45.500 --> 00:00:51.500]  他在十八世紀以法國大革命為背景的
[00:00:51.500 --> 00:00:55.000]  《雙城記》的第一段說話
[00:00:55.500 --> 00:01:00.500]  這段說話不單可以用在十八世紀的法國
[00:01:00.500 --> 00:01:03.500]  這段說話也可以應用在
[00:01:03.500 --> 00:01:07.000]  《釋詩記》所反映的時代
[00:01:07.000 --> 00:01:11.000]  甚至對我們的時代都很貼切
[00:01:11.000 --> 00:01:16.500]  恐怕你記不起《釋詩記》是發生在哪一個時代
[00:01:16.500 --> 00:01:19.000]  所以簡略講一兩句
[00:01:19.000 --> 00:01:22.000]  《釋詩記》的時代是指
[00:01:22.500 --> 00:01:25.500]  約書亞帶領以色列人
[00:01:25.500 --> 00:01:30.000]  由公元前十三世紀進入迦南地之後
[00:01:30.000 --> 00:01:35.500]  一直到由撒姆爾在十一世紀
[00:01:35.500 --> 00:01:40.500]  迫不得已要立數羅做王之前
[00:01:40.500 --> 00:01:42.500]  這一段時間
[00:01:42.500 --> 00:01:46.000]  有人說得長些,有人說得短些
[00:01:46.000 --> 00:01:49.000]  但是一百八十年至二百年
[00:01:49.500 --> 00:01:52.500]  這個時間就走不掉了
[00:01:52.500 --> 00:01:58.000]  《釋詩記》是在這個時代做領袖的人物
[00:01:58.000 --> 00:02:02.000]  有點像我們領導人的角色
[00:02:02.000 --> 00:02:06.500]  而《釋詩記》領導的時代有一些特徵
[00:02:06.500 --> 00:02:10.000]  其實我們讀過的經文上下
[00:02:10.000 --> 00:02:12.500]  我們沒有讀到,也有幾節
[00:02:12.500 --> 00:02:17.000]  提及當時以色列之中沒有王
[00:02:17.500 --> 00:02:20.000]  就各人任意而行
[00:02:20.000 --> 00:02:22.000]  這是和合館的譯法
[00:02:22.000 --> 00:02:24.000]  剛才讀的新譯本的說法就是
[00:02:24.000 --> 00:02:28.000]  行自己眼中看為對的事
[00:02:28.000 --> 00:02:30.500]  就好像今天自由主義
[00:02:30.500 --> 00:02:33.000]  我看到什麼是對的,我就去做
[00:02:33.000 --> 00:02:35.000]  就是這個時代的特徵
[00:02:35.000 --> 00:02:37.000]  不一定是差的
[00:02:37.000 --> 00:02:41.000]  我們人人都是在我們眼中看為好的,我們就去做
[00:02:41.000 --> 00:02:43.500]  很視乎主流的價值是怎樣
[00:02:44.000 --> 00:02:47.500]  第二個時代的特徵就是道德敗壞
[00:02:47.500 --> 00:02:52.500]  聖經甚至形容他們是罪大惡極的處境
[00:02:52.500 --> 00:02:56.500]  無論做偶像,拜偶像,剛才我們讀到的
[00:02:56.500 --> 00:03:02.500]  不孝敬父母,殺人,偷東西,貪別人的東西
[00:03:02.500 --> 00:03:07.500]  其實十誡講的一半以上,他們都犯了
[00:03:07.500 --> 00:03:12.500]  然後社會比較混亂是第三個處境
