
[00:00:00.000 --> 00:00:04.320]  好了,今天我們來到最後一課
[00:00:04.320 --> 00:00:06.000]  愛回家的系列
[00:00:06.000 --> 00:00:09.120]  我想跟大家首先去讀一段經文
[00:00:09.120 --> 00:00:11.560]  如果你有你的電子聖經
[00:00:11.560 --> 00:00:14.240]  你有很罕有的
[00:00:14.240 --> 00:00:16.400]  還有沒有人用一本聖經的現在?
[00:00:16.400 --> 00:00:17.160]  有沒有?
[00:00:17.160 --> 00:00:19.800]  有舉一舉,拿出來,即是舉
[00:00:19.800 --> 00:00:22.640]  今天我們會讀三節的經文
[00:00:22.640 --> 00:00:23.480]  十一、十二
[00:00:23.480 --> 00:00:25.320]  已不鎖書第六章
[00:00:25.320 --> 00:00:28.760]  Efficiency, Chapter 6, 10-12
[00:00:28.760 --> 00:00:32.880]  看看這段經文,如果沒有就看螢光幕
[00:00:32.880 --> 00:00:36.320]  聽我讀
[00:00:36.320 --> 00:00:37.440]  神的話語這樣說
[00:00:37.440 --> 00:00:39.320]  「我還有無聊的話
[00:00:39.320 --> 00:00:43.400]  你們要依賴神的大能大力
[00:00:43.400 --> 00:00:45.160]  作剛強的人
[00:00:45.160 --> 00:00:48.680]  要穿戴神所賜的全副軍裝
[00:00:48.680 --> 00:00:52.400]  就能抵擋魔鬼的詭計
[00:00:52.400 --> 00:00:56.000]  因為我們不是與血氣的爭戰
[00:00:56.000 --> 00:01:00.120]  乃是與管轄者幽暗世界
[00:01:00.120 --> 00:01:07.240]  屬靈氣的惡魔去爭戰」
[00:01:07.240 --> 00:01:08.840]  先問一下大家一些問題
[00:01:08.840 --> 00:01:10.560]  計數題
[00:01:10.560 --> 00:01:13.960]  一天有多少小時?
[00:01:13.960 --> 00:01:15.720]  馬上問一天有多少小時
[00:01:15.720 --> 00:01:16.640]  突然不知道
[00:01:16.640 --> 00:01:18.360]  這麼淺的問題
[00:01:18.360 --> 00:01:19.840]  一天有多少小時?
[00:01:19.840 --> 00:01:20.720]  24小時
[00:01:20.720 --> 00:01:23.440]  那麼一個星期有多少小時?
[00:01:23.440 --> 00:01:26.400]  很快的,一個星期有多少小時?
[00:01:26.400 --> 00:01:28.360]  24乘7
[00:01:28.360 --> 00:01:31.640]  168小時
[00:01:31.640 --> 00:01:32.760]  一星期
[00:01:32.760 --> 00:01:35.160]  以Channel教會為例
[00:01:35.160 --> 00:01:38.720]  你大概用多少時間在教會生活?
[00:01:38.720 --> 00:01:41.440]  不計那些有特別侍奉的
