
[00:00:00.000 --> 00:00:03.180]  這是一段很熟悉的經文
[00:00:03.180 --> 00:00:04.580]  大家都很熟悉
[00:00:04.580 --> 00:00:08.480]  我記得今年應該講過的
[00:00:08.480 --> 00:00:12.900]  所以今天我不會用一個很悉經的方式
[00:00:12.900 --> 00:00:14.540]  去解釋這段經文
[00:00:14.540 --> 00:00:17.780]  我從三個角度去看這段經文
[00:00:17.780 --> 00:00:19.780]  第一個角度
[00:00:19.780 --> 00:00:21.340]  作為家長
[00:00:21.340 --> 00:00:23.980]  我們怎樣看待這個少年人
[00:00:23.980 --> 00:00:25.140]  第二個角度
[00:00:25.140 --> 00:00:28.700]  這個少年人怎樣去看待自己
[00:00:28.700 --> 00:00:30.500]  第三個角度
[00:00:30.500 --> 00:00:33.500]  耶穌怎樣去看待這個少年人
[00:00:33.500 --> 00:00:35.500]  很特別
[00:00:35.500 --> 00:00:42.000]  馬太、馬可、路加三個福音書都有記載這段經文
[00:00:42.000 --> 00:00:45.500]  不過分別用不同的字去形容這一個人
[00:00:45.500 --> 00:00:50.000]  有一個人跑來跪在主耶穌基督的面前
[00:00:50.000 --> 00:00:52.500]  問他善良的老師
[00:00:52.500 --> 00:00:55.500]  我該做甚麼事才能夠承受永生
[00:00:55.500 --> 00:00:58.500]  馬太福音十九章告訴我們
[00:00:58.500 --> 00:01:01.000]  原來這是一個青年人
[00:01:01.000 --> 00:01:03.500]  和合本亦叫少年人
[00:01:03.500 --> 00:01:08.500]  修訂本亦叫青少年人
[00:01:08.500 --> 00:01:12.500]  路加三十八章記載原來他是一個官
[00:01:12.500 --> 00:01:16.500]  而三段經文都記載他很有錢
[00:01:16.500 --> 00:01:18.500]  即是開始大家想像到
[00:01:18.500 --> 00:01:20.500]  一個青少年人
[00:01:20.500 --> 00:01:22.500]  做官的
[00:01:22.500 --> 00:01:25.500]  前途無可限量
[00:01:25.500 --> 00:01:27.000]  那時候做官不簡單
[00:01:27.000 --> 00:01:30.500]  因為那時候是羅馬政權在控制整個以色列
[00:01:30.500 --> 00:01:32.500]  等於我們幾十年前
[00:01:32.500 --> 00:01:34.500]  我們能夠進入殖民地
[00:01:34.500 --> 00:01:38.500]  政府那些全部應該是英國人
[00:01:38.500 --> 00:01:40.500]  華人進去做官是很難得的一件事
[00:01:40.500 --> 00:01:42.500]  幾十年前
[00:01:42.500 --> 00:01:44.500]  那個時候就是這樣
[00:01:44.500 --> 00:01:46.500]  一個青少年人
[00:01:46.500 --> 00:01:48.500]  進去做官
[00:01:48.500 --> 00:01:50.500]  兼且很有錢
[00:01:50.500 --> 00:01:52.500]  前途無可限量
[00:01:52.500 --> 00:01:54.500]  嘩,很棒
[00:01:54.500 --> 00:01:56.500]  就是一個青少年人
[00:01:56.500 --> 00:01:58.500]  去到主耶穌見到他面前
[00:01:58.500 --> 00:02:00.500]  問他善良的老師
[00:02:00.500 --> 00:02:04.500]  我應該做什麼才能夠承受永生
[00:02:04.500 --> 00:02:08.500]  而且我們從主耶穌
[00:02:08.500 --> 00:02:10.500]  問他
[00:02:10.500 --> 00:02:12.500]  你有沒有做...
[00:02:12.500 --> 00:02:16.500]  十屆裏面後尾的六屆
[00:02:16.500 --> 00:02:18.500]  然後青少年人怎樣回答
[00:02:18.500 --> 00:02:20.500]  我從小就遵守
[00:02:20.500 --> 00:02:22.500]  又知道一件事
[00:02:22.500 --> 00:02:24.500]  他很乖
[00:02:24.500 --> 00:02:26.500]  只是最後說
[00:02:26.500 --> 00:02:28.500]  當孝敬父母
[00:02:28.500 --> 00:02:30.500]  每個父母都愁眉苦臉
[00:02:30.500 --> 00:02:32.500]  不要說其他那些
[00:02:32.500 --> 00:02:34.500]  從小就遵守
[00:02:34.500 --> 00:02:36.500]  這個很乖
[00:02:36.500 --> 00:02:40.500]  我在想如果我們在中間做父母
[00:02:40.500 --> 00:02:44.500]  你怎樣去看這個青少年人
[00:02:44.500 --> 00:02:46.500]  如果那個是我的兒子
[00:02:46.500 --> 00:02:48.500]  就好了
[00:02:48.500 --> 00:02:50.500]  我們作為家長
[00:02:50.500 --> 00:02:52.500]  我們會去想
[00:02:52.500 --> 00:02:54.500]  小朋友一直期望
[00:02:54.500 --> 00:02:56.500]  他們一直長大
[00:02:56.500 --> 00:02:58.500]  我們對他們有什麼期望
[00:02:58.500 --> 00:03:00.500]  因為
[00:03:00.500 --> 00:03:02.500]  當我們想我們對他們有什麼期望
[00:03:02.500 --> 00:03:04.500]  我們就會怎樣教他們
[00:03:04.500 --> 00:03:06.500]  我們就會關注他們哪一方面的事
[00:03:06.500 --> 00:03:08.500]  很多時候
[00:03:08.500 --> 00:03:10.500]  我問很多家長
[00:03:10.500 --> 00:03:12.500]  不要說期望
[00:03:12.500 --> 00:03:14.500]  未說期望之前先說憂慮
[00:03:14.500 --> 00:03:18.500]  怕他出來找不到工作
[00:03:18.500 --> 00:03:21.500]  怕他在學習裏追不上
[00:03:21.500 --> 00:03:24.500]  出來後社會沒有競爭力
[00:03:24.500 --> 00:03:26.500]  找不到一間好的學校
[00:03:26.500 --> 00:03:30.500]  找不到一份穩定的工作
[00:03:30.500 --> 00:03:32.500]  沒有前景
