
[00:00:00.000 --> 00:00:05.120]  你喜歡音樂嗎 有沒有想過做唱片騎師 做DJ
[00:00:05.120 --> 00:00:08.920]  現在有一個機會
[00:00:08.920 --> 00:00:14.080]  說是港飛是魔鬼的電台
[00:00:14.080 --> 00:00:17.660]  千萬不要做他的唱片騎師
[00:00:17.660 --> 00:00:19.960]  Gossip is the devil's radio
[00:00:19.960 --> 00:00:23.040]  Don't be his DJ
[00:00:23.040 --> 00:00:26.120]  你是不是撒旦的黨羽
[00:00:26.120 --> 00:00:28.160]  即使不做他的犬馬
[00:00:28.160 --> 00:00:31.740]  也不可以與他為伍
[00:00:31.740 --> 00:00:33.280]  因為親近他
[00:00:33.280 --> 00:00:37.120]  就等於遠離神
[00:00:37.120 --> 00:00:41.480]  某年某月某日某個地方
[00:00:41.480 --> 00:00:45.320]  撒旦魔鬼開會員大會
[00:00:45.320 --> 00:00:48.900]  這個是他的開場白
[00:00:48.900 --> 00:00:50.680]  撒旦說
[00:00:50.680 --> 00:00:53.760]  我們沒有辦法使基督徒不回教會
[00:00:53.760 --> 00:00:55.300]  我們也沒有辦法
[00:00:55.300 --> 00:00:58.880]  使他們不讀經 不明白真理
[00:00:58.880 --> 00:01:03.240]  我們甚至不能讓他們遠離他們的救主
[00:01:03.240 --> 00:01:07.080]  如果他們與基督耶穌產生緊密的聯繫
[00:01:07.080 --> 00:01:10.140]  我們的權勢就會落敗
[00:01:10.140 --> 00:01:11.420]  我們所要做的
[00:01:11.420 --> 00:01:13.740]  就是要偷取他們的時間
[00:01:13.740 --> 00:01:19.120]  讓他們沒有時間來與主親近 與主結連
[00:01:19.120 --> 00:01:22.440]  這個就是我們今天開會的目的
[00:01:22.440 --> 00:01:26.280]  我們要叫這些人沒有辦法
[00:01:26.280 --> 00:01:31.920]  與他們的救主天天緊密的結連
[00:01:31.920 --> 00:01:33.440]  幾個小魔鬼馬上問
[00:01:33.440 --> 00:01:35.760]  那我們應該怎麼做
[00:01:35.760 --> 00:01:37.280]  撒旦回答說
[00:01:37.280 --> 00:01:40.360]  讓他們忙碌
[00:01:40.360 --> 00:01:43.680]  讓他們為了生活上的小事忙碌
[00:01:43.680 --> 00:01:48.040]  製造無盡的虛榮佔滿他們的腦袋
[00:01:48.040 --> 00:01:52.140]  引誘他們去花錢盡情地花錢
[00:01:52.140 --> 00:01:55.980]  讓他們因為花錢而不停地去借錢
[00:01:55.980 --> 00:01:58.800]  因為借錢就要不停地去工作
[00:01:58.800 --> 00:02:01.360]  要工作去還錢
[00:02:01.360 --> 00:02:05.520]  讓他們的妻子外出長期的工作
[00:02:05.520 --> 00:02:08.640]  讓他們的丈夫一個星期工作七天
[00:02:08.640 --> 00:02:12.880]  每天做到10個 12個小時或者更多
[00:02:12.880 --> 00:02:15.440]  這樣才會有足夠的錢
[00:02:15.440 --> 00:02:19.800]  去滿足他們虛榮的生活方式
[00:02:19.800 --> 00:02:22.880]  讓父母他們沒有時間陪子女
[00:02:22.880 --> 00:02:25.440]  漸漸的使得家人疏遠
[00:02:25.440 --> 00:02:28.520]  好讓他們的家也都再沒有辦法
[00:02:28.520 --> 00:02:31.320]  去舒緩工作帶來的壓力
[00:02:31.320 --> 00:02:34.900]  讓他們家不成家
[00:02:34.900 --> 00:02:39.260]  讓他們的腦袋裏面都是裝滿著世界的事
[00:02:39.260 --> 00:02:44.120]  要他們再聽不到神微小的聲音
[00:02:44.120 --> 00:02:48.480]  讓他們的家隨時隨地都是開著電視
[00:02:48.480 --> 00:02:51.040]  開著DVD收音機
[00:02:51.040 --> 00:02:55.140]  叫所有商場餐館隨時播放著世界的音樂
[00:02:55.140 --> 00:02:59.240]  這樣就足以讓他們的腦袋和心靈
[00:02:59.240 --> 00:03:04.360]  都沒有辦法跟基督結廉
[00:03:04.360 --> 00:03:09.220]  讓他們的桌面擺著各樣的雜誌、報紙
[00:03:09.220 --> 00:03:12.800]  用24小時新聞、即時新聞、八卦新聞
[00:03:12.800 --> 00:03:18.180]  娛樂新聞、講是講非的新聞來佔滿他們的意念
[00:03:18.180 --> 00:03:21.000]  讓他們的信箱、郵箱
[00:03:21.000 --> 00:03:23.560]  是充滿著各樣的垃圾郵件
[00:03:23.560 --> 00:03:27.400]  各大超級市場、百貨公司的減價單
[00:03:27.400 --> 00:03:31.740]  各樣的抽獎單、免費產品、免費服務
[00:03:31.740 --> 00:03:36.620]  各式各樣的虛假的希望
[00:03:36.620 --> 00:03:38.920]  讓聖誕老人迷惑他們
[00:03:38.920 --> 00:03:44.040]  叫他們的小孩不懂得聖誕節真正的意義
[00:03:44.040 --> 00:03:47.880]  給小朋友復活節的兔子、公仔
[00:03:47.880 --> 00:03:50.960]  讓他們不懂得復活節
[00:03:50.960 --> 00:03:57.100]  復活的大能可以勝過罪、可以勝過死
[00:03:57.100 --> 00:04:00.640]  讓他們一天五、六個小時不停打機
[00:04:00.640 --> 00:04:07.860]  看著去上網玩電話、追劇、看歌、看戲、音樂會
[00:04:07.860 --> 00:04:14.240]  叫他們沒有時間去欣賞神偉大的創造
[00:04:14.240 --> 00:04:17.360]  讓他們忙碌、忙碌、再忙碌
[00:04:17.360 --> 00:04:19.920]  叫他們忙於憂慮
[00:04:19.920 --> 00:04:22.740]  憂慮過後忘記感恩
[00:04:22.740 --> 00:04:27.080]  只是只顧著忙於去找另一個憂慮
[00:04:27.080 --> 00:04:29.140]  叫他們忙於埋怨
[00:04:29.140 --> 00:04:31.300]  埋怨過後忘記感恩
[00:04:31.300 --> 00:04:34.380]  只是只顧著去找另一個埋怨
[00:04:34.380 --> 00:04:37.320]  當他們回到教會聚會的時候
[00:04:37.320 --> 00:04:41.740]  叫他們忙於搞小圈子、講閒話、說是講非
[00:04:41.740 --> 00:04:46.440]  這樣一來就有無窮無盡的話題發生
