
[00:00:00.000 --> 00:00:02.000]  很高興能夠和大家見面
[00:00:02.000 --> 00:00:07.000]  很高興能夠一同去唱歌
[00:00:07.000 --> 00:00:13.000]  很高興能夠一起實體牽手煮飯
[00:00:13.000 --> 00:00:15.000]  在牽手煮飯之前
[00:00:15.000 --> 00:00:19.000]  我們一同去到神的面前
[00:00:19.000 --> 00:00:22.000]  吃祂給我們的話語
[00:00:22.000 --> 00:00:26.000]  我們吃完飯就一起去牽手煮飯
[00:00:28.000 --> 00:00:30.000]  記不記得在二月份的時候
[00:00:30.000 --> 00:00:33.000]  我們談過朝聖
[00:00:33.000 --> 00:00:36.000]  我們看見信心旅程的三方面
[00:00:36.000 --> 00:00:39.000]  第一方面,朝聖,朝向聖城
[00:00:39.000 --> 00:00:43.000]  我們要使用聖經的生命地圖
[00:00:43.000 --> 00:00:47.000]  第二,我們要常常專注尋求神的幫助
[00:00:47.000 --> 00:00:50.000]  面對隨時而來的困難
[00:00:50.000 --> 00:00:54.000]  就好像六學無契數一樣
[00:00:55.000 --> 00:00:58.000]  我們很渴望神的同在
[00:00:58.000 --> 00:01:02.000]  我們好像在瀑布的旁邊
[00:01:02.000 --> 00:01:07.000]  聽見心冤與心冤響應
[00:01:07.000 --> 00:01:11.000]  雖然壓迫性的壓迫
[00:01:11.000 --> 00:01:13.000]  臨到我們身上
[00:01:13.000 --> 00:01:15.000]  我們有很多的經歷
[00:01:15.000 --> 00:01:18.000]  但我們心靈是清澈的
[00:01:18.000 --> 00:01:20.000]  聽見神的聲音
[00:01:20.000 --> 00:01:22.000]  第三,我們需要朋友
[00:01:23.000 --> 00:01:25.000]  我們需要彼此的支持
[00:01:25.000 --> 00:01:27.000]  拒絕敬拜金像
[00:01:27.000 --> 00:01:29.000]  在火搖的當中
[00:01:29.000 --> 00:01:32.000]  我們一同經歷神的同在
[00:01:32.000 --> 00:01:34.000]  在三月份
[00:01:34.000 --> 00:01:36.000]  我們談過朝聖路上的盼望
[00:01:36.000 --> 00:01:38.000]  我們聽見保羅說
[00:01:38.000 --> 00:01:41.000]  我嬌現我離世的日子到了
[00:01:41.000 --> 00:01:43.000]  但他沒有絕望
[00:01:43.000 --> 00:01:45.000]  他有盼望
[00:01:45.000 --> 00:01:47.000]  因為他記得他的朋友
[00:01:47.000 --> 00:01:49.000]  他的年輕朋友
[00:01:50.000 --> 00:01:53.000]  就是路加瑪可、伯基拉
[00:01:53.000 --> 00:01:56.000]  以及阿居拉、阿尼適弗
[00:01:56.000 --> 00:01:59.000]  在四月份
[00:01:59.000 --> 00:02:03.000]  我們一同思想朝聖路上的心有靈情
[00:02:03.000 --> 00:02:06.000]  我們看見師父以利亞
[00:02:06.000 --> 00:02:09.000]  以及學生以利沙
[00:02:09.000 --> 00:02:11.000]  一起搭上朝聖的道路
[00:02:11.000 --> 00:02:14.000]  由吉甲到約旦河
[00:02:14.000 --> 00:02:17.000]  預備以利亞的升天
[00:02:18.000 --> 00:02:20.000]  在升天以先
[00:02:20.000 --> 00:02:23.000]  以利沙向師父以利亞說
[00:02:23.000 --> 00:02:26.000]  願感動你的靈的雙倍
[00:02:26.000 --> 00:02:28.000]  感動我
[00:02:28.000 --> 00:02:31.000]  以利沙希望能夠繼承
[00:02:31.000 --> 00:02:34.000]  以利亞分出的靈的兩倍
[00:02:34.000 --> 00:02:39.000]  之後旋風將以利亞帶到天堂
[00:02:39.000 --> 00:02:44.000]  以利沙就撿回以利亞留下的衣服
[00:02:44.000 --> 00:02:47.000]  施展以利亞做過的神蹟
[00:02:48.000 --> 00:02:51.000]  將約旦河分開
[00:02:51.000 --> 00:02:57.000]  以利沙繼承師父的屬靈的能力
[00:02:57.000 --> 00:03:01.000]  以利亞是以利沙的師父
[00:03:01.000 --> 00:03:04.000]  是他的老朋友
[00:03:04.000 --> 00:03:06.000]  弟兄姊妹心願
[00:03:06.000 --> 00:03:10.000]  你們都有這樣的屬靈的師父和老朋友
[00:03:10.000 --> 00:03:14.000]  就可以在我們生命的等候室當中
[00:03:15.000 --> 00:03:19.000]  一同見面、聊天、禱告
[00:03:19.000 --> 00:03:22.000]  一同看到基督的光
[00:03:22.000 --> 00:03:25.000]  讓基督的光能夠穿破我們的黑暗
[00:03:25.000 --> 00:03:27.000]  我們的遲鈍
[00:03:27.000 --> 00:03:29.000]  我們的困惑、孤獨
[00:03:29.000 --> 00:03:32.000]  能夠一起專心自治
[00:03:32.000 --> 00:03:35.000]  踏上朝聖的道路
[00:03:35.000 --> 00:03:37.000]  走向聖城
[00:03:37.000 --> 00:03:40.000]  感謝神在我朝聖的路上
[00:03:40.000 --> 00:03:44.000]  我記得我有一班朋友的名單
[00:03:45.000 --> 00:03:46.000]  我記得,你們有嗎?
[00:03:46.000 --> 00:03:50.000]  感謝神讓我在朝聖的路上
[00:03:50.000 --> 00:03:54.000]  你們都成為我的朋友
[00:03:54.000 --> 00:03:57.000]  我們同心吐舌
[00:03:57.000 --> 00:04:00.000]  親愛的主,多謝你
[00:04:00.000 --> 00:04:03.000]  多謝你給我們今天真的歡聚
[00:04:03.000 --> 00:04:07.000]  我們會慶賀你那種復活的大能
[00:04:07.000 --> 00:04:10.000]  懇求你復活的大能的生命在我們裡面
[00:04:10.000 --> 00:04:13.000]  我們待會兒會牽手煮餐
[00:04:14.000 --> 00:04:16.000]  讓你給我們在你的愛當中
[00:04:16.000 --> 00:04:19.000]  讓我們能夠經歷愛的能力
[00:04:19.000 --> 00:04:22.000]  讓我們能夠一同在你面前剛強壯膽
[00:04:22.000 --> 00:04:24.000]  我們待會兒要聽你的話語
[00:04:24.000 --> 00:04:26.000]  求你將你的話語賜給我們
[00:04:26.000 --> 00:04:29.000]  讓我們弟兄姊妹們都聰明
[00:04:29.000 --> 00:04:31.000]  耳朵聽得見
[00:04:31.000 --> 00:04:33.000]  眼睛看得見
[00:04:33.000 --> 00:04:35.000]  相信你的話語
