
[00:00:00.000 --> 00:00:07.000]  今日同大家講嘅經文就係《啟示錄》嘅第十二章七到第十七節
[00:00:07.000 --> 00:00:14.000]  我講到嘅題目就係「起來一起爭戰」或者「一起迎戰」
[00:00:14.000 --> 00:00:19.000]  由於今次講到個解經嘅成份比較高啲呢
[00:00:19.000 --> 00:00:21.000]  就唔容易分段
[00:00:21.000 --> 00:00:24.000]  我就係照住經文咁樣講
[00:00:24.000 --> 00:00:28.000]  由於呢我係要參考好多資料呢
[00:00:28.000 --> 00:00:35.000]  我就係要請同工將個講稿都一齊播埋出嚟
[00:00:35.000 --> 00:00:38.000]  咁等大家可以一路聽一路睇
[00:00:38.000 --> 00:00:43.000]  好啦咁我哋睇返《啟示錄》第十二章嘅第七節呢
[00:00:43.000 --> 00:00:47.000]  就講到喺天上有咗爭戰
[00:00:47.000 --> 00:00:51.000]  米加勒同佢嘅使者同龍去爭戰
[00:00:51.000 --> 00:00:55.000]  龍亦都同佢嘅使者去爭戰
[00:00:55.000 --> 00:00:57.000]  咁大家要知道《啟示錄》呢
[00:00:57.000 --> 00:01:00.000]  用一啲好象徵嘅語言呢
[00:01:00.000 --> 00:01:03.000]  嚟講一啲我哋唔係好熟悉嘅嘢
[00:01:03.000 --> 00:01:06.000]  而家係講緊天上面有爭戰
[00:01:06.000 --> 00:01:11.000]  呢個經文係講緊喺天上天使同埋龍嘅爭戰
[00:01:11.000 --> 00:01:13.000]  當然背後好多嘅傳說啦
[00:01:13.000 --> 00:01:15.000]  啲龍係點樣嚟呀
[00:01:15.000 --> 00:01:17.000]  我今日就唔多講嗰啲啦
[00:01:17.000 --> 00:01:21.000]  咁我哋想睇嘅呢就係經文喺第八節
[00:01:21.000 --> 00:01:23.000]  佢有啲乜嘢同我哋講呀
[00:01:23.000 --> 00:01:29.000]  佢話並沒有得勝天上再沒有他門的地方
[00:01:29.000 --> 00:01:31.000]  咁呢個他門係指咩呀
[00:01:31.000 --> 00:01:37.000]  係指龍呀或者係同天使爭戰嘅嗰啲敵對者
