
[00:00:00.000 --> 00:00:02.880]  在今日的商業社會裏
[00:00:02.880 --> 00:00:05.120]  頗為流行一句說話
[00:00:05.120 --> 00:00:08.560]  這句說話就是說
[00:00:08.560 --> 00:00:10.160]  多做多錯
[00:00:10.160 --> 00:00:12.400]  少做就少錯
[00:00:12.400 --> 00:00:17.800]  不做就不錯
[00:00:17.800 --> 00:00:21.160]  如果在一個機構裏面
[00:00:21.160 --> 00:00:23.320]  他升人的準則
[00:00:23.320 --> 00:00:27.640]  是視乎那個人的工作年資
[00:00:27.640 --> 00:00:30.680]  而不是工作表現的時候
[00:00:30.680 --> 00:00:34.400]  我想大概在那間機構裏面工作的人
[00:00:34.400 --> 00:00:36.520]  都不會過份的進取
[00:00:36.520 --> 00:00:39.280]  因為越拼命工作
[00:00:39.280 --> 00:00:41.080]  越容易出錯
[00:00:41.080 --> 00:00:42.560]  所以很有機會就是
[00:00:42.560 --> 00:00:45.640]  所謂不求有功但求無過
[00:00:45.640 --> 00:00:47.840]  這種工作心態
[00:00:47.840 --> 00:00:49.040]  但很奇怪
[00:00:49.040 --> 00:00:51.600]  瓦國在這張經文裏面告訴我們
[00:00:51.600 --> 00:00:52.960]  一個完全不同的圖畫
[00:00:52.960 --> 00:00:54.600]  在屬靈的世界裏面
[00:00:54.600 --> 00:00:56.160]  在教會裏面
[00:00:56.160 --> 00:00:59.240]  我們所講的和剛才我們所講的
[00:00:59.240 --> 00:01:01.360]  一般人打工的心態相當不同
[00:01:01.360 --> 00:01:02.560]  他在這裏告訴我們
[00:01:02.560 --> 00:01:07.320]  如果人若知道行善卻不去行
[00:01:07.320 --> 00:01:10.120]  這就是他的罪
[00:01:10.120 --> 00:01:11.280]  在這裏我都不厭其煩
[00:01:11.280 --> 00:01:12.960]  再一次和大家講
[00:01:12.960 --> 00:01:15.120]  聖經裏面所講的良善
[00:01:15.120 --> 00:01:16.880]  聖經裏面所講的善行
[00:01:16.880 --> 00:01:20.720]  並不是我們今日社會上的所謂辭位工作
[00:01:20.720 --> 00:01:21.400]  修橋補路
[00:01:21.400 --> 00:01:22.880]  不是在講那些
[00:01:22.880 --> 00:01:25.080]  而是在講我們在神裏面
[00:01:25.080 --> 00:01:26.720]  是做神喜悅我們
[00:01:26.720 --> 00:01:30.120]  期望我們的工作
[00:01:30.120 --> 00:01:31.840]  在第四章裏面
[00:01:31.840 --> 00:01:36.280]  瓦國就是針對當時教會所面對的問題
[00:01:36.280 --> 00:01:38.600]  而列舉了一些例子
[00:01:38.600 --> 00:01:40.480]  去指出當時的信徒
[00:01:40.480 --> 00:01:43.480]  其實有些事情他們應該要去做
[00:01:43.480 --> 00:01:45.480]  而他們沒有做
[00:01:45.480 --> 00:01:47.400]  由於他們沒有做
[00:01:47.400 --> 00:01:49.880]  結果就是剛才所講的
[00:01:49.880 --> 00:01:52.280]  爭戰鬥毆
[00:01:52.280 --> 00:01:54.520]  在他們中間出現
[00:01:54.520 --> 00:01:57.800]  所以在這裏瓦國並不是被動地
[00:01:57.800 --> 00:02:01.520]  或者消極地去講一些我們不應該做的事情
[00:02:01.520 --> 00:02:05.080]  瓦國反而是很積極地告訴我們
[00:02:05.080 --> 00:02:07.280]  有一些事情我們應該去做
[00:02:07.280 --> 00:02:09.680]  以致不應該做的事情
[00:02:09.680 --> 00:02:14.000]  就可以因此而漸漸地不再出現
[00:02:14.000 --> 00:02:15.120]  我們再看下去
[00:02:15.120 --> 00:02:19.960]  在瓦國未開始告訴他的讀者
[00:02:19.960 --> 00:02:22.880]  應該做些什麼事情之前
[00:02:22.880 --> 00:02:25.120]  他首先跟他們說
[00:02:25.120 --> 00:02:29.280]  他們當中究竟有些什麼問題出現
[00:02:29.280 --> 00:02:30.960]  這些問題就是剛才所講的
[00:02:30.960 --> 00:02:33.200]  爭戰毆鬥
[00:02:33.200 --> 00:02:35.520]  殺害習道
[00:02:35.520 --> 00:02:37.320]  追求賢樂
[00:02:37.320 --> 00:02:42.080]  而這些所有的問題都是源於他們的私慾
[00:02:42.080 --> 00:02:43.720]  這是瓦國所講的
[00:02:43.720 --> 00:02:44.960]  當我們聽到這樣的時候
[00:02:44.960 --> 00:02:47.160]  我就說這是什麼教會
[00:02:47.160 --> 00:02:49.760]  竟然有這麼不濟的事情出現
[00:02:49.760 --> 00:02:51.160]  甚至我們可能會懷疑
[00:02:51.160 --> 00:02:52.760]  這群是不是基督徒
[00:02:52.760 --> 00:02:55.360]  為什麼會有這樣的事情出現
