
[00:00:00.000 --> 00:00:04.340]  說入經文之前,我們一起有祈禱
[00:00:04.340 --> 00:00:06.780]  撐住耶穌,我們去感謝祢
[00:00:06.780 --> 00:00:09.460]  生命是屬於祢
[00:00:09.460 --> 00:00:13.980]  能夠有生命氣息,也是一份很大的恩典
[00:00:13.980 --> 00:00:20.400]  能夠有健康,能夠去服侍,也是一份很大很大的恩典
[00:00:20.400 --> 00:00:21.520]  耶穌,祢愛我們
[00:00:21.520 --> 00:00:25.440]  讓今天祢親自來到,對我們每一個生命去說話
[00:00:25.440 --> 00:00:27.560]  因為我們每一個都是屬於祢
[00:00:27.560 --> 00:00:31.840]  願祢的真理來引導我們更加去認識祢
[00:00:31.840 --> 00:00:37.000]  更加知道我們當如何行走神祢為我們預備的道路
[00:00:37.000 --> 00:00:40.600]  多謝耶穌,願以下時間祢的靈就在當中
[00:00:40.600 --> 00:00:43.360]  無論是說的、聽的,到蒙利次福
[00:00:43.360 --> 00:00:46.080]  奉主耶穌基督聖命求,阿們
[00:00:46.080 --> 00:00:50.000]  好,我們今天就說二筆所書,四章一至十六節
[00:00:50.000 --> 00:00:53.160]  剛才大家都已經讀了一次
[00:00:53.160 --> 00:00:58.840]  在保羅寫這段經文也有少許背景交代給大家知道
[00:00:58.840 --> 00:01:04.520]  當時保羅是語重心長地說這番說話
[00:01:04.520 --> 00:01:06.920]  而當時他身在何方?
[00:01:06.920 --> 00:01:13.960]  他第一次被囚,被軟禁在羅馬
[00:01:13.960 --> 00:01:20.600]  而這二筆所書被譽為其中一封監獄書信
[00:01:20.600 --> 00:01:24.400]  保羅除此之外,同時也寫了
[00:01:24.400 --> 00:01:27.840]  《哥羅西書》、《費利門書》和《費納比書》
[00:01:27.840 --> 00:01:30.240]  合稱為監獄書信
[00:01:30.240 --> 00:01:33.800]  而《哥羅西書》與《二筆所書》有少許相似
[00:01:33.800 --> 00:01:36.640]  當你加上兩本書一起讀時
[00:01:36.640 --> 00:01:41.360]  他們的寫法很相類似
[00:01:41.360 --> 00:01:43.640]  但原來他們的重點有不同
[00:01:43.640 --> 00:01:47.120]  因為當時哥羅西教會有一些異端
[00:01:47.120 --> 00:01:51.520]  保羅特別在神學上去叱吒這些異端
[00:01:51.520 --> 00:01:54.640]  特別在基督論這方面著進去寫
[00:01:54.640 --> 00:01:59.880]  所以《哥羅西書》的重點是教會元首的基督
[00:01:59.880 --> 00:02:05.600]  而《二筆所書》的重點是基督的身體教會
[00:02:05.600 --> 00:02:10.840]  所以今天我們所說的訊息與教會息息相關
[00:02:10.840 --> 00:02:16.600]  剛才提到我們的題目是《教會成長要道》
[00:02:16.600 --> 00:02:20.800]  當中帶出我們教會有沒有成長過
[00:02:20.800 --> 00:02:24.480]  從此在十年前我們沒有做過NCD
[00:02:24.480 --> 00:02:30.600]  是教會健康的測量
[00:02:30.600 --> 00:02:33.200]  測試我們教會哪裏是最高分
[00:02:33.200 --> 00:02:35.880]  哪裏是最低分的說法
[00:02:35.880 --> 00:02:39.520]  然後做出一個核心價值
[00:02:39.520 --> 00:02:41.120]  亦是在前一遍
[00:02:41.120 --> 00:02:46.120]  佩欣傳到港島時重溫了這個核心價值
[00:02:46.120 --> 00:02:49.000]  我們會想起這個核心價值
