
[00:00:00.000 --> 00:00:02.040]  今天你會發覺
[00:00:02.040 --> 00:00:03.760]  看這個程序表的時候
[00:00:03.760 --> 00:00:05.440]  為甚麼講題經文是
[00:00:05.440 --> 00:00:08.960]  沒有的呢?
[00:00:08.960 --> 00:00:11.920]  其實可能是要用看才看到的
[00:00:11.920 --> 00:00:14.040]  用蠟燭看出來的
[00:00:14.040 --> 00:00:15.640]  好像特務那些
[00:00:15.640 --> 00:00:16.360]  開玩笑而已
[00:00:16.360 --> 00:00:19.600]  其實最主要是因為我最近去
[00:00:19.600 --> 00:00:23.800]  原本今天應該是講聖靈果子
[00:00:23.800 --> 00:00:25.720]  信實的特性
[00:00:25.720 --> 00:00:27.800]  有些網友都說很期待
[00:00:27.800 --> 00:00:29.400]  信實
[00:00:29.400 --> 00:00:30.720]  其實我也很期待的
[00:00:30.720 --> 00:00:33.120]  但問題是當我在祈禱裡面
[00:00:33.120 --> 00:00:34.880]  我預備講章的時候
[00:00:34.880 --> 00:00:36.400]  我一個感動的就是
[00:00:36.400 --> 00:00:41.480]  很想透過這一次或者下一次
[00:00:41.480 --> 00:00:44.640]  透過馬拉基書去看看一個
[00:00:44.640 --> 00:00:48.960]  是的
[00:00:48.960 --> 00:00:52.720]  透過馬拉基書去看看一個以神為中心
[00:00:52.720 --> 00:00:56.560]  以及以環境為中心的人的分別
[00:00:56.560 --> 00:00:59.160]  給我們作為一個警惕
[00:00:59.160 --> 00:01:04.400]  因為其實我們在這一年
[00:01:04.400 --> 00:01:07.800]  我們經常說以神為中心的生活
[00:01:07.800 --> 00:01:09.720]  以神為中心的生命
[00:01:09.720 --> 00:01:13.080]  再加上有時候聽第一節節目
[00:01:13.080 --> 00:01:17.960]  你也說面對困難、面對問題
[00:01:17.960 --> 00:01:22.280]  其實這個馬拉基書裡面
[00:01:22.280 --> 00:01:24.640]  其實真的給我們一個警惕
[00:01:24.640 --> 00:01:25.640]  因為聖經是這麼說的
[00:01:25.640 --> 00:01:26.840]  聖經真的說
[00:01:26.840 --> 00:01:30.800]  我們整本聖經尤其在希伯來書裡面說
[00:01:30.800 --> 00:01:33.280]  記載以色列人裡面
[00:01:33.280 --> 00:01:35.000]  尤其在抗疫裡面所經歷的
[00:01:35.000 --> 00:01:38.560]  其實是給我們今天的人一個警惕
[00:01:38.560 --> 00:01:41.400]  就是你不要像他們一樣
[00:01:41.400 --> 00:01:42.560]  你不要學他們
[00:01:42.560 --> 00:01:46.840]  你看到他們這樣已經壞了
[00:01:46.840 --> 00:01:48.880]  你不要走他們的舊路
