
[00:00:00.000 --> 00:00:09.000]  我們先要看到耶路撒冷教會在我們剛才讀的一開始十一章的經文裡頭
[00:00:09.000 --> 00:00:15.000]  他認同了彼得傳福音給外邦人
[00:00:15.000 --> 00:00:21.000]  因為彼得是到外邦人哥尼姆的家裡去跟他們一同吃飯
[00:00:21.000 --> 00:00:25.000]  這事情很快就傳到耶路撒冷那裡
[00:00:25.000 --> 00:00:30.000]  那些奉哥利的信徒就要為難彼得
[00:00:30.000 --> 00:00:41.000]  奉哥利的意思就是他們主張你要是外邦人要信了
[00:00:41.000 --> 00:00:47.000]  要受了哥利以後才可以成為基督徒才能成為信徒
[00:00:47.000 --> 00:00:55.000]  奉哥利的他們就知道彼得到外邦人家裡去又跟他們一塊吃飯
[00:00:55.000 --> 00:00:58.000]  那這個是一個很大的事情
[00:00:58.000 --> 00:01:04.000]  因為他違反了猶太人界定的條例
[00:01:04.000 --> 00:01:11.000]  那麼如果這個分歧不解決的話那就會造成教會的分裂了
[00:01:11.000 --> 00:01:18.000]  有些人主張信耶穌不是要受哥利才可以得救
[00:01:18.000 --> 00:01:24.000]  有些人主張你要先受哥利你才能夠信主耶穌
[00:01:24.000 --> 00:01:31.000]  這樣的話兩個不同的意見堅持下去就會分裂成兩個教會
[00:01:31.000 --> 00:01:38.000]  那麼這樣的話神的旨意就是要把福音傳給外邦人
[00:01:38.000 --> 00:01:41.000]  那這樣的話就很難進行下去了
[00:01:41.000 --> 00:01:47.000]  所以我們從第十一章看到經過彼得的解釋
[00:01:47.000 --> 00:01:50.000]  那反對的人就不言語了
[00:01:50.000 --> 00:01:52.000]  因為彼得講的都很對
[00:01:52.000 --> 00:01:57.000]  他怎麼在中午的時候見到異象
[00:01:57.000 --> 00:02:03.000]  見到天上有父母下來裡面有各種的動物爬蟲飛鳥
[00:02:03.000 --> 00:02:06.000]  有些是接近的有些是不接近的
[00:02:06.000 --> 00:02:10.000]  但是上面就有聲音說你起來把這些
[00:02:10.000 --> 00:02:13.000]  你不是餓了嗎你要宰了吃
[00:02:13.000 --> 00:02:15.000]  彼得就說這不可以的
[00:02:15.000 --> 00:02:18.000]  這個是違反了這個條例的
[00:02:18.000 --> 00:02:24.000]  那麼這樣的聲音一連三次以後就不見了
[00:02:24.000 --> 00:02:26.000]  這個時候神就說了
[00:02:26.000 --> 00:02:31.000]  凡是神所接近的人不可以看為是不接近
[00:02:31.000 --> 00:02:36.000]  神已經把他當作是接近的
[00:02:36.000 --> 00:02:40.000]  你們人就不能夠把他按照條例來說是不接近的
[00:02:40.000 --> 00:02:44.000]  那麼這個傳統的力量是很厲害的
[00:02:44.000 --> 00:02:50.000]  所以不是一次兩次解釋以後他們就能夠明白過來的
[00:02:50.000 --> 00:02:56.000]  雖然當時的猶太人他們不說話了
[00:02:56.000 --> 00:03:00.000]  但是這個舊的觀念還是沒有消除的
[00:03:00.000 --> 00:03:02.000]  那我們以後讀到《使徒營傳》
[00:03:02.000 --> 00:03:07.000]  講到保羅跟這些童工到各處去傳福音的話
[00:03:07.000 --> 00:03:11.000]  他們碰到的最大的難處就是猶太人
[00:03:11.000 --> 00:03:14.000]  外邦人都沒有給他們很大的阻力
[00:03:14.000 --> 00:03:17.000]  可是猶太人是很麻煩的
[00:03:17.000 --> 00:03:20.000]  保羅到哪裡他們就跟到哪裡
[00:03:20.000 --> 00:03:22.000]  一直在反對保羅
[00:03:22.000 --> 00:03:26.000]  因為他說你沒有按照這個接近的條例
[00:03:26.000 --> 00:03:28.000]  你跟外邦人在一起
[00:03:28.000 --> 00:03:30.000]  你還跟他們一塊吃飯
[00:03:30.000 --> 00:03:33.000]  這是不可以的
[00:03:33.000 --> 00:03:41.000]  其實不但是當時有這樣的割裂跟不割裂的矛盾
[00:03:41.000 --> 00:03:51.000]  其實在自古以來各方面的因素都會造成人的對立跟割愛
[00:03:51.000 --> 00:03:53.000]  有種族方面的
[00:03:53.000 --> 00:03:57.000]  白種人跟黑種人跟有色種人
[00:03:57.000 --> 00:03:59.000]  還有是語言的
[00:03:59.000 --> 00:04:02.000]  你講什麼話那都有不同的
[00:04:02.000 --> 00:04:04.000]  你是北方人到南方人去的話
[00:04:04.000 --> 00:04:06.000]  人家聽你是北方口音
[00:04:06.000 --> 00:04:10.000]  態度就不太一樣了
[00:04:10.000 --> 00:04:14.000]  語言方面也會造成割合
[00:04:14.000 --> 00:04:16.000]  還有生活習慣
[00:04:16.000 --> 00:04:19.000]  各方面只要有不同的地方
[00:04:19.000 --> 00:04:22.000]  很容易就引起分歧
[00:04:22.000 --> 00:04:29.000]  如果生活上的這些割合或者分歧再到教會裡頭來的話
[00:04:29.000 --> 00:04:31.000]  那就會影響到教會中間
[00:04:31.000 --> 00:04:33.000]  弟兄姊妹是一家
[00:04:33.000 --> 00:04:35.000]  弟兄姊妹都是什麼兒女
[00:04:35.000 --> 00:04:37.000]  我們應該彼此相愛
[00:04:37.000 --> 00:04:39.000]  就沒有辦法相愛了
[00:04:39.000 --> 00:04:44.000]  這樣的成見就阻礙著福音的傳開
