
[00:00:00.000 --> 00:00:02.000]  各位頂子輩平安
[00:00:02.000 --> 00:00:06.000]  今天講到十誡的第九誡
[00:00:06.000 --> 00:00:08.000]  其實在預備的時候
[00:00:08.000 --> 00:00:10.000]  自己也很得提醒
[00:00:10.000 --> 00:00:13.000]  所以很想今天和頂子輩
[00:00:13.000 --> 00:00:15.000]  很真誠地分享
[00:00:15.000 --> 00:00:16.000]  在預備的時候
[00:00:16.000 --> 00:00:19.000]  神給我提醒和一些掙扎
[00:00:19.000 --> 00:00:21.000]  大家都很熟悉
[00:00:21.000 --> 00:00:24.000]  第十誡的第九誡在講
[00:00:24.000 --> 00:00:26.000]  我們一起讀吧
[00:00:26.000 --> 00:00:30.000]  不可作假見證陷害人
[00:00:30.000 --> 00:00:32.000]  這段經文很短
[00:00:32.000 --> 00:00:33.000]  但在裏面
[00:00:33.000 --> 00:00:34.000]  其實有些字眼
[00:00:34.000 --> 00:00:39.000]  在和話本裏面是沒有譯出來的
[00:00:39.000 --> 00:00:41.000]  我們看到其實
[00:00:41.000 --> 00:00:43.000]  如果按著希伯來文
[00:00:43.000 --> 00:00:44.000]  逐個字去譯出來的時候
[00:00:44.000 --> 00:00:46.000]  應該是這樣的
[00:00:46.000 --> 00:00:49.000]  你不可作虛方的見證
[00:00:49.000 --> 00:00:52.000]  來指證你的淪陷
[00:00:52.000 --> 00:00:55.000]  我們見到虛方
[00:00:55.000 --> 00:00:57.000]  可能就譯作假
[00:00:57.000 --> 00:01:00.000]  另外就沒有了指證這個字
[00:01:00.000 --> 00:01:03.000]  和人其實是淪陷的意思
[00:01:03.000 --> 00:01:05.000]  所以今天都很希望
[00:01:05.000 --> 00:01:08.000]  藉著這個譯本
[00:01:08.000 --> 00:01:12.000]  和大家再細緻地去看
[00:01:12.000 --> 00:01:15.000]  神給我們的教訓和提醒
[00:01:15.000 --> 00:01:16.000]  我們知道
[00:01:16.000 --> 00:01:21.000]  指證其實有一個較為深層的意思
[00:01:21.000 --> 00:01:25.000]  在當中是講在法庭裏面的訴訟
[00:01:25.000 --> 00:01:27.000]  裏面的詞彙
[00:01:27.000 --> 00:01:30.000]  去表明我們在法庭上
[00:01:30.000 --> 00:01:33.000]  我們不可以講那些虛假的證詞
[00:01:33.000 --> 00:01:35.000]  以致做到不公正
[00:01:35.000 --> 00:01:36.000]  不公義
[00:01:36.000 --> 00:01:38.000]  而且受到冤屈
[00:01:38.000 --> 00:01:40.000]  很清楚
[00:01:40.000 --> 00:01:43.000]  神就希望在以色列民族群體裏面
[00:01:43.000 --> 00:01:45.000]  是有公義在當中
[00:01:45.000 --> 00:01:50.000]  很清楚去表達這個訊息
[00:01:50.000 --> 00:01:52.000]  而且很出名的
[00:01:52.000 --> 00:01:54.000]  在舊譯裏面
[00:01:54.000 --> 00:01:59.000]  我們知道原來作假見證的後果可以很嚴重
